"","stock_data$HES.Open","stock_data$HES.High","stock_data$HES.Low","stock_data$HES.Close","stock_data$HES.Volume","stock_data$HES.Adjusted"
"1",51.049999,57.450001,50.209999,50.34,55569200,48.099015
"2",49.82,54.740002,48.709999,53.59,87663600,51.204335
"3",54.630001,56.59,49.599998,50.25,62798100,48.013022
"4",51.32,59.790001,51.18,59.119999,69305100,56.591047
"5",60,64.68,59.23,63.029999,64443400,60.333791
"6",63.720001,71.989998,63.720001,70.050003,68162200,67.053503
"7",71.589996,76.980003,71.459999,76.540001,56761200,73.366098
"8",77.940002,84.190002,76,84.120003,75272400,80.631778
"9",84.32,87.029999,79.75,87.029999,56194300,83.421104
"10",87.169998,87.400002,76.209999,85.209999,68065500,81.774979
"11",85.82,87.190002,76.610001,85.959999,62205800,82.494744
"12",86.190002,86.190002,73.800003,79.029999,85877000,75.844109
"13",78.779999,79.080002,67.650002,74.760002,83136300,71.846579
"14",74.769997,77.120003,68.370003,68.559998,80897100,65.88819
"15",70.019997,70.029999,52.630001,59.34,129889900,57.0275
"16",59.509998,62.330002,50.419998,52.459999,107276400,50.49922
"17",52.360001,66.489998,46.66,62.560001,101575900,60.221719
"18",59.369999,66.309998,54.330002,60.220001,75566200,57.96918
"19",59.93,61.84,52.91,56.799999,59347500,54.777167
"20",58.720001,62.060001,54.099998,56.299999,106728100,54.294974
"21",56.84,67.860001,56.23,64.919998,99749900,62.607987
"22",65.349998,66.830002,57.349998,58.950001,84550700,56.940965
"23",58.709999,60.200001,50.310001,52.139999,100997600,50.363051
"24",52.400002,54.450001,43.310001,43.700001,127912700,42.21069
"25",43.700001,46.48,39.669998,43.450001,104151200,42.066746
"26",43.139999,48.709999,41.939999,47.16,99076900,45.658635
"27",47.599998,51.139999,46,50.529999,71160700,48.921348
"28",50.57,57.34,48.700001,53.720001,66053600,52.104913
"29",53.849998,55.790001,51.599998,52.259998,63675200,50.688805
"30",52.209999,55.959999,48.200001,49.610001,82729700,48.118479
"31",50.110001,54.150002,48.299999,52.959999,62864100,51.466696
"32",54.130001,70.769997,53.060001,67.160004,119165600,65.266306
"33",67.370003,68.959999,63.400002,66.5,75784500,64.624912
"34",66.040001,72.629997,65.18,71.610001,74094500,69.689847
"35",71.57,74.480003,65.669998,72.18,66508400,70.244563
"36",71.620003,73.910004,66.330002,67.410004,83760900,65.602469
"37",67.580002,69.379997,61.32,66.489998,59341000,64.804113
"38",66.82,75.800003,66.230003,74.459999,55466300,72.572032
"39",75.379997,77.050003,72.379997,74.849998,55506500,72.952142
"40",75.919998,80.410004,75.349998,77.339996,48621200,75.621072
"41",76.970001,85.150002,76.830002,81.199997,71924900,79.395282
"42",81.220001,84.330002,78.68,81.129997,47019100,79.326838
"43",81.010002,83.540001,77.519997,83,48177100,81.414363
"44",82.949997,83,74.879997,75.489998,56423700,74.047832
"45",75.449997,82.480003,73.360001,80.029999,59702300,78.501101
"46",79.480003,83.559998,79.300003,82.879997,43420400,81.550195
"47",82.93,90.290001,82.519997,89.160004,55901800,87.729439
"48",89.010002,91.919998,86.959999,91.300003,47943800,89.835102
"49",91.690002,99.099998,90.809998,98.889999,45883000,97.559219
"50",99.300003,104.5,97.400002,98.980003,51981900,97.648012
"51",98.650002,101.230003,96.93,101.099998,40822900,99.739478
"52",101,101.959999,93.57,94.32,44710600,93.286676
"53",93.940002,94.580002,72.860001,84.809998,94602800,83.880861
"54",85.139999,86.25,72.800003,72.93,69972700,72.131015
"55",72.279999,77.459999,63.799999,73.82,97920200,73.286652
"56",73.190002,74.82,63.810001,67.489998,70320000,67.002384
"57",68.839996,77.629997,68.480003,75.080002,62676800,74.537551
"58",75.080002,75.139999,67.150002,67.870003,63191500,67.62349
"59",68.480003,79,68.269997,76.900002,56233400,76.620691
"60",77.040001,77.279999,66.419998,67.519997,53151100,67.274755
"61",67.18,67.82,64.839996,65.639999,19744100,65.401586
