"","stock_data$SYK.Open","stock_data$SYK.High","stock_data$SYK.Low","stock_data$SYK.Close","stock_data$SYK.Volume","stock_data$SYK.Adjusted"
"1",50.139999,52.470001,48.759998,50.060001,37711000,46.437977
"2",49.799999,53.290001,45.52,46.57,53777200,43.20049
"3",47.060001,48.259998,42.740002,43.189999,50847700,40.065044
"4",43.509998,50.880001,43.509998,50.049999,65429500,46.570828
"5",50.259998,53,48.130001,49.490002,60341900,46.049758
"6",49.630001,52.759998,48.98,50.09,41517000,46.608048
"7",50.779999,55,50.459999,53.700001,37333000,50.134062
"8",53.93,58.889999,53.5,57.560001,47461300,53.73774
"9",58,63.419998,57.689999,63.259998,33605800,59.05923
"10",63.259998,65.209999,60.009998,60.799999,45147100,56.931383
"11",60.889999,61.580002,57.860001,59,45350700,55.245915
"12",59.099998,64.610001,58.790001,62.400002,52746700,58.42958
"13",62.080002,62.139999,56.57,58.689999,37491600,55.1269
"14",58.939999,60.639999,53.360001,54.34,41563200,51.040992
"15",54.669998,54.669998,43.73,48.84,76501000,45.8749
"16",49.080002,50.16,45.560001,47.130001,56989600,44.431403
"17",46.740002,51.150002,44.549999,47.91,48082500,45.16674
"18",46.82,49.91,45.450001,48.830002,38916100,46.034064
"19",48.799999,50.25,45.610001,49.709999,45173900,47.064126
"20",50.650002,55.869999,50.380001,55.43,50388600,52.479674
"21",54.830002,55.900002,52.91,53.639999,36261500,50.784948
"22",53.849998,55.75,51.740002,55.48,33217900,52.729964
"23",55.669998,57.150002,52.400002,54.57,38555100,51.865071
"24",54.380001,55.130001,50.099998,51.450001,32464200,48.899724
"25",50.740002,55.540001,49.43,55.099998,37660100,52.57688
"26",55,55.02,50.040001,52.029999,35421300,49.647461
"27",52.360001,55.07,50.959999,53.259998,35428400,50.821136
"28",54.25,56.799999,52.830002,55.66,40100200,53.314096
"29",55.5,55.5,51.599998,52.599998,51613900,50.383064
"30",52.599998,55.080002,51.810001,54.16,38071000,51.877316
"31",54.48,56.75,53.93,54.82,37059300,52.761742
"32",55.540001,63.990002,55.240002,62.650002,42694000,60.297761
"33",62.349998,64.459999,61.529999,63.880001,30656800,61.481579
"34",63.73,66.919998,63.18,65.239998,31145000,63.049394
"35",65.099998,67.150002,63.349998,65.580002,37830100,63.377981
"36",65.489998,70,65.120003,66.389999,30444700,64.160781
"37",66.400002,68.220001,63.830002,64.68,24595000,62.764518
"38",64.849998,71.32,63.709999,70.459999,27760000,68.373344
"39",70.889999,71.550003,66.440002,66.889999,22004500,64.909069
"40",67.629997,71.940002,66.519997,67.589996,27859000,65.841977
"41",67.739998,74.860001,66.93,73.860001,34562200,71.949826
"42",74.25,75.5,72.540001,74.419998,23276600,72.495341
"43",74.32,75.550003,71.220001,75.139999,26169700,73.494053
"44",75.120003,79.239998,74.019997,77.599998,34509600,75.900165
"45",77.839996,83.860001,76.209999,80.239998,39011100,78.482336
"46",79.449997,82.300003,78.75,81.470001,28256900,79.991935
"47",81.879997,84.849998,75.779999,77.75,39735900,76.339424
"48",77.739998,85.610001,77.120003,84.489998,32505000,82.957141
"49",84.730003,86.93,83.279999,84.32,27943000,83.086618
"50",84.989998,85.910004,79.699997,79.769997,31244700,78.603169
"51",79.699997,83.480003,78.910004,83.309998,24782600,82.091389
"52",83.610001,84.620003,80.730003,80.75,24180200,79.868726
"53",81.029999,88.209999,77.870003,87.529999,38750600,86.57473
"54",87.360001,93.860001,86.739998,92.910004,20957900,91.89602
"55",92.790001,98.239998,90.57,94.330002,27882600,93.638304
"56",94.699997,96,90.699997,91.050003,27717800,90.382357
"57",91.349998,95.800003,89.830002,94.75,20322400,94.055223
"58",94.75,96.18,89.809998,92.25,29358200,91.920022
"59",92.459999,97.440002,90.190002,92.239998,30613800,91.910056
"60",92.809998,97.57,92.129997,96.129997,20899600,95.786141
"61",96.669998,96.839996,93.949997,96.010002,6526400,95.666575
