"","stock_data$DIS.Open","stock_data$DIS.High","stock_data$DIS.Low","stock_data$DIS.Close","stock_data$DIS.Volume","stock_data$DIS.Adjusted"
"1",33.529999,35.830002,31.360001,31.5,171321400,29.268654
"2",31.469999,34.799999,30.719999,33.689999,227267000,31.303522
"3",34.139999,35.41,31.549999,32.540001,225905800,30.234986
"4",33,34.990002,32.68,33.099998,214082100,30.755315
"5",33.299999,36.52,33.080002,36.130001,235383500,33.570683
"6",36.209999,38,35.150002,36.509998,277550300,33.923763
"7",37.150002,37.990002,36.509998,37.509998,157233100,35.234145
"8",37.740002,40,37.619999,38.869999,196560600,36.51163
"9",39.040001,44.049999,39.040001,43.740002,248538800,41.086154
"10",43.630001,44.34,40.419998,43.09,213021500,40.47559
"11",43.23,43.380001,40.459999,43.099998,147489900,40.484982
"12",43.470001,44.130001,40.549999,41.630001,219206400,39.104174
"13",41.529999,41.59,37.189999,39.040001,235019900,36.671318
"14",39.150002,40.970001,38.459999,38.619999,217774800,36.276799
"15",38.73,38.75,29.6,34.060001,491399200,31.993471
"16",34.09,34.330002,29.049999,30.16,278302800,28.330095
"17",30.030001,36.599998,28.190001,34.880001,237605600,32.763719
"18",34.43,37.419998,33.279999,35.849998,302233800,33.674863
"19",36.029999,37.799999,34.509998,37.5,191766800,35.81627
"20",37.970001,40.25,37.939999,38.900002,211135700,37.153412
"21",39.25,42.369999,38.560001,41.990002,202164000,40.104673
"22",42.130001,44.5,41.700001,43.779999,190630500,41.8143
"23",43.59,44,40.880001,43.110001,136072000,41.174385
"24",43.18,46.099998,42.84,45.709999,235329800,43.657645
"25",45.150002,48.950001,44.139999,48.5,202963900,46.322376
"26",48.619999,50.540001,46.849998,49.139999,177535700,46.93364
"27",49.330002,50.650002,48.130001,49.470001,175338200,47.248825
"28",49.52,53.400002,49.23,52.279999,162824600,49.932655
"29",52.310001,53.150002,48.799999,49.119999,159711500,46.914537
"30",49.279999,50.990002,46.529999,49.66,218866700,47.430292
"31",49.77,51.060001,48.549999,49.790001,159328600,48.284713
"32",50.799999,54.869999,50.18,53.880001,186436300,52.251062
"33",54.18,55.950001,53.41,54.59,183387500,52.939596
"34",54.310001,57.82,54.299999,56.799999,135853800,55.08278
"35",56.889999,63.25,56.150002,62.84,181634900,60.940176
"36",62.880001,67.889999,62.799999,63.080002,202249600,61.172921
"37",63.060001,65.550003,61.82,63.150002,151203100,61.240805
"38",63.84,67.360001,62.57,64.650002,132449900,62.695456
"39",65.160004,67.160004,60.41,60.830002,161728900,58.990945
"40",61.419998,67.650002,60.52,64.489998,207271000,62.540289
"41",64.370003,69.870003,63.099998,68.589996,149885600,66.516334
"42",68.709999,71.690002,66.720001,70.540001,127300800,68.407384
"43",70.790001,76.540001,68.800003,76.400002,139787700,75.004915
"44",76.040001,76.839996,71.120003,72.610001,144225600,71.28412
"45",72.660004,81.589996,69.849998,80.809998,159959800,79.334383
"46",80.300003,83.650002,77.279999,80.07,147818100,78.607897
"47",80.389999,82.849998,76.309998,79.339996,141470400,77.891224
"48",79.349998,84.389999,79.209999,84.010002,135289000,82.475954
"49",84.269997,86.07,81.800003,85.739998,129981800,84.17436
"50",85.809998,87.629997,84.870003,85.879997,120688700,84.311803
"51",85.389999,91.139999,85.209999,89.879997,119719900,88.238762
"52",90.18,91.199997,87.360001,89.029999,112165200,87.404284
"53",89.080002,91.980003,78.540001,91.379997,196390800,89.711371
"54",91.239998,92.959999,88.650002,92.510002,129877900,90.820742
"55",92.629997,95.93,90.129997,94.190002,145202300,93.645361
"56",94.910004,96.43,90.830002,90.959999,139490700,90.434035
"57",91.300003,105.980003,90.059998,104.080002,150229700,103.478173
"58",104.349998,108.940002,102.870003,104.889999,127784500,104.283487
"59",105.43,111.660004,104.25,108.720001,118683000,108.091342
"60",109.949997,113.300003,107.669998,110.370003,121219000,109.731803
"61",111.480003,111.82,107.650002,110,44695400,109.36394
