"","stock_data$SBUX.Open","stock_data$SBUX.High","stock_data$SBUX.Low","stock_data$SBUX.Close","stock_data$SBUX.Volume","stock_data$SBUX.Adjusted"
"1",26.75,28.5,24.27,24.299999,289638000,11.28295
"2",24.43,26.440001,23.469999,24.85,395435600,11.538326
"3",25.02,25.719999,22.5,22.98,330390800,10.726161
"4",23.18,26.57,23.030001,25.549999,301178400,11.925736
"5",25.889999,28.799999,25.370001,28.559999,283694400,13.330686
"6",28.68,31.51,28.440001,30.6,328044800,14.343438
"7",31.01,33.150002,31.01,32.130001,234405800,15.060611
"8",32.490002,33.779999,30.75,31.530001,364016200,14.779366
"9",31.76,34.029999,31.17,32.98,277619400,15.52097
"10",33.23,38.209999,31.719999,36.950001,469021400,17.389323
"11",37.25,37.66,35,36.200001,266349600,17.036359
"12",36.48,37.669998,34.84,36.790001,253114800,17.37586
"13",36.540001,39.790001,34.610001,39.490002,286897200,18.651066
"14",39.619999,41.110001,38.900002,40.09,280018000,18.934445
"15",40.439999,40.77,33.720001,38.619999,460331200,18.30497
"16",38.84,42,36.419998,37.290001,344016600,17.674583
"17",36.849998,43.43,35.119999,42.360001,299915200,20.077643
"18",41.330002,44.700001,40.549999,43.48,288323400,20.689092
"19",43.200001,46.5,42.669998,46.009998,204133600,21.892941
"20",46.849998,48.619999,45.279999,47.919998,245264200,22.801776
"21",48.34,49.360001,47.41,48.560001,178910200,23.187888
"22",48.689999,56.549999,48.099998,55.889999,302610600,26.688036
"23",56.029999,62,55.959999,57.369999,423761600,27.39475
"24",57.509998,58.43,51.43,54.889999,353944600,26.29097
"25",53.110001,55.970001,51.029999,53.32,327233200,25.538979
"26",53.439999,54.279999,45.09,45.279999,333250400,21.688014
"27",45.470001,50.060001,43.040001,49.610001,417867400,23.854334
"28",49.450001,52,48.990002,50.709999,274167200,24.383254
"29",50.93,51.299999,44.27,45.900002,412758000,22.070428
"30",45.740002,52.310001,45.389999,51.869999,332715600,25.044801
"31",52.139999,54.900002,49.560001,53.630001,309576800,25.894596
"32",54.59,57.27,53.68,56.119999,283483800,27.096862
"33",56.57,57.099998,52.52,54.849998,192701000,26.583185
"34",54.630001,58.970001,54,56.950001,220112400,27.600956
"35",57.130001,60.919998,56.650002,60.84,212049200,29.486254
"36",60.549999,64.93,59.599998,63.139999,168382200,30.704153
"37",63.259998,67.480003,62.310001,65.510002,201953000,31.856654
"38",66.089996,73.519997,65.82,71.290001,217257800,34.667392
"39",72.269997,74.269997,69.860001,70.519997,147060600,34.390584
"40",71.699997,77.839996,70.93,76.970001,149488400,37.536066
"41",76.980003,81.620003,74.449997,81.050003,204986200,39.525766
"42",81.540001,82.5,79,81.459999,175806400,39.853649
"43",81.489998,81.690002,75.910004,78.389999,186721400,38.351677
"44",78.07,78.269997,70.870003,71.120003,291179000,34.794889
"45",71,75.190002,68.669998,70.959999,259867000,34.847979
"46",70.010002,78.639999,70,73.379997,243879800,36.036423
"47",73.639999,74.980003,67.93,70.620003,229999800,34.681009
"48",70.75,73.779999,69.139999,73.239998,165484600,36.100016
"49",73.220001,78.349998,73.160004,77.379997,157418200,38.140622
"50",77.889999,80.639999,77.120003,77.68,174198400,38.288494
"51",77.5,78.470001,76.160004,77.809998,123725400,38.48162
"52",77.699997,77.980003,73.779999,75.459999,166706200,37.319407
"53",75.68,77.669998,70.769997,75.559998,232344600,37.368863
"54",75.970001,81.639999,75.470001,81.209999,140502400,40.329019
"55",81,84.199997,78.440002,82.050003,222092000,40.746166
"56",82.129997,89.589996,78.559998,87.529999,267334400,43.467541
"57",87.68,94.830002,85.860001,93.489998,150263600,46.59675
"58",93.330002,99.199997,91.220001,94.699997,195931000,47.199831
"59",94.279999,95.279999,47.25,49.580002,175946800,49.422762
"60",49.950001,52.23,48.57,51.959999,134194500,51.959999
"61",51.959999,52.860001,51.099998,52.689999,52994500,52.689999
