"","stock_data$AIV.Open","stock_data$AIV.High","stock_data$AIV.Low","stock_data$AIV.Close","stock_data$AIV.Volume","stock_data$AIV.Adjusted"
"1",20.860001,22.719999,19.309999,19.370001,34780600,16.863494
"2",19.370001,22.24,18.120001,21.469999,43121200,18.691749
"3",21.93,22.6,19.01,20.440001,43249300,17.882521
"4",20.860001,22.82,20.84,21.379999,36785100,18.704906
"5",21.57,24.15,21.219999,23.309999,38735200,20.393422
"6",23.809999,25.610001,23.219999,24.120001,30958900,21.191872
"7",24.42,26.24,23.959999,25.84,22967600,22.703066
"8",26.040001,26.33,24.43,25.559999,22653600,22.457057
"9",25.74,25.889999,23.5,25.65,24904400,22.646782
"10",25.719999,25.75,23.379999,25.469999,29714700,22.487857
"11",25.65,27.67,24.65,26.959999,29262700,23.803401
"12",27.540001,27.58,25.450001,26.73,26193900,23.709172
"13",26.690001,26.690001,24.5,25.530001,34251500,22.644789
"14",25.610001,28.120001,25.41,27.299999,27900700,24.214755
"15",27.690001,27.85,21.92,26.57,62085400,23.676237
"16",26.700001,27.24,22.110001,22.120001,46322000,19.710891
"17",21.879999,27.26,20.08,24.67,50156600,21.983168
"18",23.879999,24.18,20.17,21.780001,58990800,19.511475
"19",21.76,23.200001,20.73,22.91,27704500,20.523777
"20",23.379999,24.93,22.190001,24.559999,31558900,22.001919
"21",24.73,25.6,24.43,24.84,34221100,22.415581
"22",24.790001,26.440001,24.26,26.41,29209900,23.832347
"23",26.299999,27.27,25.17,27.15,27955700,24.500121
"24",27.200001,27.98,25.639999,27.07,41484600,24.591085
"25",26.49,27.969999,25.809999,27.030001,46726100,24.554749
"26",27.17,28.299999,26.700001,27.43,32067400,24.918119
"27",27.530001,27.77,25.52,26.48,26820400,24.241371
"28",26.440001,27.9,25.870001,25.99,27628600,23.792796
"29",26.110001,27,25.120001,26.690001,34250500,24.433618
"30",26.709999,27.129999,24.049999,25.07,30875800,23.133811
"31",25.139999,27.09,24.98,27.059999,21228000,24.970121
"32",27.48,28.200001,27.129999,27.280001,22510600,25.173131
"33",27.360001,30.120001,27.040001,29.620001,31468800,27.559235
"34",29.52,30.85,29.33,30.66,21221700,28.526878
"35",30.58,31.91,30.34,31.110001,22801100,28.94557
"36",31.110001,33.439999,30.049999,30.26,28614400,28.362683
"37",30.41,31.17,27.309999,30.040001,38238400,28.156478
"38",30.309999,31.76,29.110001,29.379999,22287100,27.537858
"39",29.459999,29.91,27.26,27.530001,21619700,26.020998
"40",27.76,30.25,26.950001,27.940001,15444800,26.408525
"41",27.879999,29.620001,27.370001,27.98,22288600,26.446331
"42",27.969999,27.98,24.969999,25.110001,19982400,23.951386
"43",25.01,26.379999,24.780001,25.91,25935600,24.714472
"44",25.9,28.1,25.52,27.969999,31029400,26.67942
"45",28,30.76,27.6,29.889999,40118400,28.758666
"46",29.68,31.280001,29.48,30.219999,24158400,29.076175
"47",30,30.870001,28.950001,30.83,29036800,29.663087
"48",30.860001,32.18,30.469999,31.48,21970500,30.542599
"49",31.48,32.759998,31.08,32.27,20669100,31.309076
"50",32.279999,34.48,31.959999,34.18,21151700,33.1622
"51",34.040001,34.400002,33,34.27,19369800,33.511566
"52",34.279999,34.869999,31.51,31.82,18297000,31.115787
"53",31.809999,35.830002,31.620001,35.790001,31032900,34.997927
"54",35.91,37.790001,35.66,37.25,26501500,36.686801
"55",37.25,38.529999,35.57,37.150002,27735600,36.588315
"56",37.330002,41.549999,37.240002,39.860001,34072300,39.25734
"57",39.849998,40.599998,36.830002,37.68,26599200,37.383386
"58",37.639999,41.330002,36.59,39.360001,21911200,39.050162
"59",39.349998,39.43,37.080002,37.73,23124100,37.432992
"60",38.029999,39.66,37.209999,37.93,26135900,37.93
"61",38,38.66,36.52,36.939999,8485500,36.939999
