"","stock_data$BBY.Open","stock_data$BBY.High","stock_data$BBY.Low","stock_data$BBY.Close","stock_data$BBY.Volume","stock_data$BBY.Adjusted"
"1",39.740002,42.650002,33.77,33.860001,135690400,29.291571
"2",33.68,37.040001,32.810001,34.66,143592800,30.10812
"3",35.110001,36.209999,30.9,31.389999,119785300,27.267567
"4",31.780001,41.209999,31.77,40.830002,144681000,35.467819
"5",41.07,43.849998,39.700001,42.98,119084800,37.473125
"6",42.98,45.630001,42,42.720001,97302800,37.246439
"7",43.330002,43.75,33.400002,34.290001,232541300,30.027864
"8",34.099998,36.330002,33.599998,34,140146600,29.773909
"9",34.139999,35.450001,32,32.240002,130065700,28.232673
"10",32.310001,33.220001,28.52,28.719999,212945600,25.150196
"11",28.860001,31.33,28.09,31.219999,171206700,27.47453
"12",31.4,32.400002,30.18,31.76,120404400,27.949747
"13",31.76,32.849998,28.309999,31.41,200870300,27.773279
"14",31.379999,32.650002,27.25,27.6,124105000,24.40441
"15",27.959999,28.030001,23.25,25.59,173262100,22.627132
"16",25.59,26.1,22.74,23.299999,180637700,20.738374
"17",23.190001,27.6,21.790001,26.23,122994600,23.346247
"18",25.52,28.42,25.33,27.09,128627900,24.111698
"19",26.860001,28.530001,22.48,23.370001,163197500,20.946393
"20",23.700001,25.99,22.85,23.950001,112698800,21.466243
"21",24.129999,26.290001,23.76,24.700001,94376600,22.138464
"22",24.84,27.950001,23.389999,23.68,177563600,21.224244
"23",23.24,23.98,21.129999,22.07,191162300,19.92713
"24",22.059999,22.690001,17.530001,18.719999,169041000,16.902395
"25",18.290001,21.59,17.92,20.959999,208272300,19.079866
"26",21.879999,23.57,16.969999,18.09,203763300,16.467309
"27",18.17,21.6,16.25,17.74,290123300,16.148704
"28",17.719999,18.790001,16.780001,17.200001,108186900,15.804444
"29",17.200001,18.530001,14.71,15.21,107170500,13.975906
"30",15.25,16.25,11.41,13.11,216888900,12.046294
"31",13.11,14.48,11.2,11.85,216660800,11.040377
"32",12.14,16.360001,11.38,16.26,218480500,15.149074
"33",16.379999,17.76,13.83,16.41,162702000,15.288825
"34",17.379999,23.459999,16.120001,22.15,300211300,20.796407
"35",22.129999,26.92,21.469999,25.99,277624100,24.401744
"36",25.690001,28.26,24.98,27.549999,149336200,25.866412
"37",28.23,28.370001,25.780001,27.33,106262900,25.818425
"38",27.9,30.360001,27.719999,30.09,100616800,28.425774
"39",30.18,36.650002,30.049999,36,148008500,34.008902
"40",36.439999,39.279999,36.439999,37.5,99047800,35.58731
"41",37.560001,43.849998,34.880001,42.799999,128067500,40.616982
"42",43.369999,44.66,37.91,40.549999,143327800,38.481744
"43",40.59,43.189999,39.32,39.880001,93760000,38.001213
"44",39.75,41,22.15,23.540001,352826600,22.431007
"45",23.540001,28.200001,22.299999,26.629999,190433800,25.375432
"46",26.4,27.200001,24.700001,26.41,132154800,25.331363
"47",26.41,27.940001,23.870001,25.93,129086800,24.870967
"48",26.129999,28.25,24.57,27.66,121409000,26.53031
"49",27.559999,31.48,27.17,31.01,82744400,29.919058
"50",31.15,32.240002,29.24,29.73,84169600,28.684088
"51",29.49,32.75,28.85,31.889999,120163300,30.768099
"52",32.029999,35.529999,31.08,33.59,111776800,32.601019
"53",33.34,34.68,28.799999,34.139999,122283800,33.134825
"54",34.139999,39.790001,33.66,39.41,125570600,38.249662
"55",38.869999,40.029999,35.169998,38.98,123446700,38.029798
"56",39.169998,40,33.169998,35.200001,165420300,34.341943
"57",35.139999,39.470001,34.130001,38.099998,92996600,37.171249
"58",38.200001,42,37.75,37.790001,115069800,37.536525
"59",37.630001,38.880001,34.490002,34.650002,86236600,34.417587
"60",34.759998,37.18,33.73,34.700001,111541700,34.467251
"61",34.849998,35.5,33.75,34.220001,28950300,34.220001
