"","stock_data$BSX.Open","stock_data$BSX.High","stock_data$BSX.Low","stock_data$BSX.Close","stock_data$BSX.Volume","stock_data$BSX.Adjusted"
"1",5.49,6.41,5.49,5.8,337858100,5.8
"2",5.79,6.62,5.52,5.6,444996200,5.6
"3",5.68,6.05,5.14,5.19,430728300,5.19
"4",5.26,6.24,5.04,6.13,422598200,6.13
"5",6.15,6.7,5.95,6.39,339283400,6.39
"6",6.37,6.96,6.29,6.42,276830900,6.42
"7",6.49,7.92,6.42,7.57,360108000,7.57
"8",7.57,7.67,6.93,6.98,357386400,6.98
"9",7.02,7.68,6.7,7.16,304798100,7.16
"10",7.55,7.96,6.88,7.19,390922300,7.19
"11",7.25,7.67,6.95,7.49,394916600,7.49
"12",7.54,7.91,6.47,7.18,528703500,7.18
"13",7.16,7.19,6.57,6.91,408736200,6.91
"14",6.93,7.55,6.69,7.16,390298300,7.16
"15",7.25,7.26,5.88,6.78,466219200,6.78
"16",6.76,6.9,5.55,5.91,319236800,5.91
"17",5.84,5.94,5.3,5.89,599015900,5.89
"18",5.69,5.99,5.26,5.9,364768600,5.9
"19",5.92,6.1,5.01,5.34,374667500,5.34
"20",5.42,6.19,5.23,5.96,288318300,5.96
"21",5.99,6.41,5.62,6.22,331395400,6.22
"22",6.25,6.28,5.7,5.98,222876500,5.98
"23",5.99,6.3,5.49,6.26,333551600,6.26
"24",6.25,6.38,5.66,5.74,303386600,5.74
"25",5.66,5.95,5.48,5.67,276801900,5.67
"26",5.73,5.82,4.79,5.17,305027200,5.17
"27",5.18,5.7,5.1,5.4,309846200,5.4
"28",5.38,5.89,5.34,5.74,216966800,5.74
"29",5.76,5.9,5.04,5.14,262725000,5.14
"30",5.1,5.86,5.08,5.54,343864400,5.54
"31",5.67,5.84,5.46,5.73,230346400,5.73
"32",5.86,7.53,5.76,7.47,525847500,7.47
"33",7.51,7.73,7.17,7.39,446362400,7.39
"34",7.35,7.85,7.24,7.81,338677200,7.81
"35",7.83,7.95,7.07,7.49,405766000,7.49
"36",7.47,9.5,7.45,9.24,470034400,9.24
"37",9.25,9.75,8.93,9.27,333211100,9.27
"38",9.32,11.11,9.05,10.92,404262600,10.92
"39",10.96,11.49,10.54,10.58,275220400,10.58
"40",10.77,12.16,10.68,11.74,335869100,11.74
"41",11.78,12.48,11.17,11.69,332761200,11.69
"42",11.69,12.15,11.55,11.58,209142800,11.58
"43",11.61,12.28,11.12,12.02,224925600,12.02
"44",12.02,14.08,11.85,13.53,246028100,13.53
"45",13.55,13.58,12.47,13.1,249004000,13.1
"46",12.91,13.84,12.61,13.52,249820700,13.52
"47",13.55,13.9,12.37,12.61,278888900,12.61
"48",12.64,13.19,12.47,12.83,239791000,12.83
"49",12.86,13.2,12.28,12.77,284451800,12.77
"50",12.78,13.34,12.44,12.78,208687900,12.78
"51",12.73,12.93,12.03,12.68,171691300,12.68
"52",12.69,12.7,11.76,11.81,297190300,11.81
"53",11.81,13.38,11.1,13.28,314714700,13.28
"54",13.31,13.76,12.75,12.87,257754200,12.87
"55",12.79,13.41,12.56,13.25,236225500,13.25
"56",13.29,15.05,13.14,14.81,258282900,14.81
"57",14.81,17.01,14.39,16.9,306953900,16.9
"58",17.02,18.17,16.379999,17.75,236792900,17.75
"59",17.75,18.5,17.219999,17.82,221919400,17.82
"60",17.85,18.620001,17.120001,18.27,207409100,18.27
"61",18.360001,18.610001,17.360001,17.74,71401400,17.74
