"","stock_data$DD.Open","stock_data$DD.High","stock_data$DD.Low","stock_data$DD.Close","stock_data$DD.Volume","stock_data$DD.Adjusted"
"1",36.209997,39.199999,34.549999,34.589999,112507500,28.040518
"2",34.469999,41.139998,33.729998,40.669999,164979600,32.969294
"3",41.23,42.66,38.709996,40.769999,150218600,33.374843
"4",41.27,45.869998,41.119998,44.619998,128450200,36.526501
"5",44.950001,47.999999,44.21,47.279998,149829200,38.704011
"6",47.259998,48.579999,45.130001,46.989999,138099900,38.80075
"7",47.699998,50.169995,47.699998,49.880001,129655100,41.187093
"8",50.049999,50.859998,47.220002,50.679998,153400200,41.847669
"9",50.849996,56.189995,50.740002,54.869998,142425000,45.65196
"10",54.739999,55.799997,51.099999,54.970002,145010000,45.735163
"11",55.189998,56.879998,53.169995,56.79,101383900,47.249406
"12",56.419998,56.999998,50.499998,53.299998,123066300,44.673428
"13",53.109999,54.490001,48.639999,54.049996,148676000,45.302041
"14",53.599998,56.200001,51.290001,51.419995,123955900,43.097703
"15",53.380002,53.380002,43.599997,48.270001,267695700,40.830957
"16",48.029997,48.86,39.939996,39.970002,226584000,33.810098
"17",39.56,49.479997,37.099996,48.069997,180558800,40.661776
"18",46.459997,49.919997,43.789999,47.719998,160821700,40.716497
"19",47.499998,48.409997,43.06,45.779996,143074200,39.061214
"20",46.580001,51.759995,45.84,50.889996,140938500,43.421259
"21",51.519999,52.309998,49.289998,50.849996,110311000,43.737711
"22",50.889996,53.95,49.900001,52.900001,117561400,45.500986
"23",52.680001,53.979998,50.839998,53.459998,110728700,45.982657
"24",53.349996,53.979998,47.709996,48.259999,112003700,41.855957
"25",47.529996,51.470001,46.439997,50.57,97978500,43.859424
"26",49.479997,50.479998,46.150002,49.700001,123115800,43.104872
"27",49.939997,52.099996,48.679999,49.749999,104220500,43.514551
"28",49.509999,52.330002,48.630001,50.27,111752300,43.969377
"29",50.179997,50.959998,44.499998,44.519998,148333700,38.940056
"30",44.580002,45.490001,41.669996,43.14,138251300,38.113006
"31",43.429999,45.330001,42.249997,44.979999,123783200,39.738594
"32",45.949998,48.399999,45.110001,47.45,131892500,41.920773
"33",47.679998,48.219999,46.02,47.899998,122876500,42.701026
"34",47.560002,50.200001,47.279998,49.16,109887000,43.82427
"35",48.88,54.729997,48.209997,54.509997,177455900,48.593589
"36",54.119999,57.249997,52.569999,55.789999,156085700,50.141506
"37",55.839997,56.47,52.02,52.5,133612400,47.184605
"38",52.24,60.399999,52.04,57.689997,127023700,51.849138
"39",58.229998,60.179998,56.259997,56.619998,90201900,51.272787
"40",57.069996,60.859999,56.089999,58.56,80484800,53.029575
"41",58.569998,62.689996,56.459998,61.2,94111800,55.420252
"42",61.14,62.339997,59.709996,61.38,94360600,55.989298
"43",61.759997,64.999997,59.849996,64.969999,71465500,59.264004
"44",64.239996,64.999997,59.349995,61.009998,105790000,55.651791
"45",61.049998,66.719999,59.95,66.620003,102899300,61.197452
"46",65.779998,67.949999,65.379997,67.099995,86432700,61.638376
"47",67.14,68.819998,65.910004,67.32,86681700,61.840473
"48",66.859999,69.379998,66.319998,69.309992,67843600,64.091441
"49",69.329996,69.750001,64.349998,65.440001,91434800,60.512833
"50",64.989995,66.949993,64.169998,64.309998,97278200,59.46791
"51",63.979999,66.620003,63.699999,66.11,63015300,61.574279
"52",65.919998,72.919999,64.519996,71.759998,114417900,66.836637
"53",71.129999,71.349995,64.550002,69.15,169286500,64.405708
"54",69.15,72.709997,68.199993,71.399997,60771200,66.945686
"55",71.319997,75.819999,68.539997,73.940004,74044500,69.327234
"56",73.839992,75.769997,70.190002,71.209999,94385300,66.767541
"57",71.559997,78.180002,70.510002,77.85,73959300,73.447635
"58",77.85,80.650003,71.260001,71.470003,156875200,67.428423
"59",71.540001,75.800003,69.730005,73.199991,106199300,69.060581
"60",73.970002,75.519994,69.279994,71.009999,140412600,67.435896
"61",71.379993,71.900002,68.849996,69.689997,44524600,66.182333
