"","stock_data$BWA.Open","stock_data$BWA.High","stock_data$BWA.Low","stock_data$BWA.Close","stock_data$BWA.Volume","stock_data$BWA.Adjusted"
"1",37.209999,42.200001,37.049999,37.34,55540400,18.33698
"2",37.23,44.5,35.68,43.860001,86075800,21.538831
"3",44.630001,47.669998,42.18,43.650002,86714800,21.435705
"4",44.299999,53.419998,44.299999,52.619999,72970400,25.840704
"5",52.360001,56.419998,51.060001,56.110001,63432200,27.554579
"6",56.540001,62.490002,55.619999,60.34,53015200,29.631853
"7",61.439999,73.43,61.369999,72.360001,55021200,35.534652
"8",73.309998,74.269997,67.209999,67.400002,80636200,33.098888
"9",68.040001,81.07,64.220001,77.610001,90828200,38.112829
"10",77.68,79.779999,70.07,79.690002,78654600,39.134279
"11",80,82.279999,69.260002,77.239998,67760800,37.931128
"12",77.709999,78.160004,65.779999,72.510002,61904400,35.608315
"13",72.389999,81.220001,66.300003,80.790001,65599600,39.674468
"14",80.870003,81.980003,71.510002,79.620003,52588600,39.099904
"15",81.040001,81.040001,61.66,71.389999,85249400,35.058302
"16",71.360001,72.889999,57.389999,60.529999,70869400,29.725158
"17",59.900002,77.699997,54.59,76.489998,70072800,37.562817
"18",73.440002,76.25,60.950001,65.919998,68044800,32.372086
"19",65.379997,70.540001,61.200001,63.740002,107794400,31.30153
"20",64.93,77.489998,64.290001,74.629997,66637800,36.649405
"21",75.580002,84.089996,74.919998,82.839996,50619800,40.681183
"22",83.050003,87.449997,79.059998,84.339996,53302400,41.417805
"23",84.010002,87,78.089996,79.040001,55139000,38.815076
"24",79.010002,82.150002,70.300003,71.75,68423200,35.235092
"25",69.330002,69.940002,62.619999,65.589996,85283000,32.210028
"26",64.470001,68.379997,60.169998,67.099998,68475400,32.951562
"27",67.290001,72.150002,62.540001,68.779999,50650800,33.776579
"28",68.550003,78.18,66.68,69.110001,49756800,33.938637
"29",69.699997,74.879997,62.709999,65.82,52604400,32.322979
"30",65.879997,68.400002,60.529999,66.300003,51873400,32.558699
"31",66.489998,71.849998,66.019997,71.620003,46968400,35.171252
"32",73.489998,78.419998,71.019997,74.18,48179800,36.42842
"33",74.900002,77.190002,72.059998,74.410004,38961600,36.54137
"34",73.959999,80.099998,73.57,77.339996,38115400,37.980235
"35",77.370003,79.379997,70.43,78.169998,49622000,38.387833
"36",77.970001,85.379997,77.300003,81.07,34670600,39.81197
"37",81.419998,87.660004,78.43,86.150002,37646800,42.306665
"38",86.599998,96.379997,84.139999,95.43,38587000,46.8639
"39",96.419998,100.540001,94.239998,96.580002,30348400,47.553223
"40",97.860001,103.260002,96.07,101.389999,25288000,49.921528
"41",101.650002,108.040001,96.25,103.129997,28468400,50.899555
"42",103.239998,108.07,99.419998,107.169998,32117800,52.893488
"43",107.519997,109.540001,53.779999,55.91,27460900,55.188485
"44",55.889999,57.290001,53.150002,53.700001,31280100,53.130107
"45",53.779999,61.82,50.830002,61.450001,30791800,60.79786
"46",60.790001,63.040001,59.130001,61.470001,25172700,60.817648
"47",61.790001,64.230003,59.209999,62.139999,26932700,61.60647
"48",62.080002,63.41,58.240002,62.889999,26216600,62.35003
"49",62.889999,66.519997,62.18,65.190002,24162500,64.630286
"50",65.589996,67.489998,61.509998,62.25,27779800,61.715526
"51",61.98,64,60.439999,62.189999,20717700,61.785652
"52",62.23,63.619999,51.599998,52.610001,35858100,52.267941
"53",52.52,58,50.220001,57.02,59138200,56.649268
"54",56.490002,58.889999,54.709999,56.560001,39946300,56.320306
"55",56.470001,58.82,51.290001,54.950001,36951700,54.717129
"56",55.240002,55.400002,48.400002,54.009998,46607800,53.78111
"57",54.150002,61.91,53.900002,61.459999,31432700,61.328567
"58",61.580002,63.299999,58.330002,60.48,36420200,60.350663
"59",60.52,62.700001,57.18,59.200001,27495400,59.073402
"60",59.619999,61.939999,58.830002,60.150002,24544600,60.150002
"61",60.330002,62.32,59.389999,60.959999,10371100,60.959999
