"","stock_data$APA.Open","stock_data$APA.High","stock_data$APA.Low","stock_data$APA.Close","stock_data$APA.Volume","stock_data$APA.Adjusted"
"1",90.959999,99.959999,83.849998,84.190002,66083900,80.548497
"2",83.760002,96.449997,81.940002,95.580002,130977500,91.606387
"3",97.040001,98.800003,85.349998,89.849998,84321300,86.114601
"4",91.239998,99.089996,87.580002,97.760002,76328200,93.695757
"5",98.980003,106.68,96.510002,101.019997,65281600,96.962419
"6",102.339996,110.730003,100.389999,107.639999,68444500,103.316523
"7",109.839996,120.800003,109.669998,119.230003,43127300,114.441002
"8",120.589996,127.730003,110.290001,119.360001,81251100,114.700659
"9",120.150002,124.849998,115.459999,124.620003,85840800,119.755332
"10",125.400002,132.5,113.019997,130.919998,75378800,125.8094
"11",131.5,134.130005,119.300003,133.369995,55616900,128.322932
"12",133.660004,133.669998,118.830002,124.599998,59070400,119.884814
"13",123.980003,125.440002,114.940002,123.389999,60880600,118.720604
"14",122.940002,129.259995,119.5,123.720001,41818700,119.180287
"15",125.699997,125.949997,94.470001,103.07,87807700,99.288005
"16",103.660004,104.720001,80.050003,80.239998,86232900,77.295715
"17",79.150002,105.230003,73.040001,99.629997,75258300,96.133728
"18",95.349998,105.639999,86.739998,99.440002,66118000,95.950401
"19",99,100.949997,85.5,90.580002,56254300,87.40132
"20",93.940002,101.239998,91.480003,98.879997,64430800,95.560249
"21",100.199997,112.089996,98.449997,107.93,60724600,104.306412
"22",108.449997,109.5,97.139999,100.440002,61432500,97.067879
"23",100.400002,102.129997,89.879997,95.940002,52419100,92.890051
"24",96.379997,98.199997,79.400002,81.379997,75908500,78.792911
"25",78.599998,87.93,77.93,87.889999,77894500,85.095959
"26",87.510002,90.199997,81.550003,86.120003,60753800,83.548001
"27",86.709999,89.900002,81.580002,85.75,53546600,83.189048
"28",85.900002,94.870003,83.730003,86.470001,55788300,83.887547
"29",86.949997,89.080002,79.660004,82.720001,53295800,80.403585
"30",82.650002,83.25,74.5,77.089996,67961400,74.931238
"31",77.720001,80.970001,74.699997,78.5,60628200,76.301757
"32",80,86.349998,79.25,83.760002,58692200,81.586054
"33",84.599998,85.620003,72.620003,74.269997,78871600,72.342357
"34",73.559998,78.080002,72.199997,77.160004,68602200,75.157356
"35",77.209999,77.25,67.910004,73.879997,74359600,72.164482
"36",73.449997,85.519997,72.510002,82.129997,84833600,80.222914
"37",82.709999,87.57,81.669998,83.830002,73653200,81.883444
"38",84.209999,85.410004,79.5,80.25,75312700,78.577036
"39",81.849998,85.989998,75.07,85.68,76291700,83.893838
"40",86.5,89.169998,84.410004,85.139999,55164000,83.365094
"41",84.760002,91.650002,84.760002,88.800003,50109100,87.141226
"42",88.889999,94.839996,87.730003,91.489998,52711900,89.780972
"43",91.220001,91.849998,84.150002,85.940002,49345900,84.33465
"44",85.82,87.910004,79.839996,80.260002,53775300,78.944558
"45",80.260002,85.949997,77.309998,79.290001,70723700,77.990455
"46",79,83.900002,78.400002,82.949997,57860100,81.590464
"47",82.790001,88.690002,81.870003,86.800003,69965600,85.631713
"48",86.769997,93.400002,86.330002,93.220001,67744900,91.965301
"49",93.089996,102.339996,91.529999,100.620003,62737500,99.265701
"50",100.949997,104.57,97.32,102.660004,56660900,101.534876
"51",102.349998,102.690002,97.599998,101.830002,54548100,100.713971
"52",101.82,102,92.839996,93.870003,48665700,92.841212
"53",93.589996,93.870003,69.279999,77.199997,106070300,76.616833
"54",78.019997,78.650002,63.73,64.089996,80924500,63.605865
"55",63.41,65.720001,54.34,62.669998,134819500,62.196593
"56",62.18,65.32,57.439999,62.57,87463300,62.347742
"57",64.029999,69.07,63.200001,65.839996,95845200,65.606124
"58",65.459999,67.300003,57.57,60.330002,78827400,60.115701
"59",60.93,71.870003,60.139999,68.400002,68382700,68.400002
"60",68.440002,70.139999,58.830002,59.84,67894200,59.84
"61",59.889999,60.029999,57.73,58.959999,26105000,58.959999
