"","stock_data$CCI.Open","stock_data$CCI.High","stock_data$CCI.Low","stock_data$CCI.Close","stock_data$CCI.Volume","stock_data$CCI.Adjusted"
"1",36.619999,40,36.610001,37.259998,35847200,35.641902
"2",37.200001,39.73,36.009998,39.509998,42835800,37.794191
"3",39.970001,41.540001,38.209999,41.119999,45931800,39.334274
"4",41.52,44.459999,40.689999,44.150002,32217200,42.232692
"5",42.98,44.450001,41.099998,43.119999,43225800,41.247419
"6",43.25,43.650002,41.259998,41.540001,34621500,39.736036
"7",42.02,43.84,41.259998,43.830002,29954200,41.926589
"8",43.900002,44.080002,40.610001,42.169998,50067000,40.338675
"9",42.52,46.27,41.5,42.150002,40353500,40.319546
"10",42.400002,42.599998,36.380001,42.549999,80282000,40.702173
"11",42.700001,44.490002,42.009998,42.860001,43064200,40.998712
"12",43.099998,43.25,40.720001,41.41,45525300,39.611681
"13",41.310001,41.950001,39.740002,40.790001,42249300,39.018607
"14",41.07,44.799999,40.98,43.400002,29969900,41.515262
"15",43.799999,43.939999,37.529999,43.43,57217900,41.543958
"16",43.540001,44.450001,40.470001,40.669998,34874300,38.903815
"17",40.509998,43.580002,38.700001,41.360001,44768500,39.563853
"18",40.84,42.32,39.279999,42.32,34346700,40.482162
"19",42.099998,44.919998,42.099998,44.799999,31118200,42.854462
"20",45.290001,49.459999,44.619999,48.48,38887500,46.37465
"21",48.880001,52.810001,48.57,51.810001,36147500,49.56004
"22",52,55.990002,51.740002,53.34,111387800,51.023595
"23",53.380001,57.779999,51.860001,56.610001,39885600,54.151589
"24",56.689999,57.119999,52.580002,54.599998,40251100,52.228875
"25",53.919998,59.259998,52.84,58.66,39626900,56.112562
"26",58.889999,63.189999,57.599998,61.880001,35398900,59.192728
"27",61.98,63.740002,60.98,63.459999,29759100,60.704111
"28",63.48,66.110001,62.84,64.099998,39928400,61.316317
"29",64.199997,67.639999,63.419998,66.75,32833300,63.851236
"30",66.970001,68.690002,63.740002,67.519997,29987000,64.587794
"31",67.849998,72.300003,65.970001,72.160004,26028100,69.026299
"32",73.279999,75.5,69.989998,70.519997,43914300,67.457513
"33",70.739998,71.720001,66.129997,69.800003,53445000,66.768787
"34",69.709999,72.629997,69.040001,69.639999,31035100,66.615731
"35",69.690002,79,69.360001,77,39198500,73.656108
"36",77.07,81.160004,69.870003,71.25,43285300,68.155814
"37",71.25,73.290001,66.949997,72.389999,63081200,69.246307
"38",72.5,78,69.360001,70.25,51247500,67.199241
"39",70.540001,70.839996,66.730003,69.419998,41305000,66.405284
"40",69.32,73.510002,68.690002,73.029999,47640900,69.858513
"41",73.209999,77.220001,69.870003,76.019997,98859300,72.718663
"42",75.940002,76.900002,72.589996,74.230003,41272900,71.006404
"43",74.099998,76.080002,70.43,73.43,46911500,70.241143
"44",73.139999,75,70.169998,70.959999,69357500,67.878407
"45",70.959999,76.540001,68.440002,75.900002,53240600,72.603879
"46",75.080002,75.93,72.809998,73.779999,44822300,70.907374
"47",74.129997,75.480003,71.290001,72.730003,49595100,69.89826
"48",72.860001,77.949997,72.629997,76.730003,39547300,73.74252
"49",76.839996,77.110001,72.43,74.260002,34934000,71.711288
"50",74.529999,76.809998,73.010002,74.18,47692900,71.634032
"51",74.239998,80.519997,72.529999,79.510002,42330100,76.781101
"52",79.769997,81,78.019997,80.529999,41670900,78.111192
"53",80.769997,84.970001,76.160004,78.120003,98044100,75.773583
"54",78.709999,83.580002,77.690002,83.089996,64719400,80.594298
"55",82.809998,83.190002,74.449997,78.699997,64216000,77.174676
"56",78.860001,88.790001,78.57,86.510002,74933400,84.833312
"57",86.589996,89.440002,85.019997,86.309998,67127400,84.637183
"58",86.599998,87.510002,82.540001,82.540001,45180800,81.723856
"59",82.879997,87.459999,82.849998,83.529999,44744000,82.704065
"60",83.589996,84.779999,81.290001,81.550003,41185500,80.743647
"61",81.599998,85.790001,81.389999,82.260002,17811200,81.446626
