"","stock_data$CTXS.Open","stock_data$CTXS.High","stock_data$CTXS.Low","stock_data$CTXS.Close","stock_data$CTXS.Volume","stock_data$CTXS.Adjusted"
"1",43.360001,47,42.150002,42.23,40533300,42.23
"2",42.310001,57.700001,41.619999,55.02,85952800,55.02
"3",55.830002,60.68,53.610001,57.939999,69431500,57.939999
"4",58.950001,71.93,58.77,68.239998,65328000,68.239998
"5",69.199997,70.809998,55.119999,64.129997,123361300,64.129997
"6",65.360001,69.769997,61.59,66.43,57964100,66.43
"7",67.559998,71.57,66.959999,68.410004,38095500,68.410004
"8",69.129997,70.940002,61.240002,63.18,63524100,63.18
"9",63.509998,73.620003,63.220001,70.160004,44809700,70.160004
"10",70.419998,73.989998,65.839996,73.459999,49585200,73.459999
"11",74.080002,86.949997,71.43,84.339996,48991100,84.339996
"12",84.690002,88.349998,78.760002,87.620003,41148200,87.620003
"13",87.370003,88.489998,73.260002,80,47958100,80
"14",80.309998,84,69.57,72.040001,44930400,72.040001
"15",72.660004,72.839996,50.209999,60.43,95976500,60.43
"16",60.389999,61.540001,51.209999,54.529999,60834900,54.529999
"17",53.990002,78,51.599998,72.830002,65816400,72.830002
"18",70.910004,77.739998,64.43,71.389999,41480300,71.389999
"19",71.160004,74.739998,56.790001,60.720001,35971100,60.720001
"20",62.41,70.779999,60.150002,65.199997,52615700,65.199997
"21",65.639999,76.5,65.220001,74.739998,34263000,74.739998
"22",75.230003,80.699997,71.239998,78.910004,36165100,78.910004
"23",79.120003,87.989998,72.75,85.610001,38478500,85.610001
"24",85.419998,87.739998,71.830002,73.080002,47918900,73.080002
"25",70.370003,83.949997,69.889999,83.940002,36505000,83.940002
"26",84.080002,85.650002,71.529999,72.68,53395800,72.68
"27",72.970001,78.900002,68.169998,77.690002,41582300,77.690002
"28",77.43,82.610001,73.519997,76.529999,33634000,76.529999
"29",76.959999,77.82,60.139999,61.779999,79374200,61.779999
"30",62.029999,65.489998,56.57,61.16,50608700,61.16
"31",61.700001,68.620003,58.43,65.620003,42226800,65.620003
"32",67.120003,75.5,65.519997,73.160004,59957000,73.160004
"33",73.279999,74.989998,70,70.900002,36245100,70.900002
"34",70.919998,75.5,69.800003,72.150002,32716400,72.150002
"35",72.32,72.650002,61.5,62.16,57099900,62.16
"36",61.970001,67.800003,61.599998,64.379997,43499300,64.379997
"37",64.379997,64.75,58,60.360001,42341000,60.360001
"38",60.68,72.25,60.5,72.019997,52257400,72.019997
"39",72.279999,74.059998,69.849998,70.769997,28830100,70.769997
"40",71.559998,77.160004,69.400002,70.610001,25845000,70.610001
"41",70.75,71.739998,55.419998,56.779999,86529300,56.779999
"42",57.130001,61.639999,54.52,59.32,73686100,59.32
"43",59.009998,63.439999,56.900002,63.25,36215500,63.25
"44",63.040001,63.200001,51.18,54.07,83106300,54.07
"45",54.150002,61.110001,52.02,60.049999,68664100,60.049999
"46",59.299999,62.919998,56.849998,57.439999,55880500,57.439999
"47",57.68,62.25,53.860001,59.310001,69970200,59.310001
"48",60.16,62.439999,58.34,61.970001,68026000,61.970001
"49",62,65.720001,60.299999,62.549999,60057000,62.549999
"50",62.880001,70.25,61.830002,67.730003,59187600,67.730003
"51",67.730003,70.690002,66.900002,70.260002,36253000,70.260002
"52",70.220001,72.889999,69.970001,71.339996,35793100,71.339996
"53",71.190002,71.190002,60.299999,64.230003,68748400,64.230003
"54",64.440002,67.18,63.98,66.309998,26602900,66.309998
"55",66.120003,66.739998,59.389999,63.799999,32423600,63.799999
"56",63.93,64.599998,56.470001,59.259998,40169700,59.259998
"57",59.34,64.989998,58.18,63.68,24073000,63.68
"58",63.75,64.349998,59,63.869999,26032700,63.869999
"59",63.77,69.230003,60.849998,67.160004,47203900,67.160004
"60",67.800003,67.900002,64.589996,65.010002,28929300,65.010002
"61",65.480003,67.43,64.209999,65.970001,17468100,65.970001
