"","stock_data$STZ.Open","stock_data$STZ.High","stock_data$STZ.Low","stock_data$STZ.Close","stock_data$STZ.Volume","stock_data$STZ.Adjusted"
"1",16.23,17.120001,15.27,15.62,36878200,15.578271
"2",15.65,17.32,14.97,17.059999,37540700,17.014424
"3",17.25,17.559999,16.209999,16.66,23619200,16.615493
"4",16.85,18.290001,16.639999,17.690001,31385900,17.642742
"5",17.780001,19.84,17.35,19.73,39227900,19.677291
"6",19.68,21.01,19.370001,20.610001,34709600,20.554941
"7",20.870001,22.52,20.84,22.15,30890800,22.090826
"8",22.18,22.18,18.84,19.219999,48529400,19.168653
"9",19.299999,21.1,19.23,20.32,27670100,20.265715
"10",20.41,20.43,18.120001,20.280001,45430800,20.225823
"11",20.4,22.889999,20.200001,22.389999,49803300,22.330185
"12",22.49,23.190001,21.379999,21.959999,34630800,21.901333
"13",21.77,21.940001,20.559999,20.82,44033600,20.764379
"14",20.809999,22,20.16,20.389999,37958800,20.335528
"15",20.51,20.549999,16.42,19.77,68130100,19.717185
"16",19.68,19.790001,17.35,18,42378900,17.951913
"17",17.799999,21.030001,17.049999,20.219999,52475400,20.165982
"18",19.65,20.559999,17.950001,19.469999,37497400,19.417986
"19",19.4,21.01,18.950001,20.67,31401900,20.614781
"20",20.959999,21.24,19.139999,20.9,30936100,20.844166
"21",21.09,22.34,21.049999,21.84,30085900,21.781655
"22",21.93,23.92,21.68,23.59,28202800,23.52698
"23",23.530001,24.870001,20.93,21.6,73802000,21.542296
"24",21.59,21.879999,18.6,19.290001,51296500,19.238468
"25",18.98,27.440001,18.5,27.059999,74861000,26.987709
"26",26.74,29.48,26.549999,28.209999,74703400,28.134637
"27",28.469999,33.23,28.469999,32.939999,56392700,32.852
"28",33.040001,34.200001,31.99,32.349998,44627900,32.263576
"29",32.57,36.98,32.240002,35.34,63181500,35.24559
"30",35.419998,36.610001,33.459999,35.880001,32539300,35.784148
"31",35.98,36.150002,34.139999,35.389999,24502300,35.295456
"32",35.950001,39.650002,28.370001,32.360001,98376200,32.273552
"33",32.98,44.990002,30.41,44.240002,153557600,44.121815
"34",44.139999,47.82,42.419998,47.639999,46588200,47.51273
"35",47.66,49.540001,46.830002,49.349998,62865500,49.218161
"36",48.970001,54.639999,48.68,53.009998,45313800,52.868383
"37",53.209999,53.650002,49.09,52.119999,36921100,51.980761
"38",52.490002,53.75,49.32,52.09,45916800,51.950843
"39",52.5,56,52.5,54.25,26092800,54.105072
"40",55.200001,59.919998,54.220001,57.400002,34426400,57.246659
"41",57.330002,65.790001,57.09,65.300003,42218200,65.125555
"42",65.449997,71.18,65.089996,70.410004,24226800,70.221905
"43",70.669998,71.620003,68.169998,70.379997,23207800,70.191978
"44",70.019997,81.559998,68.540001,76.669998,43498200,76.465176
"45",76.300003,82.839996,74.690002,81.029999,23343200,80.813529
"46",80.769997,85.199997,80.220001,84.970001,26725300,84.743006
"47",85.400002,85.910004,76.260002,79.839996,37568800,79.626705
"48",79.900002,84.32,78.43,84.129997,21806100,83.905246
"49",83.809998,88.599998,82.190002,88.129997,25223000,87.89456
"50",88.269997,94.769997,82.970001,83.260002,30993400,83.037575
"51",82.870003,88.169998,82.029999,87.089996,15462300,86.857337
"52",87.290001,88.5,84.800003,87.160004,19802800,86.927157
"53",86.660004,91.599998,80.699997,91.540001,39524800,91.295454
"54",91.620003,96.599998,91.620003,96.400002,16445200,96.142471
"55",95.82,100.769997,89.339996,98.169998,21940600,97.907739
"56",98.169998,112.389999,96.529999,110.449997,34462400,110.154932
"57",110.449997,116.290001,109.470001,114.720001,16924000,114.413529
"58",114.43,118.5,110.449997,116.209999,21638600,115.899546
"59",116.139999,121.919998,114.75,115.940002,21458700,115.630271
"60",116.470001,120.480003,114.650002,117.889999,17258900,117.889999
"61",118.790001,121.949997,118.010002,121.75,6116700,121.75
