"","stock_data$APOL.Open","stock_data$APOL.High","stock_data$APOL.Low","stock_data$APOL.Close","stock_data$APOL.Volume","stock_data$APOL.Adjusted"
"1",50.880001,52.310001,42.41,42.470001,61528900,42.470001
"2",41.529999,51.279999,41.450001,46.130001,74822900,46.130001
"3",46.799999,47.220001,38.389999,42.490002,97338100,42.490002
"4",42.740002,53.610001,42.619999,51.349998,75216900,51.349998
"5",51.400002,53.599998,35.5,37.48,116350200,37.48
"6",37.5,39.25,33.75,34,66021400,34
"7",34.240002,40.209999,34.099998,39.490002,54445400,39.490002
"8",39.869999,43.75,34.43,41.27,79281500,41.27
"9",41.450001,46.419998,40.900002,45.259998,29569400,45.259998
"10",45.459999,45.669998,38,41.709999,46417700,41.709999
"11",42.43,43.349998,38.450001,40.029999,36492700,40.029999
"12",40.130001,43.110001,39.529999,41.110001,30891700,41.110001
"13",40.919998,48.189999,40.599998,43.68,58869400,43.68
"14",45.98,54.23,45.619999,50.830002,53021700,50.830002
"15",52.16,52.310001,42.599998,46.830002,53221300,46.830002
"16",47,47.779999,39.450001,39.610001,32214900,39.610001
"17",39.25,50.02,37.080002,47.349998,45240300,47.349998
"18",46.799999,48.669998,44.310001,48.48,33096200,48.48
"19",48.119999,54.580002,47.540001,53.869999,32819700,53.869999
"20",54.48,58.290001,52.060001,52.41,55632700,52.41
"21",52.68,54.380001,42.290001,42.639999,41585400,42.639999
"22",42.900002,43.799999,38.139999,38.639999,57926900,38.639999
"23",38.599998,39.549999,33.709999,35.220001,49915500,35.220001
"24",35.220001,35.610001,30.93,31.82,42153700,31.82
"25",31.219999,36.580002,31.16,36.189999,52317200,36.189999
"26",37.419998,38.34,26.280001,27.200001,55741000,27.200001
"27",27.49,28.969999,25.77,26.85,30963300,26.85
"28",26.91,30.41,26.84,29.049999,33193200,29.049999
"29",29.35,29.469999,19.18,20.08,68207200,20.08
"30",20.1,21.639999,18.360001,19.190001,59226800,19.190001
"31",19.34,22.48,18.99,20.92,44895400,20.92
"32",21.6,22.27,18.52,20.219999,66439800,20.219999
"33",20.59,20.98,16.799999,16.870001,61849400,16.870001
"34",16.780001,19.629999,15.98,17.379999,59171900,17.379999
"35",17.540001,18.540001,16.540001,18.370001,46051900,18.370001
"36",18.299999,21.91,17.299999,19.99,54691700,19.99
"37",20.110001,22.91,16.889999,17.719999,75544400,17.719999
"38",17.870001,19.860001,17.450001,18.219999,51592100,18.219999
"39",18.34,21.07,18.059999,18.57,46886700,18.57
"40",18.83,21.48,18.5,20.809999,33042000,20.809999
"41",20.860001,29.07,19.860001,26.709999,80402800,26.709999
"42",26.870001,27.49,24.66,26.290001,39873800,26.290001
"43",26.200001,27.450001,24.18,27.32,37768400,27.32
"44",27.120001,35.919998,26.610001,32.290001,71833400,32.290001
"45",32.290001,35.25,31.23,33.330002,38311900,33.330002
"46",33.02,34.389999,31.860001,34.240002,28862100,34.240002
"47",34.380001,35.23,26.549999,28.860001,64938400,28.860001
"48",28.719999,30.27,26.049999,26.799999,34593700,26.799999
"49",26.85,31.780001,26.290001,31.25,32058600,31.25
"50",31.24,32.099998,27.889999,27.93,26046300,27.93
"51",27.85,28.27,26.459999,27.77,20818600,27.77
"52",27.879999,28.5,24.940001,25.15,20815800,25.15
"53",25.110001,28.93,23.299999,28.66,35769800,28.66
"54",28.75,31.440001,27.940001,31.219999,20989000,31.219999
"55",31.07,34.549999,30.870001,34.110001,29490500,34.110001
"56",34.16,34.189999,24.82,25.26,37156700,25.26
"57",25.32,28.66,24.98,27.65,18540600,27.65
"58",27.58,28.530001,18.809999,18.92,45180600,18.92
"59",18.32,19.02,16.58,16.790001,48604700,16.790001
"60",16.92,17.4,16.049999,16.58,24476400,16.58
"61",16.700001,17.360001,16.34,16.530001,10408200,16.530001
