"","stock_data$UTX.Open","stock_data$UTX.High","stock_data$UTX.Low","stock_data$UTX.Close","stock_data$UTX.Volume","stock_data$UTX.Adjusted"
"1",64.529999,70.620003,63.860001,64.910004,80774600,57.851038
"2",64.849998,72,63.619999,71.099998,97512700,63.36787
"3",72.040001,73.809998,64.57,65.209999,92384800,58.470846
"4",66.029999,72.940002,65.68,71.230003,77627600,63.868711
"5",71.68,75.580002,70.230003,74.769997,93452400,67.042862
"6",75.269997,76.910004,73.43,75.269997,84879000,67.8802
"7",76.540001,79.699997,76.540001,78.720001,73895800,70.991492
"8",79.190002,83.080002,77.809998,81.300003,77449800,73.318197
"9",81.629997,85.459999,81.43,83.540001,62508100,75.717173
"10",83.730003,85.110001,77.050003,84.650002,95935400,76.723232
"11",85.089996,89.800003,81.190002,89.580002,75362800,81.191578
"12",90.029999,90.669998,85.209999,87.769997,83849400,79.988262
"13",87.269997,89.650002,82.43,88.510002,95708300,80.662658
"14",88.720001,91.830002,81.5,82.839996,91767300,75.495358
"15",83.309998,83.82,67.120003,74.25,172741800,68.117627
"16",74.32,77.580002,67.32,70.360001,131137000,64.548906
"17",69.879997,79.970001,66.870003,77.980003,109345000,71.539566
"18",76.129997,80.360001,70.410004,76.599998,88501200,70.701331
"19",76.199997,78.32,71.599998,73.089996,93171400,67.461621
"20",74.910004,78.860001,73.620003,78.349998,96897900,72.316571
"21",78.970001,85.199997,78.970001,83.870003,92330900,77.853011
"22",83.860001,87.5,81,82.940002,99387800,76.989731
"23",82.5,83.57,78.349998,81.639999,66146200,75.782992
"24",81.5,82.239998,72.139999,74.110001,80701700,69.229471
"25",72.709999,77.050003,70.709999,75.529999,97150000,70.555955
"26",75.400002,76.129997,70.949997,74.440002,77203200,69.537741
"27",74.900002,81.190002,73.099998,79.849998,83915700,75.108082
"28",79.699997,82.559998,76.93,78.290001,97071700,73.640726
"29",78.559998,79.370003,75.690002,78.160004,81335200,73.518448
"30",78.459999,80.389999,74.440002,80.110001,85918400,75.879863
"31",80.730003,83.639999,79.339996,82.010002,80142300,77.679537
"32",83.43,90,83.110001,87.57,83630700,82.945944
"33",87.989998,91.510002,87.989998,90.550003,75449800,86.2816
"34",90.260002,94,88.489998,93.43,62666900,89.025838
"35",93.160004,95.839996,90.620003,91.290001,76985000,86.986715
"36",91.040001,98.18,90.919998,94.900002,69030600,90.933677
"37",95.160004,96.419998,90.300003,92.940002,73604000,89.055596
"38",93.309998,106.550003,93.120003,105.57,70562500,101.157725
"39",106.419998,107.860001,99.5,100.099998,57611200,96.39924
"40",101.099998,112.459999,101.089996,107.82,59831800,103.833828
"41",108.080002,108.559998,102.209999,106.25,72782100,102.321872
"42",106.449997,111.900002,106.019997,110.860001,48495300,107.350898
"43",111.169998,113.940002,105.900002,113.800003,58083600,110.197839
"44",112.900002,118.199997,111.57,114.019997,74720800,110.410869
"45",114.110001,117.910004,107,117.019997,73656000,113.910877
"46",115.599998,118.419998,112.32,116.839996,73944300,113.73566
"47",117.089996,120.660004,113.540001,118.330002,68594100,115.186077
"48",118.029999,119.190002,112.599998,116.220001,59883800,113.697075
"49",116.410004,120.190002,115.059998,115.449997,65225100,112.943786
"50",115.970001,116.470001,105.099998,105.150002,103539700,102.867385
"51",104.919998,110.339996,103.139999,107.980003,76732700,106.233398
"52",108.260002,110,104.25,105.599998,72710500,103.89189
"53",105.199997,107.949997,97.300003,107,124777000,105.269246
"54",107.419998,112.260002,106.029999,110.080002,77228700,108.892876
"55",109.059998,118.019997,108.699997,115,91290000,113.759816
"56",115.139999,120.949997,110.230003,114.779999,97980800,113.542187
"57",115.169998,124.449997,114.050003,121.910004,61062100,121.245193
"58",121.910004,123.5,115.019997,117.199997,90574600,116.560872
"59",117.370003,119,113.290001,113.75,66243100,113.129688
"60",114.589996,119.660004,114.269997,117.169998,61671800,117.169998
"61",117.230003,119.120003,116.019997,117.5,24012500,117.5
