"","stock_data$AAPL.Open","stock_data$AAPL.High","stock_data$AAPL.Low","stock_data$AAPL.Close","stock_data$AAPL.Volume","stock_data$AAPL.Adjusted"
"1",244.83997,279.009991,242.199989,251.530029,2733869600,33.752919
"2",254.299999,265.989986,239.599983,257.25,3917426100,34.520484
"3",260.43998,264.280041,235.559998,243.099983,2397280200,32.621688
"4",247.470016,294.73003,246.280029,283.749966,2962479800,38.076526
"5",286.149994,319.000011,277.770016,300.979973,3058644400,40.388627
"6",302.220028,321.300011,297.759979,311.150005,2377021500,41.753348
"7",315.269993,326.659973,314.890038,322.560013,1743308700,43.284462
"8",325.640003,348.599995,324.839958,339.320023,2710383900,45.533495
"9",341.299988,364.899994,337.719959,353.20998,2323987400,47.397394
"10",355.470005,361.669987,326.259991,348.509979,2826614700,46.766699
"11",351.109985,355.130024,320.159985,350.12999,2313457300,46.984088
"12",349.740021,351.830002,329.42001,347.82999,1728015100,46.675451
"13",348.869987,352.130035,310.499977,335.670033,2315962600,45.043701
"14",335.950012,404.499966,334.200012,390.480019,2663486700,52.398676
"15",397.779972,399.500011,353.020016,384.829983,4035649800,51.640495
"16",385.819992,422.859985,366.48003,381.320023,2994362000,51.169492
"17",380.369987,426.699993,354.239964,404.779972,3285356900,54.317592
"18",397.41003,407.999966,363.320011,382.199989,2240925400,51.287575
"19",382.539997,409.090004,377.680019,404.999977,1576633100,54.347115
"20",409.399971,458.240021,408.999989,456.480034,1714963600,61.255245
"21",458.409958,547.610023,453.980003,542.440025,2842138600,72.790252
"22",548.169983,621.450005,516.219986,599.550011,3896084500,80.453865
"23",601.829956,644,554.999992,583.979988,3899747600,78.364517
"24",584.899956,596.759987,522.179962,577.730019,2776586400,77.525831
"25",569.159996,589.999992,548.499977,584.000015,1963956400,78.367204
"26",584.730019,619.869995,570.000015,610.759987,2227412600,81.958136
"27",615.909958,680.870003,600.25,665.240005,2069051600,89.652108
"28",665.759964,705.070023,656.000008,667.100021,2299751300,89.902776
"29",671.159981,676.750015,587.699966,595.319954,3035707500,80.229223
"30",598.219994,603.000023,505.75,585.279991,3232462800,79.236429
"31",593.649956,594.590004,501.230003,532.170044,3033188200,72.046293
"32",553.819992,554.999992,435.000023,455.489998,3280855900,61.665188
"33",459.110001,484.939964,437.66003,441.399982,2336008500,60.105919
"34",438.000011,469.949982,418.999977,442.659985,2294219200,60.277494
"35",441.899994,445.249977,385.100029,442.780041,2740872400,60.293843
"36",444.460026,465.749992,418.900028,449.729973,2361882600,61.645571
"37",450.729996,454.43,388.870022,396.529984,1754634000,54.35332
"38",402.689991,457.340027,401.219971,452.529984,1634528700,62.029375
"39",455.749977,513.740036,453.259987,487.220016,2014584600,67.225378
"40",493.100044,507.919983,447.219982,476.749977,2157735300,65.780749
"41",478.449989,539.249992,478.279945,522.700027,1959433000,72.12082
"42",524.020004,558.330002,512.380005,556.069977,1306288900,77.173071
"43",558.000008,575.139999,538.799995,561.019997,1764349300,77.86005
"44",555.680008,560.200005,493.549988,500.600029,2191488600,69.474784
"45",502.610008,551.190025,499.299973,526.239975,1470091700,73.470331
"46",523.420044,549.000015,522.80999,536.739975,1250424700,74.936275
"47",537.760025,599.430008,511.329994,590.089981,1608765200,82.384669
"48",591.999985,644.170044,580.330025,633.000015,1433917100,88.869106
"49",633.959984,651.259979,89.650002,92.93,1207041500,91.327395
"50",93.519997,99.440002,92.57,95.599998,1035191700,93.951349
"51",94.900002,102.900002,93.279999,102.5,937077000,101.233408
"52",103.059998,103.739998,96.139999,100.75,1527890800,99.505033
"53",100.589996,108.040001,95.18,108,1360159200,106.665444
"54",108.220001,119.75,107.720001,118.93,820408200,117.969712
"55",118.809998,119.25,106.260002,110.379997,1073320800,109.488745
"56",111.389999,120,104.629997,117.160004,1305263400,116.214007
"57",118.050003,133.600006,116.080002,128.460007,1136200600,127.925653
"58",129.25,130.279999,121.629997,124.43,1138642100,123.91241
"59",124.82,134.539993,123.099998,125.150002,996135500,124.629416
"60",126.099998,132.970001,123.360001,130.279999,948046400,130.279999
"61",130.279999,131.389999,125.620003,128.880005,317171400,128.880005
