"","stock_data$MMM.Open","stock_data$MMM.High","stock_data$MMM.Low","stock_data$MMM.Close","stock_data$MMM.Volume","stock_data$MMM.Adjusted"
"1",75.779999,83,75.620003,78.989998,70279600,69.816094
"2",79.059998,87.480003,77.040001,85.540001,89556700,75.605379
"3",86.800003,88.379997,78.400002,78.550003,74721100,69.86338
"4",79.510002,88,79.290001,86.709999,64059700,77.120985
"5",87.379997,91.489998,83.800003,84.220001,82038100,74.906349
"6",84.57,87.870003,83,83.980003,85344700,75.161311
"7",85.419998,87.82,83.230003,86.300003,77138400,77.237688
"8",86.75,90.5,85.629997,87.919998,70774300,78.687569
"9",88.019997,93.650002,87.440002,92.230003,66069700,83.041425
"10",92.190002,94.160004,86.910004,93.5,80777700,84.184896
"11",93.529999,97.5,90.580002,97.209999,64783900,87.52528
"12",97.580002,97.949997,91.379997,94.379997,66189800,85.47811
"13",94.330002,95.059998,90.190002,94.849998,67513900,85.903781
"14",94.830002,98.190002,86.599998,87.139999,86582100,78.920986
"15",87.980003,88.169998,76.5,82.980003,150664200,75.660032
"16",83.019997,83.949997,71.709999,71.790001,116304100,65.457141
"17",71.129997,82.400002,68.629997,79.019997,113482500,72.049352
"18",77.889999,83.099998,75.489998,81.040001,94894200,74.413258
"19",81.25,82.800003,77.510002,81.730003,79927400,75.046838
"20",83.760002,87.989998,82.699997,86.709999,70287500,79.619614
"21",87.519997,88.459999,86.690002,87.599998,56589900,80.979833
"22",87.720001,90,84.830002,89.209999,60428600,82.468161
"23",88.790001,89.75,84.440002,89.360001,54391500,82.606827
"24",89.129997,89.949997,82.949997,84.410004,59884200,78.571334
"25",83.050003,89.599998,81.989998,89.599998,65465700,83.402335
"26",89.290001,92.080002,85.339996,91.230003,65037800,84.919592
"27",91.650002,94.300003,89.230003,92.599998,48767200,86.743893
"28",92.029999,94.099998,90.459999,92.419998,65053500,86.575276
"29",92.900002,95.459999,87.410004,87.599998,68655700,82.060097
"30",87.940002,91.970001,86.739998,90.949997,58270800,85.763165
"31",91.410004,94.139999,89.599998,92.849998,54850200,87.554811
"32",94.190002,101.949997,93.959999,100.550003,62614800,94.815688
"33",101.440002,104.559998,100.580002,104,47905000,98.674564
"34",103.389999,106.879997,102.589996,106.309998,50128700,100.866276
"35",106,108.720001,102.889999,104.709999,67230500,99.348207
"36",104.779999,112.379997,104.419998,110.269997,62323200,105.220002
"37",110.699997,113.25,107.150002,109.349998,53296100,104.342137
"38",108.370003,118.599998,108.209999,117.43,52519700,112.052102
"39",118.379997,119.260002,112.360001,113.580002,44047400,108.977976
"40",114.57,122.269997,112.849998,119.410004,53217500,114.571758
"41",119.690002,126.379997,116.650002,125.849998,54356200,120.750818
"42",126.760002,134.160004,124.860001,133.509995,45827900,128.729002
"43",131.669998,140.429993,125.150002,140.25,73382000,135.227648
"44",138.050003,139.289993,126.419998,128.190002,60369400,123.599519
"45",128.220001,135.199997,123.610001,134.729996,62329700,130.758873
"46",133.070007,135.869995,129.699997,135.660004,60219300,131.661469
"47",135.880005,139.520004,132.020004,139.089996,52411200,134.990364
"48",139.5,143.369995,138.649994,142.550003,48494200,139.197084
"49",142.270004,145.529999,141.610001,143.240005,35654200,139.870856
"50",143.410004,146.429993,140.600006,140.889999,43313100,137.576125
"51",140.149994,145.389999,138.429993,144,41032800,141.451386
"52",143.300003,147.869995,140.660004,141.679993,51777700,139.17244
"53",141.160004,154.440002,130.600006,153.770004,84979600,151.048474
"54",153.139999,160.860001,152.979996,160.089996,41060600,158.100677
"55",158.350006,168.160004,155.589996,164.320007,53435800,162.278125
"56",164.710007,166.570007,157.740005,162.300003,54720500,160.283221
"57",162.119995,169.979996,160.889999,168.649994,37327600,167.590248
"58",168.160004,170.5,161.210007,164.949997,48144100,163.913501
"59",164.289993,167.699997,156.009995,156.389999,53240700,155.407291
"60",156.789993,163.770004,156.550003,159.080002,42812300,159.080002
"61",159.100006,160.5,156.300003,159.039993,16136100,159.039993
