"","stock_data$WU.Open","stock_data$WU.High","stock_data$WU.Low","stock_data$WU.Close","stock_data$WU.Volume","stock_data$WU.Adjusted"
"1",15.72,16.5,14.83,14.91,95530500,13.14887
"2",14.91,17.209999,14.65,16.23,144091200,14.312955
"3",16.440001,16.66,15.41,15.68,96462400,13.82792
"4",15.85,17.860001,15.73,17.67,119027900,15.636786
"5",17.84,18.6,17.360001,17.59,107117400,15.565991
"6",17.809999,18.790001,17.33,17.639999,160524200,15.610237
"7",17.82,18.969999,17.82,18.57,93718600,16.495474
"8",18.67,20.530001,18.389999,20.280001,116054100,18.014444
"9",20.440001,22,20.18,21.99,117647700,19.533413
"10",21.940001,22.030001,20.299999,20.77,135084900,18.512034
"11",21.110001,21.879999,20.370001,21.25,100169200,18.939852
"12",21.33,21.49,20.15,20.559999,76918900,18.324863
"13",20.52,20.549999,19.219999,20.030001,115270200,17.923784
"14",20,20.540001,18.82,19.41,109298800,17.368979
"15",19.51,19.57,15.67,16.52,199139800,14.782871
"16",16.559999,16.84,15,15.29,155649600,13.750792
"17",15.14,18.16,14.55,17.469999,130880900,15.711336
"18",16.950001,17.68,15.86,17.440001,111689000,15.684358
"19",17.209999,18.48,17.15,18.26,120225700,16.497793
"20",18.77,19.57,18.059999,19.1,87671600,17.256728
"21",19.200001,19.82,17.41,17.469999,184386700,15.784032
"22",17.540001,18.299999,16.99,17.6,151221300,15.989779
"23",17.540001,18.67,17.280001,18.379999,118118400,16.698416
"24",18.379999,18.68,16.309999,16.4,132068100,14.899566
"25",16.23,16.98,15.79,16.84,129381100,15.393927
"26",16.950001,17.67,16.32,17.43,109999000,15.933263
"27",17.469999,17.93,16.76,17.610001,91306800,16.097806
"28",17.610001,19.139999,17.5,18.219999,89559400,16.745017
"29",18.32,18.6,12.48,12.73,147533300,11.699455
"30",13,13.08,11.93,12.61,312112400,11.58917
"31",12.72,14,12.5,13.61,172602700,12.627523
"32",13.86,14.33,13.23,14.23,211868200,13.202767
"33",14.39,14.87,13.8,14.03,219436200,13.017204
"34",13.96,15.05,13.92,15.04,190714500,14.075636
"35",15.05,15.17,14.24,14.81,168438800,13.860384
"36",14.62,16.85,14.54,16.379999,143405300,15.329715
"37",16.4,17.23,16.059999,17.110001,117803100,16.133962
"38",17.17,18.6,16.629999,17.959999,147934600,16.935472
"39",18.1,18.700001,17.450001,17.530001,90005000,16.530003
"40",17.77,19.110001,17.440001,18.66,87475800,17.712689
"41",18.66,19.5,15.51,17.02,199326900,16.155947
"42",17.09,17.76,16.219999,16.67,171568000,15.823715
"43",16.74,17.360001,16.290001,17.25,116201700,16.497311
"44",17.219999,17.83,15.29,15.4,145744800,14.728034
"45",15.43,16.99,15,16.73,155685800,16.000001
"46",16.540001,17.08,15.81,16.360001,120543700,15.764498
"47",16.41,16.91,14.6,15.87,153935100,15.292333
"48",15.92,16.57,15.56,16.17,117915600,15.581414
"49",16.200001,17.379999,15.85,17.34,123462900,16.837554
"50",17.379999,17.809999,17.15,17.469999,98532500,16.963786
"51",17.59,17.799999,16.68,17.469999,113350300,16.963786
"52",17.49,17.57,15.97,16.040001,93404700,15.68911
"53",16,17.33,15.32,16.959999,135819800,16.588983
"54",16.99,18.66,16.940001,18.58,120926400,18.173544
"55",18.530001,18.610001,16.950001,17.91,97314700,17.642233
"56",18.040001,18.16,16.809999,17,110857100,16.745838
"57",16.73,19.74,16.73,19.52,143100800,19.228163
"58",19.51,20.870001,18.719999,20.809999,155691500,20.662445
"59",20.74,21.049999,20.02,20.280001,118988400,20.136204
"60",21.01,22.84,20.870001,21.950001,141826900,21.794363
"61",22.01,22.34,21.440001,21.799999,30077100,21.645425
