"","stock_data$ADI.Open","stock_data$ADI.High","stock_data$ADI.Low","stock_data$ADI.Close","stock_data$ADI.Volume","stock_data$ADI.Adjusted"
"1",28.24,30.98,27.75,27.860001,56188800,24.163486
"2",27.860001,31.370001,27.25,29.709999,79533000,25.768023
"3",30.16,30.610001,27.65,27.879999,106552800,24.363642
"4",28.190001,31.959999,27.450001,31.379999,106181600,27.422205
"5",31.530001,34.09,30.690001,33.669998,96467800,29.423378
"6",33.93,36.490002,33.18,35.560001,83734200,31.075005
"7",36.02,38.599998,35.919998,37.669998,69251300,33.123806
"8",37.68,39.860001,36.900002,38.830002,69615000,34.143815
"9",39.09,41.66,38.790001,39.880001,53628900,35.067096
"10",39.790001,40.990002,36.290001,39.380001,64207000,34.823023
"11",39.82,40.75,36.900002,40.310001,52833700,35.645406
"12",40.52,43.279999,39.779999,41.169998,68500600,36.632289
"13",40.93,41.07,36.380001,39.139999,66358700,34.826035
"14",39.099998,40.490002,34.02,34.400002,74503900,30.608474
"15",34.91,34.939999,29.23,33.02,157527700,29.60651
"16",33.099998,35.130001,30.91,31.25,94052900,28.019486
"17",31.780001,37.75,30.65,36.57,84158100,32.789523
"18",35.48,37.52,32.18,34.860001,71671500,31.493231
"19",34.669998,36.799999,33.380001,35.779999,64225700,32.324376
"20",36.459999,40.380001,35.650002,39.130001,59217700,35.350836
"21",39.459999,40.830002,38.41,39.209999,58332500,35.423108
"22",39.32,40.599998,37.509998,40.400002,51036500,36.788003
"23",40.389999,40.459999,36.950001,38.98,47755200,35.494958
"24",39.150002,39.310001,34.25,36.369999,52267400,33.389768
"25",35.580002,38.48,35.18,37.669998,54289400,34.583242
"26",37.700001,39.700001,35.610001,39.080002,46572800,35.877707
"27",39.43,40.91,38.720001,39.740002,44456500,36.762482
"28",39.599998,41.790001,38.439999,39.18,44649600,36.244439
"29",39.349998,40.130001,37.82,39.119999,38357900,36.188933
"30",39.080002,41.490002,38.740002,40.599998,47164000,37.558043
"31",40.84,42.73,40.220001,42.060001,49347700,39.197937
"32",42.799999,44.330002,41.709999,43.639999,50692000,40.670421
"33",44.060001,47.27,43.68,45.220001,49244500,42.463746
"34",45,46.990002,44.330002,46.490002,40221800,43.656337
"35",46.279999,46.360001,41.810001,43.990002,61308800,41.308718
"36",44.119999,47.200001,43.580002,45.93,47043400,43.455334
"37",45.939999,46.82,43.860001,45.060001,44117200,42.63221
"38",45,49.669998,44.900002,49.380001,40737400,46.719452
"39",49.57,50,45.75,46.279999,32253200,44.111385
"40",46.970001,48.75,46.360001,47.049999,31318700,44.845305
"41",47.07,49.540001,45.279999,49.299999,40552700,46.989873
"42",49.68,50.790001,46.119999,48.220001,45679900,45.960482
"43",47.799999,51.200001,47.799999,50.93,38217400,48.87882
"44",49.52,50.540001,48.07,48.27,45397400,46.32595
"45",48.23,52.380001,47.139999,50.82,43365000,49.131096
"46",50.580002,54.330002,50.029999,53.139999,47785900,51.373995
"47",53.5,54.400002,50.07,51.290001,40488100,49.585478
"48",51.380001,53.130001,50.080002,52.380001,42620200,50.995123
"49",52.41,56.18,51.919998,54.07,39780900,52.640439
"50",53.77,54.93,49.619999,49.630001,38367100,48.31783
"51",49.610001,52.950001,48.810001,51.119999,37832800,49.768434
"52",51.099998,51.349998,48.639999,49.490002,46643700,48.536303
"53",49.349998,50.540001,42.57,49.619999,79553000,48.663795
"54",49.720001,54.950001,49.18,54.639999,37634100,53.587057
"55",54.48,57.990002,54.189999,55.52,53181200,54.81747
"56",55.68,56.25,52.049999,52.110001,36237100,51.450619
"57",52.099998,59.650002,51.290001,58.540001,37168100,58.189725
"58",58.810001,64.940002,56.27,63,55035000,62.623038
"59",62.830002,64.739998,61.290001,61.84,42092000,61.469979
"60",62.349998,68.75,61.259998,67.959999,53261700,67.959999
"61",68.410004,68.970001,65.269997,67.720001,16993600,67.720001
