"","stock_data$R.Open","stock_data$R.High","stock_data$R.Low","stock_data$R.Close","stock_data$R.Volume","stock_data$R.Adjusted"
"1",42.25,45.869999,40.09,40.23,10314700,36.106388
"2",40.279999,44.779999,38.07,43.669998,15899400,39.193783
"3",44.389999,44.450001,37,38.369999,11804400,34.664429
"4",39.080002,44.110001,38.59,42.77,10839500,38.639502
"5",43.150002,46.799999,41.43,43.75,11739400,39.524858
"6",43.93,45.650002,42.32,43.110001,8979700,39.192417
"7",44.189999,52.799999,43.889999,52.639999,11973200,47.856385
"8",53.09,53.630001,47.720001,48.080002,11040900,43.710773
"9",48.689999,52.209999,45.93,47.830002,13003500,43.723192
"10",48.040001,50.860001,46.16,50.599998,13376600,46.255349
"11",50.91,54.68,49.32,53.5,15619700,48.906349
"12",53.91,55.669998,51.700001,55,14460000,50.524506
"13",54.689999,57.040001,50.029999,56.849998,11806500,52.223965
"14",57.18,60.380001,55.310001,56.32,12014700,51.737094
"15",57.150002,57.540001,40.18,47.080002,24570800,43.523786
"16",47.150002,47.630001,37.509998,37.509998,14015600,34.676658
"17",37.009998,52.369999,34.279999,50.939999,17543500,47.092215
"18",48.810001,53.889999,46.740002,52.279999,14433000,48.599864
"19",52.299999,54.349998,49.549999,53.139999,9942600,49.399327
"20",54.66,57.34,53.619999,56.279999,9006400,52.318293
"21",56.889999,57.630001,51.41,53.23,14318600,49.752679
"22",53.41,55.950001,51.52,52.799999,11733200,49.350769
"23",52.619999,54.279999,48.110001,48.720001,17432700,45.537302
"24",48.84,50.259998,40.93,43.209999,17268900,40.657866
"25",42.209999,43.889999,33.950001,36.009998,20483300,33.883122
"26",35.860001,39.790001,32.759998,39.439999,21346100,37.110534
"27",39.57,42.759998,37.740002,40.009998,10597900,37.931792
"28",40.029999,43.360001,38.349998,39.060001,8398200,37.03114
"29",39.080002,47,38.689999,45.119999,10848300,42.776368
"30",44.860001,48.25,42.779999,47.07,9978900,44.941645
"31",47.580002,51.009998,46.720001,49.93,9250000,47.672326
"32",51,57.360001,50.41,56.779999,9557100,54.212589
"33",57.779999,59.349998,54.040001,56.200001,12555000,53.948764
"34",55.860001,61.68,54.450001,59.75,11001400,57.356558
"35",59.75,61.73,52.580002,58.07,18921000,55.743855
"36",57.790001,64.68,56.560001,63.040001,13269500,60.817442
"37",63.150002,63.639999,58.360001,60.790001,9400700,58.646769
"38",60.75,63.5,59.369999,61.84,12143800,59.659749
"39",62.5,64.989998,55.52,55.610001,13583400,53.955912
"40",56.400002,62.029999,55.169998,59.700001,10642900,57.924257
"41",59.669998,66.519997,56.93,65.830002,12649600,63.871925
"42",66.110001,70.349998,63.990002,69.839996,10515100,68.113584
"43",69.830002,73.970001,66.160004,73.779999,9548500,71.956191
"44",73.110001,75.199997,69.970001,71.190002,10206800,69.430219
"45",71.099998,75.910004,64.360001,75.32,11818200,73.808811
"46",74.449997,80.620003,73.959999,79.919998,12404400,78.316517
"47",80.07,84.400002,77.93,82.18,15138600,80.531175
"48",82.129997,87.010002,80.650002,86.790001,11175700,85.398849
"49",86.900002,89.25,85.169998,88.089996,9031100,86.678007
"50",88.290001,91.910004,85.32,86.129997,12851600,84.749425
"51",86,91.610001,84.199997,90.339996,8665800,89.269898
"52",90.75,93.870003,89.309998,89.970001,8749100,88.904286
"53",89.919998,90.459999,77.139999,88.470001,19921500,87.422054
"54",88.650002,95.82,87.809998,95.519997,9829700,94.768355
"55",95.32,95.790001,86.110001,92.849998,10746900,92.119367
"56",93.239998,93.639999,82.290001,82.790001,12191500,82.138531
"57",83.360001,95.779999,82.650002,93.989998,12582000,93.619606
"58",94.330002,99.32,90.209999,94.889999,9935400,94.516061
"59",94.660004,100.639999,93.169998,95.360001,13415100,94.98421
"60",95.82,97.839996,91.120003,91.650002,11144300,91.650002
"61",91.889999,95.290001,90.970001,94.349998,4750100,94.349998
