"","stock_data$EOG.Open","stock_data$EOG.High","stock_data$EOG.Low","stock_data$EOG.Close","stock_data$EOG.Volume","stock_data$EOG.Adjusted"
"1",105.82,113.900002,98.050003,98.370003,97711000,47.697043
"2",98.519997,108.470001,95.779999,97.5,104501400,47.343907
"3",99.309998,103.75,85.419998,86.870003,129505400,42.182209
"4",88.279999,94.849998,87.269997,92.970001,115432600,45.144237
"5",94.110001,102.059998,93.660004,95.720001,88396400,46.55253
"6",96.879997,98.360001,86,88.949997,135612800,43.260001
"7",90.489998,96.07,89.529999,91.410004,73647600,44.456403
"8",92.449997,106.580002,90.839996,106.389999,93810400,51.824827
"9",106.720001,115.169998,102.339996,112.309998,85629600,54.708584
"10",109.5,121.440002,102,118.510002,134038600,57.728737
"11",119.169998,119.82,107.839996,113.050003,71862000,55.149838
"12",113.480003,113.800003,101.839996,109.139999,84704000,53.242398
"13",109.510002,112.040001,96.620003,104.550003,107480400,51.003234
"14",104.370003,107.879997,96.400002,102,94015600,49.839892
"15",103.889999,104.32,85.580002,92.589996,164413600,45.241916
"16",93.32,94.160004,69.550003,71.010002,111806000,34.697361
"17",70.139999,95.260002,66.809998,89.43,137533200,43.784398
"18",85.989998,104.470001,83.879997,103.739998,123036200,50.790488
"19",103.629997,106.199997,93.010002,98.510002,98013200,48.229913
"20",100.610001,107.5,99.82,106.139999,91064600,52.04623
"21",106.949997,119.970001,104.68,113.860001,105450400,55.831768
"22",114.25,117.970001,107.150002,111.099998,83760400,54.478388
"23",110.989998,114.330002,100.589996,109.809998,87192800,53.934894
"24",110.300003,112.239998,95.779999,99.300003,101104200,48.772746
"25",95.879997,97.400002,82.480003,90.110001,145698200,44.258933
"26",89.540001,101.620003,87.540001,98.010002,95116200,48.229189
"27",98.93,111.559998,95.279999,108.300003,87050400,53.292737
"28",108.260002,119.690002,107.190002,112.050003,63408200,55.138053
"29",112.989998,116.57,107.760002,116.489998,67922200,57.412631
"30",116.489998,124.489998,112.720001,117.620003,82898000,57.969559
"31",118.239998,124.5,116.57,120.790001,57130400,59.531907
"32",123.400002,129.429993,121.440002,124.980003,60239800,61.681084
"33",126.639999,138.199997,120.760002,125.709999,75449600,62.041357
"34",124.639999,132.839996,121,128.070007,68097600,63.206086
"35",128.070007,130.199997,112.050003,121.160004,88243200,59.883585
"36",120.389999,139,117.760002,129.100006,93817600,63.807947
"37",130.149994,137.990005,124.529999,131.679993,62152600,65.083111
"38",133.789993,150.050003,133.240005,145.490005,75041600,72.002282
"39",147.570007,161.470001,147.570007,157.050003,70216600,77.723268
"40",159.460007,173.919998,157.050003,169.279999,56347200,83.775832
"41",168.610001,188.300003,168.550003,178.399994,79018600,88.381039
"42",178.610001,183.600006,164.190002,165,77279400,81.742556
"43",166,170.5,156.009995,167.839996,85691600,83.149517
"44",166.570007,173.279999,161.259995,165.240005,70765000,81.952841
"45",164.610001,191.080002,161.5,189.419998,87900800,93.94521
"46",189.050003,199.5,181.660004,196.169998,84702200,97.292957
"47",99.379997,105.5,96.529999,98,85676000,97.331994
"48",98.330002,106.709999,96.010002,105.800003,68746700,105.078829
"49",105.949997,118.889999,104.949997,116.860001,64411500,116.063438
"50",117.440002,118.809998,109.370003,109.440002,56337000,108.81159
"51",108.650002,112.120003,103.57,109.879997,62161800,109.249058
"52",109.57,109.849998,97.449997,99.019997,85050400,98.451417
"53",99.209999,99.730003,81.07,95.050003,166934500,94.693965
"54",95.050003,103.040001,85.190002,86.720001,112954100,86.395166
"55",85.519997,97.269997,83.660004,92.07,145735100,91.725124
"56",91.010002,94.410004,82.720001,89.029999,107902100,88.872042
"57",90.989998,97.879997,86.580002,89.720001,118314800,89.560821
"58",89.720001,92.5,84.099998,91.690002,87828400,91.527327
"59",92.040001,100.440002,89.230003,98.949997,76293500,98.949997
"60",99.209999,101.360001,88,88.690002,86589800,88.690002
"61",89.019997,91.480003,86.82,90.410004,24816300,90.410004
