"","stock_data$THC.Open","stock_data$THC.High","stock_data$THC.Low","stock_data$THC.Close","stock_data$THC.Volume","stock_data$THC.Adjusted"
"1",4.94,5.28,4.34,4.34,49470700,17.360001
"2",4.47,4.78,4.05,4.6,46715500,18.4
"3",4.64,4.78,3.92,3.92,36860800,15.68
"4",3.95,4.77,3.93,4.72,52791400,18.879999
"5",4.72,4.74,4.12,4.36,32046800,17.440001
"6",4.38,4.75,3.96,4.08,41810200,16.32
"7",4.15,6.86,4.08,6.69,108909500,26.76
"8",6.75,7.1,6.57,6.65,47934700,26.6
"9",6.73,7.27,6.6,7.18,33233800,28.719999
"10",7.19,7.55,6.86,7.45,39228300,29.799999
"11",7.46,7.7,6.01,6.93,82578500,27.719999
"12",6.51,6.74,6.17,6.38,90606700,25.52
"13",6.37,6.5,5.89,6.24,56639700,24.959999
"14",6.25,6.54,5.5,5.56,39562300,22.24
"15",5.69,5.69,4.44,5.28,73601000,21.120001
"16",5.29,5.46,4.02,4.11,58609900,16.440001
"17",4.04,5.3,3.46,4.73,62272500,18.92
"18",4.85,5.25,4.09,4.65,45573800,18.6
"19",4.74,5.2,4.05,5.13,35339100,20.52
"20",5.15,5.59,4.59,5.29,39002600,21.16
"21",5.33,6.05,5.27,5.65,54739400,22.6
"22",5.68,5.79,5.06,5.31,46222200,21.24
"23",5.31,5.55,4.91,5.19,28776700,20.76
"24",5.22,5.41,4.52,4.71,36026500,18.84
"25",4.61,5.64,4.33,5.24,40024700,20.959999
"26",5.33,5.35,4.31,4.62,27100000,18.48
"27",4.65,5.35,4.45,5.19,33690100,20.76
"28",5.17,6.44,5.13,6.27,52412000,25.08
"29",6.51,24.84,5.87,23.6,49823000,23.6
"30",23.690001,29,23.67,28.959999,61974700,28.959999
"31",28.99,33.860001,28.700001,32.470001,40040700,32.470001
"32",33.169998,39.299999,33,38.830002,46957300,38.830002
"33",39.189999,40.939999,36.290001,39.310001,33121700,39.310001
"34",38.779999,48.25,38.41,47.580002,31537100,47.580002
"35",47.630001,49.130001,38.169998,45.360001,53663800,45.360001
"36",45,49.470001,43.919998,47.369999,43923900,47.369999
"37",47.560001,47.880001,41.16,46.099998,36232200,46.099998
"38",46.639999,47.080002,42.290001,44.650002,29564200,44.650002
"39",45,45.889999,38.369999,39.049999,29301800,39.049999
"40",39.490002,43.470001,36.869999,41.189999,34682000,41.189999
"41",41.209999,48.169998,40.77,47.189999,38276100,47.189999
"42",47.259998,48.48,40.459999,43.150002,47007400,43.150002
"43",43,43.599998,38.709999,42.119999,36558600,42.119999
"44",41.970001,47.939999,41.73,46.009998,39386100,46.009998
"45",46.110001,48.700001,42.849998,44.119999,40593600,44.119999
"46",43.490002,44.470001,38.400002,42.810001,38642400,42.810001
"47",42.849998,46.529999,37.950001,45.080002,38954900,45.080002
"48",45.029999,48.25,43.369999,47,32352400,47
"49",47.080002,50.25,46.049999,46.939999,32228700,46.939999
"50",47.130001,55.34,44.200001,52.77,37525500,52.77
"51",52.639999,61.799999,52.029999,61.18,34469100,61.18
"52",61.099998,63.610001,56.509998,59.389999,28844400,59.389999
"53",59.389999,59.650002,51.43,56.049999,37845100,56.049999
"54",56.07,58.970001,46.009998,48.049999,53482000,48.049999
"55",47.82,52.810001,46.41,50.669998,30949700,50.669998
"56",50.990002,52.450001,41.84,42.279999,43325000,42.279999
"57",42.220001,48.080002,41.470001,46.299999,32669000,46.299999
"58",46.209999,52.689999,46.130001,49.509998,40587600,49.509998
"59",49.759998,52.889999,47.580002,47.860001,29730900,47.860001
"60",48.169998,53.77,46.330002,53.189999,34218500,53.189999
"61",53.630001,53.889999,50.650002,52.009998,8593700,52.009998
