"","stock_data$PRGO.Open","stock_data$PRGO.High","stock_data$PRGO.Low","stock_data$PRGO.Close","stock_data$PRGO.Volume","stock_data$PRGO.Adjusted"
"1",59.009998,60.91,57.150002,59.07,15185400,58.130374
"2",59.18,59.419998,54.580002,56.009998,26444300,55.119048
"3",56.830002,60.25,55.939999,57.009998,21823400,56.16468
"4",57.810001,67.489998,57.459999,64.220001,20674500,63.267776
"5",64.660004,67.940002,62.91,65.879997,12285400,64.903158
"6",66.440002,68.379997,58.25,60.240002,22166900,59.412857
"7",61.099998,68.059998,60.82,63.330002,12171000,62.460429
"8",63.75,74.459999,62.310001,72.720001,17922100,71.721496
"9",71.290001,76.889999,70.589996,76.43,16661300,75.451716
"10",76.800003,79.57,72.510002,79.519997,15198000,78.502161
"11",79.589996,92.300003,78.800003,90.360001,13059500,89.203416
"12",88.459999,90.889999,80.830002,85.559998,12556100,84.536172
"13",84.470001,88.389999,81.690002,87.870003,10194800,86.818535
"14",88.199997,94.610001,87.830002,90.309998,8063300,89.229333
"15",91.089996,97.290001,75.889999,94.739998,25258900,93.67866
"16",94.75,100.989998,86.5,97.110001,17609600,96.022113
"17",96.330002,101.459999,88.709999,90.279999,17402200,89.268625
"18",87.970001,99.629997,87.010002,97.900002,16910400,96.889428
"19",97.629997,104.699997,95.040001,97.300003,40660900,96.295623
"20",98.730003,100.760002,93.760002,95.599998,16277100,94.613166
"21",96.25,104.620003,90.18,103.059998,25414700,102.077497
"22",102.410004,108.5,100.599998,103.309998,15831500,102.325114
"23",103.599998,108.599998,102.459999,104.900002,11014900,103.89996
"24",104.900002,105.940002,96.519997,103.889999,16159100,102.978594
"25",102.480003,118.269997,100.82,117.93,15549900,116.895425
"26",117.879997,119.290001,110.010002,114.019997,12143700,113.019723
"27",114.739998,119.18,104.860001,109.970001,16128900,109.083816
"28",109.480003,118.510002,109.169998,116.169998,11714900,115.233851
"29",116.32,120.779999,113.480003,114.919998,10573700,113.993924
"30",115.769997,116.779999,99.93,103.5,16472800,102.756027
"31",103.639999,108.5,101.449997,104.029999,13823300,103.282216
"32",105.209999,110.32,98.790001,100.510002,17273700,99.787522
"33",105.5,116.900002,104.889999,113.169998,16637800,112.44555
"34",113.25,118.860001,112.300003,118.739998,10779900,117.979893
"35",118.419998,121.120003,116.18,119.410004,9658700,118.64561
"36",119.25,121.330002,113.379997,115.839996,11877900,115.185323
"37",116.239998,122.040001,112.050003,121,16776600,120.316164
"38",121.190002,134.309998,120.599998,124.389999,28831800,123.687005
"39",125.519997,129.429993,115.940002,121.550003,26602000,120.956236
"40",122.230003,126.220001,121.199997,123.379997,18187800,122.777291
"41",123.349998,139.320007,123.110001,137.889999,26694300,137.216412
"42",138.220001,157.020004,137.029999,155.889999,19067400,155.217786
"43",156.880005,157.470001,148.149994,153.460007,38339700,152.808087
"44",152.449997,162.350006,151.130005,155.660004,23582000,154.998738
"45",155.020004,168.389999,144.460007,164.440002,28162100,163.848195
"46",162.949997,168.240005,151.869995,154.660004,17861000,154.103393
"47",154.860001,158.990005,137.529999,144.860001,23783700,144.33866
"48",145.149994,146.490005,125.370003,138.199997,31524800,137.809142
"49",138.75,149.009995,136.179993,145.759995,23132300,145.347759
"50",146.350006,160.649994,143.479996,150.449997,32075100,150.024497
"51",150.009995,153,137.289993,148.740005,21719900,148.424559
"52",149.440002,153.169998,135,150.190002,18336800,149.871481
"53",151.039993,163.630005,142.380005,161.449997,18312000,161.107595
"54",160.589996,161.149994,145.410004,160.190002,25587500,159.957326
"55",160.429993,171.570007,151.710007,167.160004,18805600,166.917203
"56",165.990005,172,151.389999,151.740005,16948100,151.519602
"57",151.880005,157.649994,147.210007,154.470001,21780100,154.371365
"58",154.470001,174.649994,153.690002,165.550003,23580400,165.444292
"59",166.259995,215.729996,161.860001,183.279999,84129800,183.162966
"60",186.800003,200.960007,182.649994,190.300003,23617700,190.300003
"61",191.699997,196.550003,186.830002,188,8441900,188
