"","stock_data$POM.Open","stock_data$POM.High","stock_data$POM.Low","stock_data$POM.Close","stock_data$POM.Volume","stock_data$POM.Adjusted"
"1",15.59,16.860001,15.5,15.68,35089000,12.094714
"2",15.75,17.49,15.4,16.91,45482000,13.04347
"3",17.030001,18.1,16.969999,17.950001,52667700,13.845672
"4",18.09,18.92,17.940001,18.6,38098000,14.560709
"5",18.76,19.799999,18.65,19.26,44054900,15.077379
"6",19.370001,19.469999,18.08,18.35,44411600,14.365001
"7",18.59,18.74,18.01,18.25,49193100,14.498198
"8",18.34,18.870001,17.959999,18.57,32559400,14.752412
"9",18.66,19.02,18.26,18.73,32171800,14.87952
"10",18.76,19.139999,17.83,18.65,44542700,15.029316
"11",18.790001,19.309999,18.1,19.27,29510800,15.528951
"12",19.379999,20.360001,19.190001,19.969999,45582400,16.093053
"13",19.940001,19.969999,18.9,19.629999,40756000,16.041516
"14",19.67,20.040001,18.620001,18.68,28977200,15.265183
"15",18.889999,19.57,16.57,19.48,83949100,15.918937
"16",19.5,19.59,18.09,18.92,49510900,15.682536
"17",18.790001,20.33,17.77,19.799999,37099000,16.411956
"18",19.299999,20.02,18.559999,19.780001,40117600,16.395379
"19",19.73,20.639999,19.02,20.299999,37611800,17.060219
"20",20.440001,20.48,19.5,19.66,36157800,16.522361
"21",19.870001,20.24,19.35,19.440001,40042800,16.337472
"22",19.49,19.74,18.629999,18.889999,67841400,16.097337
"23",18.92,18.98,18.139999,18.92,40896900,16.122903
"24",18.99,19.190001,18.469999,19.059999,47601400,16.242205
"25",18.93,19.629999,18.879999,19.57,35343900,16.910838
"26",19.6,20.200001,19.139999,19.959999,33025100,17.247844
"27",20,20.299999,19.120001,19.309999,47486300,16.686166
"28",19.35,19.530001,18.67,18.9,33259600,16.562505
"29",18.959999,20.059999,18.879999,19.870001,37282300,17.41254
"30",19.91,19.969999,18.799999,19.74,37990500,17.298617
"31",19.84,19.950001,19.129999,19.610001,39851200,17.422515
"32",19.85,20.450001,18.82,19.52,51778300,17.342554
"33",19.559999,20.49,19.219999,20.290001,37856600,18.026662
"34",20.290001,21.43,20.1,21.4,34289700,19.263132
"35",21.41,22.67,21.26,22.6,50800400,20.343308
"36",22.6,22.719999,20.629999,20.77,48685100,18.69604
"37",20.780001,21,19.35,20.16,43962300,18.388551
"38",20.280001,20.889999,19.190001,20.549999,58177800,18.744282
"39",20.58,20.74,18.75,18.940001,45509200,17.275753
"40",19.110001,19.110001,18.040001,18.459999,45548100,17.088825
"41",18.540001,19.620001,18.190001,19.280001,42239400,17.847919
"42",19.32,19.5,18.75,19.08,36607600,17.662773
"43",19.120001,19.25,18.5,19.129999,43572900,17.962583
"44",19.07,19.51,18.530001,19.43,41777900,18.244276
"45",19.459999,20.93,18.959999,20.389999,39057800,19.145691
"46",20.299999,20.58,19.540001,20.48,52411200,19.49111
"47",20.459999,26.889999,20.09,26.76,132387900,25.467877
"48",26.74,27.9,26.719999,27.700001,113108200,26.36249
"49",27.639999,27.879999,27.16,27.48,40236400,26.40905
"50",27.450001,27.92,26.809999,26.85,32496500,25.803603
"51",27.02,27.57,26.530001,27.559999,29793100,26.485932
"52",27.48,27.629999,26.76,26.76,23493900,25.972202
"53",26.799999,27.360001,26.35,27.34,31130600,26.535127
"54",27.32,27.65,27.17,27.5,24059800,26.690417
"55",27.42,27.530001,26.5,26.93,30988700,26.39703
"56",26.940001,27.5,26.92,27.450001,19114800,26.906739
"57",27.450001,27.49,26.959999,27.139999,21752300,26.602873
"58",27.139999,27.299999,26.75,26.83,30035700,26.562097
"59",26.85,27,25.83,25.98,25544100,25.720584
"60",25.969999,27.299999,24,27.25,60288900,26.977903
"61",27.200001,27.26,26.66,26.719999,11409700,26.719999
