"","stock_data$CMI.Open","stock_data$CMI.High","stock_data$CMI.Low","stock_data$CMI.Close","stock_data$CMI.Volume","stock_data$CMI.Adjusted"
"1",67.57,77.099998,65.019997,65.129997,47910800,59.807093
"2",64.870003,82.339996,63.040001,79.610001,74854300,73.103683
"3",81.480003,82.690002,71.510002,74.410004,63817700,68.548982
"4",77.07,92.860001,77,90.580002,54364500,83.445324
"5",91.370003,96.129997,87,88.099998,56006400,81.160663
"6",87.900002,98.730003,87.510002,97.120003,42198900,89.726636
"7",99.739998,111.870003,99.25,110.010002,33736800,101.63537
"8",111.080002,114.809998,102.580002,105.879997,42094300,97.819766
"9",106.980003,114.300003,97.199997,101.120003,57745600,93.640751
"10",102.379997,110.75,93.5,109.620003,60268400,101.512056
"11",110.879997,120.540001,101.160004,120.18,49361600,111.290992
"12",121.32,121.489998,101.739998,105.239998,57218400,97.697303
"13",104.790001,105.330002,91.129997,103.489998,76539100,96.072728
"14",103.800003,114,101.800003,104.879997,62105000,97.363105
"15",108.599998,108.75,79.620003,92.919998,104157100,86.637265
"16",92.800003,99.730003,81.510002,81.660004,90331500,76.138609
"17",80.900002,103.540001,79.529999,99.43,84344900,92.707097
"18",94.209999,103.949997,86.040001,96.330002,57032700,90.18469
"19",96.059998,98,85.510002,88.019997,49307300,82.404816
"20",90.449997,110.949997,90.370003,104,54320600,97.365385
"21",105.339996,124.690002,104.25,120.57,49120400,113.245695
"22",121.470001,129.509995,114.879997,120.040001,55413000,112.747892
"23",120.620003,123.339996,110.019997,115.830002,44669500,108.793639
"24",113.989998,114.470001,95.43,96.949997,59407200,91.415661
"25",94.699997,100.550003,88.309998,96.910004,60916700,91.37795
"26",97.25,101.209999,82.199997,95.900002,77028700,90.425604
"27",97.18,105.629997,93,97.110001,48552000,92.012367
"28",97.080002,104.709999,91.160004,92.209999,42993600,87.369583
"29",92.870003,94.980003,85.879997,93.580002,59401800,88.66767
"30",94.059998,101.989998,93.980003,98.160004,43163100,93.480716
"31",98.860001,109.779999,96.760002,108.349998,37448700,103.184953
"32",111.5,117.949997,109.190002,114.830002,33434500,109.356055
"33",115.559998,122.540001,110.870003,115.870003,33326600,110.812591
"34",114.959999,119.769997,111.580002,115.809998,32162300,110.755205
"35",115.809998,118.690002,105.860001,106.389999,42746900,101.746364
"36",105.25,122.32,103.410004,119.629997,41043600,114.891899
"37",119.75,120.709999,105.550003,108.459999,37915000,104.164303
"38",109.25,123.900002,107.510002,121.190002,36099000,116.390118
"39",122.599998,128.300003,120.709999,123.199997,31185600,118.92073
"40",125,136.5,123.459999,132.869995,26086600,128.254848
"41",132.009995,139.169998,122.519997,127.019997,38816300,122.608045
"42",127.419998,133.860001,127,132.360001,24821600,128.367659
"43",132.550003,141.389999,127.809998,140.970001,24943000,136.717958
"44",140.429993,141.669998,124.029999,126.980003,31719800,123.149937
"45",127.129997,148.600006,122.639999,145.919998,40252700,142.13946
"46",144.169998,150.339996,139.160004,148.990005,26514500,145.129929
"47",149.389999,151.800003,139.009995,150.850006,29477600,146.94174
"48",150.460007,154.869995,147,152.929993,20068600,149.601527
"49",153.449997,161.029999,151.699997,154.289993,20590200,150.931928
"50",153.369995,158.25,139.309998,139.389999,32305800,136.356227
"51",139.220001,148.039993,137.089996,145.110001,28634000,142.722675
"52",145.369995,145.630005,131.240005,131.979996,29714500,129.808683
"53",131.399994,147.139999,124.300003,146.179993,51957700,143.775063
"54",146.020004,149.710007,141.259995,145.619995,29011900,144.000073
"55",145.639999,151.25,137.970001,144.169998,30321400,142.566206
"56",145.220001,148.039993,139.220001,139.460007,36611100,137.90861
"57",139.860001,145.589996,133.5,142.229996,37703200,141.455332
"58",142.229996,146.130005,136.029999,138.639999,35682100,137.884889
"59",138.429993,139.419998,133.380005,138.259995,35778600,137.506954
"60",139.320007,143.399994,135.490005,135.550003,27433000,135.550003
"61",136.139999,137.710007,134.089996,137.160004,11779300,137.160004
