"","stock_data$PRU.Open","stock_data$PRU.High","stock_data$PRU.Low","stock_data$PRU.Close","stock_data$PRU.Volume","stock_data$PRU.Adjusted"
"1",56.66,60.459999,53.470001,53.66,68215700,46.340409
"2",53.52,57.610001,51.290001,57.290001,95994500,49.475253
"3",58.43,59.709999,48.560001,50.599998,94071200,43.697813
"4",51.25,57.950001,50.830002,54.18,94822500,46.789478
"5",54.18,55.380001,52.060001,52.580002,89829700,45.40773
"6",52.950001,56.5,50.529999,50.68,127155200,44.71086
"7",51.580002,60.080002,51.02,58.709999,94638300,51.795078
"8",59.43,63.34,58.869999,61.509998,63997500,54.26529
"9",62.27,67.519997,61.369999,65.830002,71747100,58.076479
"10",66.089996,66.57,56.400002,61.580002,98640700,54.327049
"11",61.779999,64.449997,59.459999,63.419998,58055900,55.950328
"12",63.810001,64.959999,60.669998,63.779999,63211800,56.267928
"13",63.349998,63.810001,57.380001,63.59,80481600,56.100307
"14",63.450001,65.300003,57.68,58.68,74465600,51.768612
"15",59.419998,59.619999,45.34,50.209999,149330000,44.296216
"16",50.169998,51.84,43.049999,46.860001,130653100,41.340784
"17",45.98,57.950001,42.450001,54.200001,119110500,47.816271
"18",51.73,54.82,44.689999,50.639999,128999100,45.996525
"19",50.009998,52.450001,46.75,50.119999,75597300,45.524206
"20",51.470001,58.720001,50.41,57.240002,79199200,51.991335
"21",57.900002,62.029999,57.5,61.16,60387800,55.551886
"22",61.360001,65.169998,59.580002,63.389999,68152700,57.577404
"23",63.259998,64.730003,58.400002,60.540001,56459300,54.988738
"24",60.450001,61.939999,45.619999,46.450001,124607800,42.190731
"25",45.400002,49.139999,44.470001,48.43,82005200,43.989173
"26",48.869999,49.369999,44.959999,48.279999,55999400,43.852926
"27",48.490002,55.799999,47.43,54.509998,54339100,49.511661
"28",54.5,59.200001,53.529999,54.509998,52183400,49.511661
"29",54.799999,59.98,53.939999,57.049999,74881700,51.818755
"30",57.049999,58.25,48.169998,52.119999,105889600,48.892338
"31",52.400002,54.5,50.889999,53.330002,63723400,50.027408
"32",54.939999,59.630001,53.400002,57.880001,52631200,54.295637
"33",58.450001,59.240002,53.700001,55.57,62753600,52.509814
"34",55.099998,60.599998,54.290001,58.990002,62718300,55.74148
"35",58.799999,60.509998,54.580002,60.419998,63745500,57.092728
"36",60.380001,70.760002,59.18,68.970001,71643700,65.563374
"37",69.330002,73.559998,67.129997,73.029999,63574200,69.422837
"38",73.099998,79.989998,72.870003,78.970001,45245600,75.069446
"39",79.669998,83.669998,74.099998,74.879997,54083900,71.541371
"40",76.019997,82.620003,75.32,77.980003,44091000,74.503159
"41",77.949997,83.139999,75.209999,81.389999,42649700,77.761116
"42",81.599998,90.639999,80.599998,88.760002,46947700,85.303745
"43",88.93,92.68,86.949997,92.220001,39881900,88.629014
"44",91.5,91.93,82.309998,84.389999,43734200,81.103907
"45",84.419998,87.029999,79.540001,84.580002,51045200,81.799636
"46",83.519997,89.769997,82.510002,84.650002,56190100,81.867334
"47",85.040001,87.699997,77.339996,80.68,58326500,78.027838
"48",80.660004,85.150002,78.900002,82.160004,51236900,79.981947
"49",82.440002,91.269997,82.089996,88.769997,56852000,86.416709
"50",89.230003,91.879997,86.970001,86.970001,46185700,84.664432
"51",86.559998,90.699997,84.669998,89.699997,46454100,87.838638
"52",90.019997,94.300003,87.940002,87.940002,46310600,86.115165
"53",87.660004,89.260002,75.889999,88.540001,63510500,86.702713
"54",88.550003,89.169998,83.050003,84.980003,48071700,83.794827
"55",84.870003,92.25,83.620003,90.459999,64488600,89.198396
"56",91.010002,91.349998,75.75,75.879997,59197100,74.821734
"57",76.379997,82.220001,74.510002,80.849998,70982800,80.30244
"58",80.849998,83.989998,78.510002,80.309998,60638800,79.766097
"59",80.239998,82.959999,78.519997,81.599998,44007200,81.047361
"60",82.400002,87.260002,81.989998,84.610001,46117700,84.610001
"61",84.860001,90.980003,83.660004,90.550003,21361100,90.550003
