"","stock_data$GE.Open","stock_data$GE.High","stock_data$GE.Low","stock_data$GE.Close","stock_data$GE.Volume","stock_data$GE.Adjusted"
"1",15.59,16.450001,14.27,14.42,1228534000,12.160215
"2",14.33,16.57,13.75,16.120001,1527426400,13.593805
"3",16.32,16.540001,14.25,14.48,1274370100,12.210812
"4",14.73,16.700001,14.6,16.25,1210463500,13.804814
"5",16.4,17.49,15.88,16.02,1320024500,13.609423
"6",16.09,16.860001,15.63,15.83,1109246900,13.448012
"7",16.030001,18.49,16.030001,18.290001,1229819700,15.660333
"8",18.49,20.74,18.120001,20.139999,1476539100,17.244346
"9",20.379999,21.65,20.08,20.92,962365500,18.036161
"10",21.120001,21.17,18.6,20.049999,1429087400,17.28609
"11",20.139999,20.85,19.51,20.450001,1083695800,17.630951
"12",20.700001,20.709999,18.969999,19.639999,910947400,16.932609
"13",19.469999,19.6,17.969999,18.860001,1141901000,16.393852
"14",18.860001,19.530001,17.780001,17.91,1066350000,15.568074
"15",18.389999,18.42,14.82,16.309999,2085886600,14.177291
"16",16.309999,16.450001,14.72,15.22,1776128400,13.356706
"17",15.1,17.5,14.02,16.709999,1437209100,14.664293
"18",16.129999,16.690001,14.68,15.91,1253904100,13.962233
"19",15.89,18.280001,15.73,17.91,1509282300,15.869893
"20",18.23,19.27,18.23,18.709999,982652900,16.578765
"21",18.940001,19.5,18.700001,19.049999,954007000,17.02934
"22",19.15,21,18.32,20.07,1064176400,17.941148
"23",20.030001,20.110001,18.700001,19.58,842616200,17.503123
"24",19.58,19.950001,18.32,19.09,964413700,17.065098
"25",18.82,20.84,18.02,20.84,1248335000,18.840927
"26",20.74,21,19.360001,20.75,1046050100,18.759561
"27",20.860001,21.190001,20.200001,20.709999,697543600,18.723397
"28",20.629999,22.959999,20.48,22.709999,1014974000,20.688347
"29",22.73,23.18,20.969999,21.059999,910358000,19.18523
"30",21.030001,21.780001,19.870001,21.129999,830869400,19.248999
"31",21.18,21.950001,20.26,20.99,903615300,19.295962
"32",21.51,22.58,20.68,22.280001,920691600,20.481851
"33",22.43,23.75,22.27,23.219999,765874500,21.520651
"34",23.02,23.9,22.85,23.120001,685974800,21.427971
"35",23.030001,23.719999,21.110001,22.290001,966366600,20.658715
"36",22.1,24.129999,22.1,23.32,844078200,21.613333
"37",23.370001,24.450001,22.76,23.190001,875361100,21.664502
"38",23.209999,24.950001,22.76,24.370001,793311300,22.766879
"39",24.6,24.870001,23.040001,23.139999,650686500,21.61779
"40",23.309999,24.91,22.92,23.889999,739519300,22.490341
"41",23.940001,26.48,23.5,26.139999,896140000,24.608519
"42",26.049999,27.5,26.030001,26.66,715104400,25.098054
"43",26.65,28.09,26.200001,28.030001,742552100,26.601299
"44",27.860001,27.940001,24.9,25.129999,923531400,23.849112
"45",25.129999,26.040001,24.32,25.469999,674796000,24.382974
"46",25.209999,26.35,24.92,25.889999,682155500,24.785049
"47",25.83,26.9,25.43,26.889999,658186900,25.74237
"48",26.73,26.959999,26.15,26.790001,441075100,25.64664
"49",26.709999,27.530001,26.200001,26.280001,561730900,25.365936
"50",26.27,27.15,25.15,25.15,729393000,24.275239
"51",25.07,26.450001,24.75,25.98,545107600,25.07637
"52",25.889999,26.4,25.299999,25.620001,552853300,24.937735
"53",25.43,25.93,23.690001,25.809999,815130100,25.122673
"54",25.49,27.1,25.48,26.49,516568200,25.784565
"55",26.16,26.469999,24.059999,25.27,866926900,24.828628
"56",25.34,25.459999,23.41,23.889999,899307600,23.472731
"57",24,26.27,23.9,25.99,672841800,25.770796
"58",25.879999,26.120001,24.67,24.809999,746913600,24.600748
"59",24.719999,28.68,24.57,27.08,1380578600,26.851602
"60",27.09,27.790001,26.610001,27.27,639317000,27.04
"61",27.26,27.68,27.07,27.629999,244064600,27.396963
