"","stock_data$AKAM.Open","stock_data$AKAM.High","stock_data$AKAM.Low","stock_data$AKAM.Close","stock_data$AKAM.Volume","stock_data$AKAM.Adjusted"
"1",42.98,46.720001,40.439999,40.57,73365700,40.57
"2",40.57,45.990002,37.209999,38.360001,102496400,38.360001
"3",38.880001,48.630001,36.689999,46.07,127221900,46.07
"4",47.07,53.060001,47.009998,50.18,77222800,50.18
"5",50.52,53.639999,42.91,51.669998,121075700,51.669998
"6",51.689999,54.389999,46.099998,52.189999,94437200,52.189999
"7",53.060001,54.650002,46.919998,47.049999,78339500,47.049999
"8",47.610001,52.720001,46.689999,48.32,77213400,48.32
"9",48.639999,49.599998,37.169998,37.529999,164332200,37.529999
"10",38,39.299999,34.599998,38,121749500,38
"11",38.150002,41.25,34.18,34.43,126044200,34.43
"12",34.41,35.830002,31.58,33.939999,126295200,33.939999
"13",33.900002,34.41,28.690001,31.469999,106355800,31.469999
"14",31.370001,31.92,23.639999,24.219999,108307400,24.219999
"15",24.530001,24.790001,19.73,21.940001,121784900,21.940001
"16",22.030001,22.98,19.5,19.879999,70649600,19.879999
"17",19.73,28.5,18.25,26.940001,125037600,26.940001
"18",25.91,30.469999,25.73,28.91,100672400,28.91
"19",28.82,32.560001,25.9,32.279999,98619600,32.279999
"20",32.970001,34.240002,31.01,32.23,74378700,32.23
"21",32.189999,39.139999,31.450001,36,88570500,36
"22",36.200001,37.970001,34.700001,36.700001,51927600,36.700001
"23",36.43,39.09,32.200001,32.59,79179700,32.59
"24",33.450001,34.48,28.120001,29.34,78162700,29.34
"25",28.6,32,25.9,31.75,67836200,31.75
"26",31.860001,36.130001,27.860001,35.18,76177600,35.18
"27",35.419998,38.02,34.279999,37.509998,54373500,37.509998
"28",37.360001,39.669998,37.27,38.259998,46550200,38.259998
"29",38.450001,40.32,35.77,37.990002,53093100,37.990002
"30",37.950001,39.259998,34.09,36.619999,49534800,36.619999
"31",36.73,41.880001,35.02,40.91,56570900,40.91
"32",41.860001,42.529999,39,40.709999,45475100,40.709999
"33",40.919998,42,33.549999,36.959999,112063500,36.959999
"34",36.700001,38.189999,34.259998,35.32,79066200,35.32
"35",35.369999,44.209999,32.630001,43.91,88406400,43.91
"36",43.869999,48.470001,43.470001,46.119999,48748200,46.119999
"37",46.220001,46.439999,40.080002,42.549999,38220300,42.549999
"38",42.740002,47.490002,42.169998,47.200001,44610800,47.200001
"39",47.509998,47.779999,45.529999,45.98,27843000,45.98
"40",46.400002,53.200001,46.400002,51.700001,37714500,51.700001
"41",51.740002,53.610001,44.700001,44.759998,61863600,44.759998
"42",45.009998,46.849998,44.009998,44.720001,32953700,44.720001
"43",44.709999,47.970001,43.740002,47.18,48052400,47.18
"44",47.110001,49.709999,45.799999,47.68,34321600,47.68
"45",48.880001,63.150002,45.59,61.130001,82397600,61.130001
"46",60.490002,62.919998,56.52,58.209999,49070800,58.209999
"47",58.759998,59.759998,50.52,53.07,52258400,53.07
"48",53.490002,56.75,51.099998,54.34,47538900,54.34
"49",54.560001,62.759998,53.529999,61.060001,38252600,61.060001
"50",61.099998,62.360001,58.130001,59.02,44140000,59.02
"51",58.790001,61.349998,56.400002,60.419998,28270400,60.419998
"52",60.5,64.739998,58.57,59.799999,31538300,59.799999
"53",59.509998,61.27,51.740002,60.299999,51249600,60.299999
"54",60.18,65.389999,58.490002,64.610001,23790500,64.610001
"55",64.160004,65.209999,59.860001,62.959999,27998500,62.959999
"56",63.48,63.900002,58.07,58.16,27008000,58.16
"57",58.599998,71.830002,56.849998,69.510002,40239300,69.510002
"58",69.800003,73.529999,68.510002,71.050003,31679900,71.050003
"59",70.980003,77.309998,69.879997,73.779999,32895900,73.779999
"60",73.949997,78.440002,73.75,76.269997,25317300,76.269997
"61",76.379997,76.5,72.190002,74.610001,13569600,74.610001
