"","stock_data$PLD.Open","stock_data$PLD.High","stock_data$PLD.Low","stock_data$PLD.Close","stock_data$PLD.Volume","stock_data$PLD.Adjusted"
"1",25.799999,27.780001,23.700001,23.709999,30527800,19.785504
"2",23.6,25.459999,22.049999,24.959999,51313300,21.077516
"3",25.42,26.18,22.969999,23.790001,33241600,20.089509
"4",24.27,26.969999,23.9,26.469999,30526200,22.352638
"5",26.440001,28.35,26.139999,28.190001,41065400,24.059599
"6",28.58,30.73,27.6,29.190001,33570900,24.913079
"7",29.67,32.18,29.32,31.709999,30744300,27.307823
"8",31.969999,36.040001,31.75,33.549999,43107700,28.892383
"9",33.599998,36.380001,32.73,36.380001,33839200,31.592071
"10",36.369999,36.470001,32.709999,35.970001,35114300,31.236031
"11",36.209999,37.060001,34.52,36.400002,29883400,31.609439
"12",36.709999,37.439999,34.349998,36.990002,38543400,32.376292
"13",36.82,37.07,31.76,35.84,170697400,31.369729
"14",35.75,37.459999,34.029999,35.630001,70595300,31.185922
"15",35.939999,36.209999,23.940001,27.23,133500400,23.833641
"16",27.139999,28.610001,24.24,24.25,99718000,21.451477
"17",23.98,30.559999,21.74,29.76,95953400,26.325607
"18",28.59,29.959999,24.91,27.82,74142900,24.609488
"19",27.719999,29.25,26.65,28.59,55972800,25.555948
"20",29.43,32.98,28.16,31.709999,72334600,28.344844
"21",32.02,34.73,31.99,33.66,57233500,30.087905
"22",33.66,36.029999,33.41,36.02,61973700,32.463159
"23",35.950001,36.41,33.099998,35.759998,55215600,32.228831
"24",35,36.619999,30.799999,31.98,68701100,28.822093
"25",31.110001,33.259998,30.030001,33.23,79846900,30.213023
"26",33.360001,33.630001,31.030001,32.330002,47253100,29.394737
"27",32.48,34.330002,31.950001,34.169998,50604100,31.067678
"28",34.200001,37.580002,33.779999,35.029999,59405100,32.098009
"29",35.09,36.459999,33.709999,34.290001,51936300,31.419948
"30",34.279999,34.720001,32.310001,33.939999,52201500,31.099241
"31",34.139999,36.799999,33.549999,36.490002,53039700,33.703373
"32",37.240002,41.02,37.040001,39.900002,62394600,36.852962
"33",40.209999,41.009998,38.130001,38.939999,51100600,35.966272
"34",38.759998,40.18,37.990002,39.98,55805100,37.190815
"35",39.880001,43.209999,38.849998,41.950001,91106400,39.02338
"36",41.98,45.52,40.259998,40.299999,67012100,37.48849
"37",40.259998,41,35.09,37.720001,86158600,35.340531
"38",38.290001,40.580002,36.779999,38.360001,52598400,35.940158
"39",38.59,38.73,34.599998,35.240002,44875000,33.016976
"40",35.630001,39.740002,34.810001,37.619999,50293100,35.512494
"41",37.779999,40.990002,37.310001,39.950001,57958800,37.711968
"42",40.110001,40.889999,37.91,37.93,37049200,35.805129
"43",37.919998,38.080002,35.709999,36.950001,50158800,35.151244
"44",36.990002,39.16,36.330002,38.759998,53599800,36.873129
"45",38.82,41.389999,38.009998,41.189999,45840200,39.184835
"46",40.919998,42.099998,39.59,40.830002,42368600,39.158544
"47",40.900002,41.619999,39.720001,40.630001,56006800,38.96673
"48",40.630001,41.790001,40.360001,41.509998,48382800,39.810703
"49",41.580002,42.66,40.560001,41.09,42310800,39.718566
"50",41.259998,42.380001,40.389999,40.810001,42807800,39.447913
"51",40.75,41.52,39.59,40.939999,36395600,39.573571
"52",41,41.66,37.279999,37.700001,54830200,36.752778
"53",37.68,41.709999,37.119999,41.650002,66670400,40.603534
"54",41.720001,42.619999,40.630001,42.279999,47093800,41.217703
"55",42.189999,44.049999,40.900002,43.029999,59455000,42.279165
"56",43.310001,47.560001,43.060001,45.139999,69083200,44.352348
"57",45.380001,45.810001,42.32,42.709999,61072400,41.964749
"58",42.709999,44.959999,41.150002,43.560001,77079000,43.165991
"59",43.560001,44.48,39.990002,40.200001,69503000,39.836382
"60",40.400002,41.439999,39.34,39.59,59337200,39.231899
"61",39.470001,40.240002,38.959999,39.389999,22700300,39.389999
