"","stock_data$CCL.Open","stock_data$CCL.High","stock_data$CCL.Low","stock_data$CCL.Close","stock_data$CCL.Volume","stock_data$CCL.Adjusted"
"1",35.799999,37.48,29.98,30.24,106232800,26.27316
"2",30.379999,35.189999,29.68,34.68,111344700,30.130728
"3",35.419998,36.080002,29.950001,31.18,87482800,27.171917
"4",31.870001,39.080002,31.74,38.189999,98011800,33.280804
"5",38.52,43.669998,37.650002,43.169998,121285400,37.620642
"6",43.59,44.900002,40.560001,41.310001,79530900,36.087078
"7",42.049999,47.220001,41.619999,46.110001,71478300,40.280202
"8",46.439999,48.139999,44.5,44.709999,69110400,39.057206
"9",45.099998,47.709999,40.52,42.669998,69684000,37.475102
"10",42.490002,42.580002,37.860001,38.360001,160496700,33.689828
"11",38.91,39.400002,36.900002,38.07,95689500,33.435134
"12",38.32,41.950001,37.599998,38.810001,82797400,34.297437
"13",38.5,38.5,34.209999,37.630001,109706200,33.25464
"14",37.880001,38.830002,33.279999,33.299999,80790900,29.428101
"15",33.889999,33.900002,28.959999,33.029999,194776500,29.427738
"16",32.830002,35.07,29.690001,30.299999,149334700,26.995473
"17",30,37.310001,28.52,35.209999,100977900,31.369986
"18",33.610001,34.610001,30.209999,33.200001,99970600,29.811301
"19",33.400002,34.650002,31.74,32.639999,82429600,29.308459
"20",33.470001,35.23,29.219999,30.200001,158927700,27.117509
"21",30.360001,32.27,29.15,30.290001,124398400,27.421333
"22",30.59,32.93,29.219999,32.080002,129630100,29.041808
"23",32.009998,33.150002,30.040001,32.490002,94609100,29.412978
"24",32.52,33.23,30.690001,32.09,90331200,29.279391
"25",31.549999,35.610001,30.65,34.27,106999000,31.268455
"26",34.52,34.549999,31.65,33.279999,72828500,30.365163
"27",33.68,35.400002,32.639999,34.68,68628100,31.872842
"28",34.599998,39,34.41,36.43,79289100,33.481189
"29",36.650002,39.400002,35.91,37.869999,71419200,34.804627
"30",38.080002,39.369999,36.990002,38.66,64773000,35.764496
"31",38.830002,39.950001,36.02,36.77,77106300,34.472277
"32",37.25,39.27,36.709999,38.720001,83537800,36.300423
"33",39.18,39.619999,34.369999,35.77,110907700,33.765977
"34",35.59,36.560001,33.080002,34.299999,121125500,32.378333
"35",34.349998,34.959999,32.650002,34.509998,98860600,32.576566
"36",34.43,35.740002,32.509998,33.099998,109257200,31.478321
"37",32.73,35.060001,32.060001,34.290001,113675100,32.610021
"38",34.560001,37.380001,34.439999,37.029999,65055500,35.215777
"39",37.400002,38.040001,35.799999,36.09,68820200,34.560776
"40",35.939999,37.959999,32.490002,32.639999,118897800,31.25696
"41",32.68,35.009998,31.440001,34.650002,96181800,33.181793
"42",34.669998,36.43,34.490002,36.110001,76747100,34.824413
"43",35.900002,40.470001,34.82,40.169998,104027600,38.739867
"44",39.639999,41.889999,39.02,39.189999,86012800,37.794757
"45",39.419998,40.799999,37.959999,39.66,61818300,38.490039
"46",38.68,40.41,37.060001,37.860001,88024800,36.743139
"47",37.830002,39.740002,35.790001,39.310001,63746200,38.150365
"48",39.299999,40.299999,37.810001,40.029999,58508000,39.098605
"49",40.09,40.650002,37.459999,37.650002,82151000,36.773984
"50",37.759998,37.950001,35.880001,36.220001,77109500,35.377256
"51",36.139999,38.119999,35.700001,37.880001,57265200,37.244961
"52",37.73,42.310001,37.599998,40.169998,88596600,39.496567
"53",40,40.52,33.110001,40.150002,165975900,39.476906
"54",40.150002,44.439999,39.610001,44.16,60435900,43.678007
"55",43.75,46.310001,41.860001,45.330002,109618200,44.835239
"56",45.91,47.439999,43.830002,43.959999,87096200,43.48019
"57",43.82,44.73,42.509998,43.990002,90229800,43.762592
"58",44.029999,48.080002,43.740002,47.84,110081300,47.592688
"59",47.810001,49.209999,43.689999,43.970001,74845600,43.742695
"60",43.880001,48.560001,43.099998,46.330002,60473900,46.330002
"61",46.490002,47.919998,46.25,47,20398100,47
