"","stock_data$NRG.Open","stock_data$NRG.High","stock_data$NRG.Low","stock_data$NRG.Close","stock_data$NRG.Volume","stock_data$NRG.Adjusted"
"1",23.299999,24.440001,21.059999,21.209999,45895500,20.077671
"2",21.24,23.540001,21,22.68,50113100,21.469194
"3",23.809999,23.809999,20.02,20.32,68361200,19.235186
"4",20.610001,22.09,20.469999,20.82,52914100,19.708493
"5",21.02,21.639999,19.610001,19.91,46714100,18.847074
"6",20,20.41,19.110001,19.379999,57118000,18.345369
"7",19.6,19.709999,18.219999,19.540001,60878900,18.496828
"8",19.719999,21.700001,19.370001,20.75,61479700,19.64223
"9",20.860001,21.360001,19.219999,19.99,49759200,18.922803
"10",20.02,21.950001,19.09,21.540001,69946000,20.390055
"11",21.690001,24.24,21.049999,24.200001,54169400,22.908047
"12",24.280001,25.540001,23.450001,24.76,53051000,23.43815
"13",24.719999,24.85,22.74,24.58,60106300,23.26776
"14",24.5,25.66,23.26,24.52,50491500,23.210963
"15",24.76,24.809999,19.98,23.440001,89326700,22.188621
"16",23.389999,24.120001,21.09,21.209999,63875200,20.077671
"17",21,22.16,18.65,21.42,60062600,20.276461
"18",20.76,22.610001,18.709999,19.68,55746900,18.629354
"19",19.690001,19.85,17.469999,18.120001,54780900,17.152637
"20",18.440001,18.459999,16.059999,16.879999,64821400,15.978835
"21",16.91,17.99,16.59,17.1,48253400,16.187091
"22",17.209999,17.5,15.53,15.67,72477300,14.833433
"23",15.66,17.030001,14.29,17,73389100,16.092429
"24",16.93,17.059999,14.81,15.32,81987200,14.502118
"25",15.08,17.49,14.65,17.360001,78558700,16.433211
"26",17.440001,20.120001,16.66,19.82,94418400,18.847637
"27",19.83,22.92,18.83,21.34,96207500,20.293066
"28",21.299999,22.41,21.07,21.389999,94390000,20.340613
"29",21.360001,23.780001,21.360001,21.559999,82988700,20.586721
"30",21.389999,21.83,19.15,21.1,89672400,20.147488
"31",21.190001,23.74,20.83,22.99,128144700,21.952168
"32",23.379999,24.27,22.6,24,82647000,23.00327
"33",24.24,24.559999,23.43,24,61262800,23.00327
"34",24.030001,26.51,23.82,26.49,77362300,25.389859
"35",26.41,28.18,26.07,27.870001,59136800,26.827854
"36",27.860001,28.67,25.52,25.52,83286600,24.565727
"37",25.49,27.549999,24.860001,26.700001,78544000,25.701604
"38",26.76,29.190001,25.809999,26.82,67779400,25.931308
"39",26.940001,27.280001,25.24,26.25,82509300,25.380195
"40",26.469999,28.25,25.690001,27.33,67480600,26.424409
"41",27.370001,30.280001,27.110001,28.530001,87179100,27.698555
"42",28.620001,28.68,26.299999,26.459999,59333100,25.688879
"43",26.459999,28.889999,26.34,28.719999,59391500,27.883016
"44",28.74,29.299999,26.57,27.85,90806400,27.158231
"45",27.9,29.33,27.08,29.07,67212600,28.347927
"46",28.73,32.040001,28.43,31.799999,67807100,31.010116
"47",31.780001,33.450001,31.5,32.720001,81335000,32.043332
"48",32.830002,35.700001,32.830002,35.639999,91211100,34.902943
"49",35.700001,38.09,35.509998,37.200001,62018200,36.430682
"50",37.290001,37.389999,30.27,30.959999,101058600,30.456699
"51",30.08,31.23,28.969999,30.780001,80829500,30.279627
"52",30.82,31.290001,29.4,30.48,73417600,29.984503
"53",30.68,31.969999,26.43,29.98,109911900,29.634618
"54",30.1,33.919998,29.68,31.26,74498600,30.899873
"55",31,31.27,25.77,26.950001,104178400,26.639526
"56",27.030001,27.9,23.76,24.66,90352300,24.520379
"57",24.700001,26.66,23.620001,23.98,75720100,23.844228
"58",23.98,26.08,22.780001,25.190001,101165100,25.047379
"59",24.99,26.93,23.530001,25.24,97912300,25.24
"60",25.280001,26.780001,24.389999,25.200001,74490400,25.200001
"61",25.17,25.299999,23.85,24.620001,30820400,24.620001
