"","stock_data$IFF.Open","stock_data$IFF.High","stock_data$IFF.Low","stock_data$IFF.Close","stock_data$IFF.Volume","stock_data$IFF.Adjusted"
"1",44.790001,47.080002,42.34,42.419998,9942300,38.539001
"2",42.48,47.220001,41.59,45.380001,12055100,41.228194
"3",46.040001,47.73,43.5,45.689999,14376200,41.50983
"4",46.279999,49.509998,46.110001,48.52,11089500,44.328253
"5",49.259998,50.59,48.310001,50.16,8583500,45.826569
"6",50.369999,53.919998,49.779999,52.52,10435900,47.982684
"7",53.27,56.099998,52.98,55.59,8364300,51.036192
"8",56.060001,57.720001,54.970001,57.049999,10244500,52.376591
"9",57.5,59.5,54.529999,56.950001,17999900,52.284784
"10",57.07,62.650002,55.799999,62.299999,16802000,57.456113
"11",62.950001,64.610001,60.880001,63.52,12120900,58.581258
"12",63.880001,66.290001,61.959999,64.059998,16079900,59.07927
"13",63.950001,64.300003,60.380001,64.239998,15518800,59.505333
"14",64.349998,65.239998,60.610001,61.169998,13833400,56.661601
"15",61.689999,62.16,52.209999,58.02,32655200,53.743767
"16",57.93,60.57,53.799999,56.220001,19635400,52.346035
"17",55.709999,63.779999,54.790001,60.560001,16425500,56.386978
"18",58.619999,61.84,51.450001,54.259998,26925800,50.52109
"19",54.040001,54.799999,51.200001,52.419998,12947600,49.099578
"20",53.389999,57.139999,52.049999,55.810001,10666800,52.274849
"21",56.330002,58.810001,55.5,57.029999,13021700,53.417569
"22",57.360001,58.889999,55.310001,58.599998,11549100,55.187002
"23",58.509998,60.799999,56.77,60.209999,12237100,56.703233
"24",60,60.91,55.18,56.380001,14424800,53.096302
"25",55.639999,57.84,53.73,54.799999,10754900,51.896744
"26",54.57,56.029999,53.029999,55.740002,8705000,52.786946
"27",55.970001,63.23,53.799999,60.52,12465800,57.313705
"28",60.549999,61.709999,59.25,59.580002,7556800,56.743718
"29",59.779999,64.989998,59.779999,64.620003,6383200,61.543792
"30",64.620003,66.220001,60.779999,65.029999,8036500,61.93427
"31",65.550003,67.790001,64.040001,66.540001,7176100,63.695329
"32",67.57,71.419998,67.5,70.43,7372300,67.419025
"33",70.760002,74.440002,69.25,72.980003,7331600,69.860012
"34",72.75,77.400002,72.040001,76.669998,6649700,73.723599
"35",76.349998,77.32,73.089996,77.190002,6245700,74.22362
"36",77,82.800003,74.879997,80.290001,6039600,77.204487
"37",80.589996,80.889999,73.019997,75.160004,7343200,72.601066
"38",76.169998,81.449997,75.860001,80.68,6602100,77.933126
"39",80.980003,84.989998,78.779999,79.010002,5878700,76.319986
"40",80.019997,84.870003,78.75,82.300003,5115800,79.875522
"41",82.32,84.080002,79.589996,82.650002,6112700,80.21521
"42",83.099998,90.300003,82.07,88.349998,7890200,85.747291
"43",88.540001,90.089996,83.050003,85.980003,9624400,83.828373
"44",85.980003,88.010002,84.510002,86.68,8717400,84.510853
"45",86.43,94.309998,82.910004,93.790001,7784500,91.442928
"46",93.699997,97.910004,92.220001,95.669998,9128500,93.669485
"47",95.730003,98.559998,91.309998,98.519997,9635600,96.459888
"48",98.690002,100.93,95.510002,99.260002,7748300,97.18442
"49",99.449997,105.610001,99.209999,104.279999,7186800,102.483357
"50",104.730003,105.839996,100.959999,100.989998,7841100,99.250039
"51",100.599998,102.019997,96.099998,101.589996,8908400,99.8397
"52",101.599998,102.080002,95.510002,95.879997,9672900,94.675515
"53",95.730003,99.370003,91.639999,99.150002,12901900,97.90444
"54",99.510002,102.080002,95.459999,101.169998,9433000,99.899061
"55",100.800003,104,98.080002,101.360001,8593400,100.542232
"56",101.419998,110.970001,97.589996,106.110001,10736800,105.253909
"57",106.529999,123.080002,105.349998,121.93,9561700,120.946273
"58",121.93,122.839996,115.260002,117.400002,10248000,116.912606
"59",117.099998,120.419998,114.110001,114.75,6950600,114.273606
"60",115.480003,120.610001,110.57,119.040001,8629000,118.545797
"61",119.290001,119.290001,109.410004,110.830002,5551300,110.369882
