"","stock_data$VZ.Open","stock_data$VZ.High","stock_data$VZ.Low","stock_data$VZ.Close","stock_data$VZ.Volume","stock_data$VZ.Adjusted"
"1",28.069885,29.469884,27.799887,28.019889,314621100,20.357942
"2",28.009888,29.24,25.99,29.059999,497527600,22.921022
"3",29.540001,30.379999,29.1,29.530001,381693500,23.291735
"4",29.700001,33.09,29.65,32.59,357902700,25.705304
"5",32.779999,33.68,31.76,32.48,423067300,25.996446
"6",32.77,33.619999,31.6,32.009998,285190900,25.620265
"7",32.439999,36,32.220001,35.779999,338278000,28.63771
"8",36.060001,37.700001,34.349998,35.619999,541571100,28.883827
"9",36.279999,36.939999,35.349998,36.919998,298056100,29.937981
"10",36.810001,38.950001,33.360001,38.540001,413658400,31.251622
"11",38.580002,38.740002,36.5,37.779999,268339900,31.02989
"12",38.330002,38.330002,36.240002,36.93,250086200,30.331759
"13",36.459999,37.25,34.939999,37.23,325157500,30.578158
"14",37.060001,37.869999,34.869999,35.290001,298386900,29.363662
"15",36.349998,36.720001,32.279999,36.169998,548738300,30.09588
"16",36.049999,37.389999,34.650002,36.799999,386661700,30.620083
"17",36.73,37.84,35.459999,36.98,339832100,31.198405
"18",36.919998,37.73,35.32,37.73,276757300,31.831147
"19",37.68,40.25,37.490002,40.119999,264643500,33.847485
"20",40.279999,40.48,37.07,37.66,331122000,32.185359
"21",38.16,38.77,37.5,38.110001,238218900,32.569943
"22",38.119999,39.900002,37.560001,38.23,376538300,32.672497
"23",38.290001,40.439999,36.799999,40.380001,269258600,34.96535
"24",40.439999,41.959999,39.849998,41.639999,272165400,36.056392
"25",41.52,44.77,40.919998,44.439999,396646800,38.480933
"26",44.290001,46.41,43.360001,45.139999,278312300,39.527338
"27",45.43,46.41,42.18,42.939999,250169400,37.600883
"28",42.91,46.060001,42.77,45.57,280718000,39.903872
"29",45.639999,48.77,43.75,44.639999,283275300,39.520166
"30",44.91,45.450001,40.509998,44.119999,283006100,39.059805
"31",44.470001,44.939999,42.490002,43.27,239689900,38.307294
"32",44.490002,44.869999,41.5,43.610001,327961200,39.058402
"33",44.200001,46.93,44.02,46.529999,257168000,41.673638
"34",46.220001,49.59,46.110001,49.150002,250889500,44.02019
"35",49.060001,54.310001,48.66,53.91,333570400,48.790386
"36",53.77,53.970001,48.470001,48.48,234175000,43.876051
"37",48.43,51.689999,47.77,50.34,297020400,45.559415
"38",50.290001,51.939999,49.189999,49.48,203977200,45.2352
"39",50.049999,50.439999,46.25,47.380001,203962300,43.315357
"40",45.52,48.889999,45.080002,46.669998,322803500,42.666263
"41",46.619999,51.490002,46.029999,50.509998,386139000,46.700226
"42",50.790001,51.459999,49.360001,49.619999,182788700,45.877356
"43",49.66,49.790001,47.450001,49.139999,236601200,45.433561
"44",49.080002,49.400002,46.580002,48.02,379177400,44.880528
"45",48.02,48.34,45.450001,47.580002,1452306200,44.469296
"46",47.299999,48.389999,45.830002,47.57,728108800,44.459948
"47",47.540001,48.459999,45.849998,46.73,516079700,44.161264
"48",46.630001,50.009998,46.599998,49.959999,330389300,47.213712
"49",50.02,50.330002,48.75,48.93,261301400,46.240331
"50",48.880001,53.66,48.540001,50.419998,316714100,48.161502
"51",50.52,50.52,48.200001,49.82,262979800,47.588379
"52",49.82,50.380001,48.259998,49.990002,273478700,47.750766
"53",49.73,50.5,46.889999,50.25,369933000,48.536457
"54",50.490002,51.73,48.860001,50.59,238973700,48.864863
"55",50.68,50.84,45.09,46.779999,419637100,45.184784
"56",47,48.48,45.369999,45.709999,373597600,44.673605
"57",46.200001,49.990002,45.759998,49.450001,346310600,48.328809
"58",49.119999,49.900002,47.360001,48.630001,326985200,47.527401
"59",48.450001,50.650002,48.43,50.439999,324350500,49.852867
"60",50.75,50.860001,48.970001,49.439999,278931500,48.864508
"61",49.439999,49.540001,47.049999,47.470001,144654300,46.917441
