"","stock_data$DG.Open","stock_data$DG.High","stock_data$DG.Low","stock_data$DG.Close","stock_data$DG.Volume","stock_data$DG.Adjusted"
"1",30.950001,31.23,27.209999,27.549999,20176100,27.392117
"2",27.51,30.17,26.610001,29.18,22476500,29.012777
"3",29.52,30.200001,26.639999,27.309999,18035200,27.153493
"4",27.66,29.9,27,29.25,19354200,29.082376
"5",29.290001,30.129999,27.4,28.190001,13149300,28.028451
"6",28.219999,33.73,27.290001,32.84,23146600,32.651802
"7",33.209999,33.68,30.280001,30.67,43207400,30.494238
"8",31,31,27.73,27.809999,39122100,27.650627
"9",27.99,31.379999,26.65,28.25,56035100,28.088106
"10",28.299999,32.099998,27.559999,31.35,43227500,31.170341
"11",31.43,33.580002,30.92,32.59,24297400,32.403235
"12",32.57,35.09,32.279999,35.07,22587000,34.869022
"13",32.75,34.700001,31.309999,33.889999,45149600,33.695784
"14",33.919998,34.470001,31.1,31.459999,23122700,31.27971
"15",31.709999,36.860001,29.84,36.599998,51516900,36.390253
"16",36.540001,38.59,34.220001,37.759998,72794600,37.543605
"17",37.709999,40.709999,35.830002,39.66,36326600,39.432718
"18",38.98,40.599998,38.32,40.57,23229600,40.337503
"19",40.549999,42.099998,38.849998,41.139999,68241300,40.904236
"20",41.52,43,39.830002,42.610001,31877600,42.365813
"21",42.790001,43.150002,41.200001,42.060001,33266300,41.818966
"22",42.110001,47.59,42.040001,46.200001,62929100,45.93524
"23",46.380001,48.740002,45.34,47.459999,44044100,47.188018
"24",47.509998,49.5,45.369999,48.91,55333600,48.629709
"25",48.419998,55.299999,46.450001,54.389999,116649600,54.078304
"26",54.610001,56.040001,49.419998,51.009998,63503200,50.717673
"27",51.380001,52.970001,48.189999,51.07,61564300,50.77733
"28",51.32,53.360001,48.509998,51.540001,88342000,51.244638
"29",52,52.459999,45.580002,48.619999,106690900,48.34137
"30",48.400002,50.799999,46.450001,50,141443100,49.713463
"31",50.040001,50.240002,42.25,44.09,134346100,43.837331
"32",44.41,47.240002,39.73,46.220001,99183600,45.955126
"33",46.459999,47.5,43.349998,46.34,103370400,46.074437
"34",46.259998,52.91,45.84,50.580002,114040300,50.290141
"35",50.77,52.990002,49.549999,52.09,78213500,51.791485
"36",52,55.169998,51.830002,52.799999,51662800,52.497416
"37",53.060001,53.990002,48.610001,50.43,92272900,50.140999
"38",51.029999,55.799999,50.529999,54.669998,67866000,54.356698
"39",54.970001,56.099998,52.400002,53.970001,55795700,53.660713
"40",54.470001,58.709999,53.400002,56.459999,59463300,56.136441
"41",56.59,59.869999,55.959999,57.779999,55000900,57.448876
"42",57.830002,59.560001,56.810001,56.939999,53642700,56.61369
"43",56.91,61.950001,55.560001,60.32,81235200,59.974321
"44",60.380001,62.93,55.080002,56.32,90166100,55.997244
"45",56.48,61.18,55.200001,59.900002,68455300,59.55673
"46",59.580002,60.619999,55.080002,55.48,113455800,55.162058
"47",55.5,57.540001,54.43,56.439999,78912500,56.116555
"48",56.709999,57.450001,53,53.779999,82236600,53.471799
"49",53.790001,65.989998,53.700001,57.360001,149860200,57.031285
"50",57.57,58.439999,53.779999,55.23,126130900,54.91349
"51",55.310001,65.040001,55.150002,63.990002,156560000,63.623291
"52",64.5,65.099998,60.779999,61.110001,83862600,60.759795
"53",61.23,63.419998,57.09,62.669998,84085900,62.310852
"54",62.880001,67.949997,62.5,66.739998,77351800,66.357528
"55",66.959999,71.779999,65.410004,70.699997,91211200,70.294833
"56",70.699997,71.470001,65.32,67.059998,123277200,66.675694
"57",67.139999,73.269997,65.860001,72.620003,75834800,72.203836
"58",72.620003,76.279999,70.879997,75.379997,81180600,74.948013
"59",75.089996,76.989998,72.449997,72.709999,68574700,72.504418
"60",73.07,75.360001,71.440002,72.589996,57727900,72.384755
"61",72.739998,77.330002,72.190002,77.209999,25071000,76.991695
