"","stock_data$CB.Open","stock_data$CB.High","stock_data$CB.Low","stock_data$CB.Close","stock_data$CB.Volume","stock_data$CB.Adjusted"
"1",50.23,53.599998,49.970001,50.009998,36126600,44.653495
"2",50.209999,53.490002,48.860001,52.630001,57998400,46.992873
"3",53.27,55.240002,52.209999,55.130001,61262900,49.225101
"4",55.5,58.279999,54.959999,56.990002,55847300,51.217764
"5",56.990002,59.18,55.790001,58.02,49300700,52.143439
"6",58.169998,60.029999,56.290001,57.009998,55433400,51.235735
"7",57.709999,60.23,57.52,59.639999,43118300,53.935831
"8",60.049999,60.5,56.990002,57.93,48958800,52.389382
"9",58.18,61.310001,57.91,60.68,38614100,54.876362
"10",60.810001,61.720001,57.619999,61.310001,49851000,55.819255
"11",61.849998,65.239998,60.439999,65.190002,37159600,59.351774
"12",65.529999,66,63.970001,65.589996,38791800,59.715946
"13",65.209999,65.669998,60.610001,62.610001,45649300,57.358758
"14",62.779999,65.059998,60.939999,62.48,43160300,57.239661
"15",62.880001,63.18,55.389999,61.889999,93993900,56.699145
"16",61.740002,62.34,56.189999,59.990002,56839600,55.314074
"17",59.549999,70.07,56.93,67.050003,58293400,61.823783
"18",65.370003,68.339996,63.240002,67.440002,46053900,62.183384
"19",67.360001,70.480003,66.019997,69.220001,36863200,64.190317
"20",70.360001,71.760002,66.68,67.410004,40229900,62.511838
"21",67.769997,69.650002,67.449997,67.959999,33601900,63.02187
"22",67.860001,69.550003,66.650002,69.110001,44480200,64.470455
"23",69.190002,73.610001,68.800003,73.07,34826700,68.164608
"24",73.739998,74.400002,70.5,72.07,33870600,67.231741
"25",71.190002,72.82,69.309998,72.82,32965100,68.320001
"26",73.209999,73.82,68.510002,72.690002,30166800,68.198037
"27",72.830002,74.18,71.870003,73.889999,23326200,69.323879
"28",73.660004,77.110001,73.440002,76.279999,24906100,71.953182
"29",76.660004,81.800003,76.57,76.980003,27174500,72.61348
"30",77.080002,77.730003,73.220001,76.989998,37668700,72.622908
"31",77.110001,78.5,74,75.32,25892800,71.427128
"32",76.620003,81.5,75.989998,80.309998,27923800,76.15922
"33",83.650002,85,81.919998,84.029999,27460800,79.686955
"34",83.739998,87.610001,83.559998,87.529999,22139900,83.434475
"35",87.629997,89.980003,86.599998,88.07,20035000,83.949209
"36",88.139999,90.639999,86.730003,87.099998,21380100,83.024594
"37",86.959999,88.150002,81.68,84.650002,23797600,81.094848
"38",84.970001,89.5,84.519997,86.5,23716500,82.86715
"39",86.900002,87.610001,82.800003,83.169998,22945400,79.677002
"40",84.139999,90.699997,83.32,89.260002,19689600,85.937245
"41",89.309998,94.199997,87.339996,92.080002,21363700,88.652268
"42",92.099998,97.790001,91.830002,96.449997,15796600,92.859588
"43",96.349998,96.82,91.910004,96.629997,21154700,93.477344
"44",96.410004,96.410004,83.32,84.540001,36163900,81.781796
"45",84.400002,87.949997,82.980003,87.480003,25619500,84.625878
"46",86.959999,89.349998,85.190002,89.300003,32326400,86.885091
"47",89.660004,92.360001,88,92.080002,32323900,89.589911
"48",92.160004,94.07,91.339996,92.660004,20492600,90.154228
"49",92.779999,94.599998,91.760002,92.169998,18091800,90.161853
"50",92.519997,94.379997,86.709999,86.709999,23262500,84.820813
"51",86.709999,92.019997,86.400002,91.949997,19070700,89.946645
"52",92.040001,93.120003,90.220001,91.080002,19281000,89.584761
"53",91.279999,99.620003,90.370003,99.360001,31384300,97.728829
"54",99.260002,103.779999,98.669998,103.050003,14958500,101.358253
"55",102.879997,105.300003,100.699997,103.470001,22008700,102.275575
"56",103.959999,104.400002,97.800003,97.900002,20665600,96.769874
"57",97.029999,102.610001,96.889999,100.449997,24788200,99.290433
"58",100.330002,103.970001,98.220001,101.099998,24883900,100.513407
"59",101.330002,102.129997,98,98.349998,24676600,97.779362
"60",98.519997,100.75,97.029999,97.5,18174600,96.934296
"61",97.739998,98.019997,94.349998,96.260002,10185600,95.701492
