"","stock_data$HOT.Open","stock_data$HOT.High","stock_data$HOT.Low","stock_data$HOT.Close","stock_data$HOT.Volume","stock_data$HOT.Adjusted"
"1",47.080002,50.48,41.279999,41.43,50215400,36.733938
"2",41.790001,50,39.599998,48.450001,75471600,42.958226
"3",49.540001,51.470001,43.889999,46.73,62207000,41.433186
"4",47.799999,54.25,47.060001,52.549999,56575200,46.593493
"5",52.990002,59,52.16,54.139999,64583000,48.003267
"6",54.540001,60,53.959999,56.84,51921000,50.397225
"7",58.189999,62.720001,57.419998,60.779999,46392400,54.158165
"8",61.25,63.5,58.299999,58.970001,45586400,52.545363
"9",59.68,65.510002,59.009998,61.099998,51617000,54.443302
"10",61,61,54.950001,58.119999,76214300,51.787966
"11",59.060001,61.700001,55.549999,59.57,53060800,53.079993
"12",59.889999,61.380001,56.200001,60.98,61363400,54.336376
"13",60.849998,60.880001,50.869999,56.040001,72952400,49.934579
"14",56.169998,59.450001,53.889999,54.959999,63360500,48.97224
"15",55.880001,56.130001,37.880001,44.560001,136834600,39.705297
"16",44.380001,45.790001,38.369999,38.82,82966500,34.590655
"17",39.32,54.150002,35.779999,50.110001,81782000,44.650638
"18",47.299999,52.209999,43.34,47.68,65308500,42.48538
"19",47.41,50,44.130001,47.970001,52851200,43.192303
"20",49.25,55.220001,48.23,54.240002,56189200,48.837826
"21",54.68,57.93,52.009998,53.900002,52017200,48.531689
"22",53.869999,59.099998,52.68,56.41,53448600,50.791697
"23",56.400002,60.389999,53,59.200001,55234900,53.303821
"24",58.790001,60.810001,50.16,52.849998,64067900,47.586264
"25",51.330002,54.02,47.41,53.040001,60013700,47.757342
"26",53.490002,54.720001,48.369999,54.150002,59510600,48.75679
"27",54.630001,56.860001,52.470001,55.130001,38376200,49.639183
"28",55.259998,61.09,54,57.959999,37449800,52.18732
"29",58.18,58.48,50.470001,51.849998,52800600,46.685861
"30",52.049999,54.330002,50.220001,53.959999,51666900,48.585711
"31",54.23,57.759998,52.52,57.360001,40076600,52.871875
"32",57.889999,62.610001,57.759998,61.41,38774700,56.604983
"33",61.790001,63.450001,58.259998,60.330002,33932400,55.609489
"34",59.919998,63.950001,59.34,63.73,37501800,58.743454
"35",63.529999,65.190002,59.209999,64.519997,43052800,59.471638
"36",64.110001,70.160004,63.5,68.300003,42448000,62.955879
"37",68.769997,69.440002,60.459999,63.189999,43964800,58.245706
"38",63.889999,67.989998,61.919998,66.150002,36088800,60.974104
"39",66.779999,69.169998,62.400002,63.939999,29842800,58.937022
"40",64.82,69.989998,63.849998,66.449997,32566700,61.250626
"41",66.5,74.989998,64.400002,73.620003,41381200,67.859616
"42",74.07,75.459999,72.769997,74.480003,26949800,68.652326
"43",74.440002,79.769997,71.970001,79.449997,32806900,74.59616
"44",79.459999,81.389999,74.120003,74.709999,28624200,70.145743
"45",74.75,82.809998,72,82.459999,36165800,77.422273
"46",81.589996,81.699997,76.169998,79.599998,32198800,75.670275
"47",80.120003,81.739998,72.970001,76.650002,36143100,72.865915
"48",76.489998,80.639999,75.089996,79.849998,43061500,75.907933
"49",79.900002,81.82,78.099998,80.82,33070900,77.79829
"50",81.190002,84.870003,76.839996,76.839996,48863500,73.967091
"51",79.720001,84.75,77.739998,84.540001,38973400,81.379207
"52",84.480003,86.110001,82,83.209999,32772900,81.061659
"53",82.730003,82.800003,68.529999,76.660004,72617400,74.680774
"54",76.639999,79.599998,74.300003,79,40768800,76.960355
"55",78.650002,82.620003,75.18,81.07,45175000,79.97992
"56",81.5,81.669998,71.709999,71.970001,48635100,71.002282
"57",72.050003,82.419998,70.660004,80.330002,60291400,79.249872
"58",80.370003,86.760002,79.089996,83.5,80372100,82.751755
"59",83.370003,87.989998,80.059998,85.949997,81407300,85.179797
"60",86.199997,87.660004,82.57,82.760002,48532500,82.018388
"61",83,84.800003,81.889999,82.139999,24088700,82.139999
