"","stock_data$MAR.Open","stock_data$MAR.High","stock_data$MAR.Low","stock_data$MAR.Close","stock_data$MAR.Volume","stock_data$MAR.Adjusted"
"1",32.739997,36.389996,29.879998,29.939998,79541000,26.527848
"2",29.910003,34.2,28.939995,33.909994,102993300,30.045398
"3",34.539997,35.719998,31.250004,31.980004,77952600,28.368945
"4",32.509994,36.72,32.389995,35.830003,79213400,31.784217
"5",36.149998,38.239999,34.800006,37.050004,106917200,32.866461
"6",37.359994,39.999996,37.099998,39.209997,66565000,34.862655
"7",39.990003,42.679998,39.609993,41.539997,51460200,36.93432
"8",41.900004,42.160001,38.539996,39.489996,57043800,35.11161
"9",39.56,42.779997,37.820001,39.209997,71396500,34.941436
"10",39.320001,39.369995,34.949998,35.579999,103475600,31.706614
"11",35.799995,36.580001,33.549998,35.3,90046800,31.457098
"12",35.499998,38.519998,34.660006,37.809996,83775200,33.788041
"13",37.680005,37.680005,32.919997,35.490005,90488900,31.714835
"14",35.610002,37.900002,31.679995,32.499999,123704000,29.042884
"15",32.890002,32.930002,25.999996,29.280002,183267400,26.25651
"16",29.329997,29.72,25.490004,27.239996,109137300,24.427158
"17",26.990005,33.569997,25.56,31.499997,106018500,28.247266
"18",30.609998,32.289996,27.530001,30.620001,79270800,29.237581
"19",30.6,31.76,27.93,29.17,71234600,27.853045
"20",29.879999,35.5,29.73,34.450001,84496400,32.894666
"21",34.689999,36.389999,34.029999,35.279999,79728200,33.785634
"22",35.470001,38.830002,35.400002,37.849998,75050400,36.246776
"23",37.869999,39.889999,36.439999,39.09,67527500,37.434255
"24",39.209999,40.450001,36.619999,38.709999,74480700,37.194203
"25",37.790001,40,35.68,39.200001,61385000,37.665017
"26",39.18,39.869999,34.689999,36.419998,79722600,34.993873
"27",36.709999,38.259998,35.669998,37.68,50039500,36.330314
"28",37.580002,41.84,37.23,39.099998,54009700,37.699448
"29",39.32,40.299999,36.09,36.48,72820200,35.173297
"30",36.639999,37.470001,33.93,36.290001,61293800,35.11889
"31",36.23,37.860001,35.110001,37.27,40101500,36.067264
"32",38.32,40.380001,38.139999,39.98,45484300,38.689809
"33",40.34,41.73,38.349998,39.450001,44791500,38.306158
"34",39.279999,42.27,38.93,42.23,49768100,41.005552
"35",42.119999,43.130001,40.200001,43.060001,42494700,41.811488
"36",42.459999,44.450001,41.450001,42.009998,40657800,40.952045
"37",42.349998,42.389999,38.169998,40.369999,49694400,39.353346
"38",40.669998,42.689999,39.82,41.57,39752300,40.523127
"39",40.939999,43,39.580002,39.990002,54940700,39.148266
"40",40.369999,43.990002,40.169998,42.060001,40915700,41.174694
"41",42.02,45.91,41.259998,45.080002,51652900,44.131128
"42",45.220001,47.580002,45.130001,47.02,59350200,46.19746
"43",47,49.84,45.25,49.349998,39283800,48.486698
"44",49.029999,51.529999,48.25,49.299999,48736300,48.437573
"45",49.450001,54.41,47.209999,54.23,46950800,53.450038
"46",53.849998,56.200001,52.990002,56.02,55865300,55.214294
"47",56.43,58.380001,55,57.93,56605500,57.096823
"48",57.869999,61.73,57.240002,61.619999,46504400,60.940715
"49",61.709999,64.309998,61,64.099998,43420000,63.393375
"50",64.32,67.120003,63.369999,64.709999,49371100,63.996652
"51",64.790001,69.489998,64.120003,69.400002,38294800,68.838434
"52",69.68,73.279999,68.800003,69.900002,44059300,69.334388
"53",69.559998,77.989998,59.610001,75.75,88380100,75.13705
"54",75.910004,79.209999,73.940002,78.790001,40288200,78.355527
"55",78.5,79.25,75.620003,78.029999,40170300,77.599716
"56",78.339996,79.610001,73.910004,74.5,41033200,74.089183
"57",74.279999,84.769997,72.769997,83.099998,46347000,82.843198
"58",83.349998,85,78.580002,80.32,40329200,80.07179
"59",80.419998,84.330002,77.150002,80.050003,44498000,79.802628
"60",80.650002,81.830002,77.82,77.989998,34593300,77.989998
"61",78.199997,79.879997,76.580002,77.230003,11915000,77.230003
