"","stock_data$LLL.Open","stock_data$LLL.High","stock_data$LLL.Low","stock_data$LLL.Close","stock_data$LLL.Volume","stock_data$LLL.Adjusted"
"1",78.580002,82.639999,70.75,70.839996,19316600,62.779892
"2",70.839996,76.650002,69.559998,73.040001,25839500,64.729582
"3",73.910004,75.080002,66.110001,66.599998,20043200,59.360215
"4",67.300003,73.440002,67.300003,72.269997,15347100,64.413853
"5",72.75,73.010002,68.389999,72.18,16800200,64.33364
"6",72.68,74.099998,69.449997,70.330002,17283600,63.041821
"7",71.209999,74,69.43,70.489998,20315000,63.185237
"8",70.489998,80,70.260002,78.25,27164800,70.141083
"9",78.519997,81.57,77.709999,79.290001,14433900,71.474505
"10",79.68,80.93,76,78.309998,18233200,70.591099
"11",79.25,81,74.449997,80.190002,17250800,72.285794
"12",80.629997,85.449997,79.959999,81.650002,17955100,73.999636
"13",81.599998,88.230003,78.839996,87.449997,21130700,79.256188
"14",87.599998,88.550003,78.300003,79.120003,15806700,71.70669
"15",79.589996,79.589996,62.139999,67.82,37768400,61.869072
"16",67.610001,68.489998,58.299999,61.970001,17737400,56.532387
"17",61.540001,71.459999,59.150002,67.779999,17042300,61.832581
"18",65.980003,71.230003,62.419998,66.300003,19963200,60.879027
"19",66.129997,67.959999,63.84,66.68,15510800,61.227954
"20",67.620003,70.970001,66.550003,70.739998,15144900,64.955989
"21",71.07,71.239998,69.410004,70.25,12653500,64.96853
"22",70.800003,72.160004,67.309998,70.769997,16075300,65.449433
"23",70.279999,74.790001,67.099998,73.540001,16009000,68.011185
"24",73.629997,74.190002,66.459999,68.190002,15849400,63.514826
"25",67.419998,74.050003,66.830002,74.010002,13832600,68.935801
"26",74.080002,74.519997,67.010002,70.889999,14935800,66.029709
"27",71.160004,71.160004,68,70.239998,12416700,65.899811
"28",70.120003,73.610001,68.839996,71.709999,9168800,67.278979
"29",71.959999,75,71.730003,73.800003,9014900,69.23984
"30",73.940002,77.699997,71.910004,76.849998,15681300,72.600899
"31",77.050003,77.910004,74.629997,76.620003,14587500,72.38362
"32",78.110001,79.800003,75.790001,75.919998,14105900,71.722319
"33",76.389999,78.599998,74.279999,76.269997,16049000,72.578966
"34",76.139999,81.599998,75.209999,80.919998,11457100,77.003935
"35",80.919998,83.989998,79.629997,81.25,14454800,77.317966
"36",80.980003,87.959999,80.809998,85.089996,11052700,81.50408
"37",85.290001,87.379997,82.599998,85.739998,9339800,82.126689
"38",86.580002,93.910004,84.5,93.150002,13616500,89.224416
"39",94,94.32,90.07,90.330002,10326600,87.040233
"40",91,96.709999,90.160004,94.5,8502700,91.058362
"41",94.5,100.889999,91.480003,100.449997,12995300,96.791663
"42",100.589996,103.870003,100.099998,103.459999,10531300,100.233207
"43",103.459999,108.690002,100.580002,106.860001,11794600,103.527167
"44",106.07,111.589996,102.839996,111.07,13704600,107.605861
"45",110.25,117.470001,106.669998,115.400002,17987500,112.392459
"46",114.889999,118.800003,113.779999,118.150002,18153300,115.070789
"47",118.5,120.669998,113.389999,115.370003,16649000,112.363242
"48",115,121.43,113.010002,121.169998,25963300,118.615465
"49",121.089996,127.269997,120.519997,120.75,17351600,118.204322
"50",120.889999,123.059998,99.330002,104.959999,15420500,102.747209
"51",104.959999,110.620003,101.190002,109.949997,20666100,108.247337
"52",110.199997,119.529999,109.620003,118.919998,19483500,117.078431
"53",118.400002,122.879997,105.139999,121.459999,32443000,119.579098
"54",121.300003,125.519997,116.900002,124.599998,17124500,123.301604
"55",124.300003,129.259995,119.5,126.209999,18268300,124.894828
"56",126.989998,129.479996,120.550003,123.120003,15897100,121.837031
"57",123.339996,132.919998,121.709999,129.429993,10930900,128.71956
"58",129.320007,131.279999,123.400002,125.790001,12940900,125.099548
"59",124.919998,127.339996,113.739998,114.910004,9715700,114.27927
"60",115,122.139999,112.720001,117.809998,12536000,117.809998
"61",117.900002,119.139999,114.029999,115.839996,4598800,115.839996
