"","stock_data$SNI.Open","stock_data$SNI.High","stock_data$SNI.Low","stock_data$SNI.Close","stock_data$SNI.Volume","stock_data$SNI.Adjusted"
"1",44.27,46.200001,40.240002,40.34,10658500,38.519347
"2",40.23,43.43,39.369999,42.630001,12418300,40.705994
"3",43.200001,45.580002,39.360001,40.18,17137000,38.43855
"4",40.619999,48.099998,40.619999,47.580002,12909400,45.517827
"5",47.700001,50.919998,46.16,50.889999,12926000,48.684365
"6",51,53.34,50.060001,50.950001,12476400,48.81114
"7",51.700001,53.060001,50.779999,51.75,11672200,49.577555
"8",52,52.18,45.84,46.5,23171900,44.547948
"9",44.5,53.66,44.41,51.939999,25617000,49.832049
"10",52.049999,53.349998,46.82,50.09,21235800,48.057131
"11",50.419998,51.75,48.959999,51.419998,15377000,49.333152
"12",51.540001,52.369999,47,50.43,16978600,48.481098
"13",50.27,50.98,43.790001,48.880001,25867400,46.991
"14",48.919998,49.889999,45.549999,46.34,20719400,44.549159
"15",46.75,46.77,33.82,42.849998,40399700,41.298318
"16",42.689999,44.119999,37.099998,37.169998,29917800,35.824002
"17",37.099998,44.849998,35.439999,42.48,26292000,40.941718
"18",41.400002,42.950001,37.02,39.82,26045100,38.479625
"19",39.799999,43.610001,39.360001,42.419998,18191900,40.992106
"20",43.200001,46.209999,42.48,43.360001,14263100,41.900467
"21",43.830002,45.68,41.91,45.200001,24103000,43.795343
"22",45.290001,49.549999,43.82,48.689999,19470300,47.176884
"23",48.5,51.73,45.669998,50.220001,19362500,48.65934
"24",50.349998,55.349998,50.349998,54.77,31733800,53.18522
"25",53.790001,57.75,52.970001,56.860001,21077100,55.214745
"26",57.099998,57.700001,51.630001,53.849998,15241500,52.291838
"27",54.669998,61.169998,52.860001,59.099998,24157200,57.505947
"28",59.299999,62.540001,59.290001,61.23,15880300,59.578497
"29",62.57,66.330002,60.119999,60.720001,16319700,59.082254
"30",61.240002,64.25,58.700001,59.040001,17291600,57.563348
"31",59.459999,59.57,55.880001,57.919998,18672600,56.471357
"32",58.830002,62.209999,57.419998,61.77,17451400,60.225067
"33",62.169998,63.41,57.32,63.049999,18837700,61.623036
"34",62.900002,65.809998,62.720001,64.339996,13451900,62.883838
"35",64.419998,68.989998,63.529999,66.580002,14558600,65.073147
"36",66.370003,71.050003,66.080002,67.360001,17871300,65.976852
"37",67.379997,69.230003,64.019997,66.760002,17227200,65.389174
"38",67.199997,73.449997,66.830002,70.769997,11542100,69.316828
"39",71.440002,76.43,71.440002,73.529999,12906700,72.168083
"40",74.82,79.129997,73.279999,78.110001,20023200,76.663255
"41",78.339996,81,74.050003,80.5,12975200,79.008987
"42",80.660004,81.209999,73.580002,74.589996,15705400,73.356621
"43",74.470001,86.410004,72.300003,86.410004,24070600,84.98118
"44",85.68,86.620003,71.970001,72.519997,17368000,71.320849
"45",72.800003,81.910004,71.330002,81.239998,18111700,80.094672
"46",80.669998,82.489998,73.220001,75.910004,21562900,74.839821
"47",76.059998,78.150002,72.129997,75.07,13330400,74.011659
"48",74.900002,78.379997,73.010002,76.459999,11421700,75.578859
"49",76.599998,82.370003,76,81.139999,14094000,80.204926
"50",81.339996,86.480003,79.989998,82.410004,16766800,81.460294
"51",82.400002,83.830002,76.129997,79.709999,16833500,78.987136
"52",79.860001,80.860001,76.82,78.089996,21845900,77.381824
"53",78.099998,79.379997,71.059998,77.239998,25202100,76.539534
"54",77.290001,78.440002,72.169998,78.169998,21809500,77.660201
"55",78.050003,82.779999,75.169998,75.269997,23783600,74.779113
"56",76.309998,77.650002,70.779999,71.089996,17606500,70.626373
"57",71.510002,75.110001,70.389999,72.300003,19282900,72.051436
"58",72.410004,74.260002,68.440002,68.559998,22597100,68.324289
"59",68.5,70.730003,67.690002,69.860001,21429400,69.619822
"60",70.089996,72.110001,65.610001,67.010002,28849300,67.010002
"61",67.059998,68.75,66.330002,66.739998,8720700,66.739998
