"","stock_data$FDX.Open","stock_data$FDX.High","stock_data$FDX.Low","stock_data$FDX.Close","stock_data$FDX.Volume","stock_data$FDX.Adjusted"
"1",79.139999,83.150002,69.980003,70.110001,76152400,68.166917
"2",70.709999,84.239998,69.779999,82.550003,82039200,80.262147
"3",83.900002,87.739998,77.25,78.050003,56232100,75.886864
"4",79.309998,88.459999,79.040001,85.5,64270700,83.252251
"5",86.410004,90.629997,84.739998,87.720001,50043800,85.413889
"6",87.690002,93.029999,84.489998,91.120003,49585600,88.849016
"7",93.239998,96.230003,91.279999,93.010002,44562900,90.691911
"8",93.540001,97,90.010002,90.32,50949100,88.068952
"9",92.75,98.519997,87.540001,90.019997,58904800,87.776426
"10",90.57,94.410004,85.029999,93.550003,76921200,91.343312
"11",95,96.5,90.660004,95.669998,40628800,93.4133
"12",96.25,96.889999,90.800003,93.639999,44179300,91.431185
"13",93.949997,94.949997,81.220001,94.849998,63062400,92.750554
"14",94.68,98.660004,86.330002,86.879997,54486200,84.956964
"15",88.050003,88.050003,72.160004,78.720001,88179300,76.977584
"16",78.720001,80.110001,64.550003,67.68,77383000,66.294944
"17",66.900002,85.75,64.07,81.830002,66543700,80.155369
"18",78.910004,83.449997,76.059998,83.080002,43187300,81.379788
"19",82.519997,86.370003,76.949997,83.510002,56531600,81.930137
"20",85.470001,93.519997,82.790001,91.489998,43850000,89.759165
"21",92.790001,97.190002,89.419998,89.989998,43127800,88.287542
"22",90.150002,96.889999,88.029999,91.959999,52277100,90.351128
"23",92.040001,92.849998,86.199997,88.239998,38477600,86.69621
"24",88.139999,91.43,84.860001,89.139999,42157000,87.580465
"25",87.220001,92.309998,83.800003,91.610001,50598200,90.153695
"26",91.589996,93.169998,86.220001,90.300003,36817600,88.864522
"27",90.660004,91.120003,86.870003,87.629997,36701900,86.236961
"28",87.370003,90.919998,83.919998,84.620003,57471500,83.410916
"29",84.93,94.260002,84.209999,91.989998,52323200,90.675606
"30",91.540001,93.980003,85.150002,89.529999,37721500,88.394433
"31",89.980003,95.440002,87.989998,91.720001,39662000,90.556659
"32",93.459999,103.139999,93.370003,101.449997,40850600,100.163243
"33",101.889999,107.5,101.449997,105.43,40634500,104.092765
"34",105.110001,109.660004,95.300003,98.199997,57017300,97.080267
"35",98.410004,99.529999,90.610001,94.010002,52393800,92.938049
"36",93.660004,103.050003,91.839996,96.339996,59260100,95.241475
"37",96.510002,103.470001,94.599998,98.580002,49814600,97.606113
"38",98.720001,108.980003,97.540001,106,71213000,104.952808
"39",106.790001,113.339996,106.540001,107.360001,38235000,106.299373
"40",108.449997,118.309998,106.379997,114.110001,44708100,113.138313
"41",114.239998,133.839996,111.25,131,54868600,129.884488
"42",131.770004,140.550003,130.25,138.699997,53710900,137.518917
"43",139.149994,144.130005,136.270004,143.770004,39650000,142.698851
"44",142.899994,144.389999,131.080002,133.320007,49310800,132.326712
"45",132.929993,136.979996,128.169998,133.330002,42809000,132.336632
"46",132.050003,141.169998,131.300003,132.559998,58270900,131.716277
"47",133,137.770004,130.639999,136.25,41988800,135.382793
"48",136.360001,144.850006,135.009995,144.160004,34184600,143.242451
"49",144.309998,151.889999,138.300003,151.380005,41912400,150.632535
"50",152,155.309998,146.639999,146.880005,26814300,146.154754
"51",146.630005,151.070007,145.080002,147.880005,21122300,147.149817
"52",148.720001,163.839996,148.369995,161.449997,39482000,160.862676
"53",161,169,148.809998,167.399994,47932100,166.791028
"54",167.149994,179.789993,165.710007,178.179993,26628800,177.531811
"55",178.789993,183.509995,163.570007,173.660004,48189600,173.222055
"56",173.779999,181.490005,168.880005,169.110001,37915800,168.683527
"57",169.300003,180.050003,168.029999,176.979996,28379000,176.533675
"58",176.979996,178.600006,163.600006,165.449997,36722300,165.223555
"59",165.020004,175.300003,164.279999,169.570007,37374400,169.337927
"60",170,178.789993,168.460007,173.220001,23284500,172.982925
"61",173.869995,183.899994,172.919998,182.320007,11978100,182.070477
