"","stock_data$STI.Open","stock_data$STI.High","stock_data$STI.Low","stock_data$STI.Close","stock_data$STI.Volume","stock_data$STI.Adjusted"
"1",25.1,26.629999,23.120001,23.299999,97353900,22.060084
"2",23.26,27.049999,21.790001,25.950001,167904600,24.569065
"3",26.5,26.77,21.940001,22.51,120871400,21.32153
"4",22.889999,26.549999,22.620001,25.83,132929900,24.466242
"5",26.129999,28.059999,23.889999,25.01,172630800,23.689536
"6",25.129999,27.719999,23.25,23.360001,127869600,22.13588
"7",23.870001,29.82,23.549999,29.51,127245400,27.963604
"8",29.940001,30.799999,27.379999,30.43,127200600,28.835394
"9",30.67,33.139999,29.700001,30.17,92496300,28.598359
"10",30.389999,30.450001,27.549999,28.84,163689900,27.337642
"11",29.059999,30.129999,26.75,28.190001,117306700,26.721503
"12",28.280001,28.85,26.92,28.129999,95355500,26.674298
"13",27.93,27.940001,24.629999,25.799999,127657000,24.464874
"14",25.690001,26.52,23.76,24.49,102818500,23.222666
"15",24.870001,25,16.860001,19.9,201741200,18.917919
"16",19.870001,20.280001,16.51,17.950001,162363400,17.064154
"17",17.75,21.309999,16.6,19.73,192794300,18.756308
"18",18.700001,20.299999,16.41,18.129999,137751400,17.286565
"19",17.85,19.48,15.79,17.700001,163122500,16.87657
"20",18.110001,21.809999,18.07,20.57,186509800,19.613053
"21",20.889999,23.719999,20.870001,22.959999,149809400,21.939874
"22",23.190001,24.93,21.360001,24.17,219215700,23.096114
"23",23.67,24.83,22.25,24.280001,161209200,23.201227
"24",24.280001,24.809999,21.559999,22.92,134826700,21.949957
"25",22.32,24.23,20.959999,24.23,127011000,23.204513
"26",24.67,25.18,22.34,23.65,117612700,22.649061
"27",23.77,25.76,22.879999,25.17,92530900,24.153446
"28",25.18,30.790001,25.139999,28.27,151015100,27.128245
"29",28.49,30.639999,26.51,27.200001,158314800,26.10146
"30",27.24,27.82,25.299999,27.15,97288500,26.102177
"31",27.15,28.969999,25.99,28.35,96631900,27.255865
"32",29.08,29.98,27.92,28.370001,134854300,27.275094
"33",28.66,29.549999,26.93,27.59,99000600,26.573671
"34",27.379999,29.91,26.959999,28.809999,98040400,27.748729
"35",28.809999,29.690001,26.969999,29.25,120433400,28.172522
"36",29.209999,32.84,28.85,32.09,94184500,31.003772
"37",32.139999,32.669998,30.17,31.57,88191100,30.501374
"38",31.790001,36.290001,31.629999,34.790001,86189800,33.61238
"39",35.130001,35.810001,31.92,32.02,60062500,31.031802
"40",32.549999,34.439999,31.59,32.419998,78157500,31.419455
"41",32.509998,34.919998,31.969999,33.639999,84983600,32.601805
"42",33.650002,36.990002,33.48,36.23,67575200,35.208174
"43",36.310001,36.939999,34.830002,36.810001,65478500,35.771818
"44",36.82,40.209999,36.400002,37.02,86433100,35.975894
"45",37.09,38.700001,36.23,37.68,65486900,36.715713
"46",37.279999,41.259998,37.029999,39.790001,61366500,38.771715
"47",40.080002,40.549999,37.330002,38.259998,70220100,37.280868
"48",38.240002,38.990002,36.82,38.32,57136900,37.534572
"49",38.43,40.84,38.279999,40.060001,63033200,39.23891
"50",40.25,40.860001,37.919998,38.049999,76274400,37.270106
"51",38.060001,38.639999,36.419998,38.080002,55619600,37.494473
"52",38.200001,40.470001,37.869999,38.029999,68588600,37.445239
"53",38.07,39.139999,33.970001,39.139999,100372400,38.538172
"54",39.290001,39.950001,38.540001,39.290001,39851600,38.880757
"55",39.029999,43.060001,38.490002,41.900002,70631100,41.463572
"56",42.220001,42.439999,36.52,38.419998,97529200,38.019817
"57",38.689999,42,38.310001,41,55925700,40.769663
"58",41.07,43.23,40.200001,41.09,72872700,40.859158
"59",40.509998,42.439999,40.400002,41.5,66303800,41.266854
"60",41.75,43.669998,41.360001,42.68,53054700,42.68
"61",42.849998,44.299999,41.860001,44.009998,23013300,44.009998
