"","stock_data$DOV.Open","stock_data$DOV.High","stock_data$DOV.Low","stock_data$DOV.Close","stock_data$DOV.Volume","stock_data$DOV.Adjusted"
"1",43.570007,47.160001,41.560008,41.790004,29801100,31.365746
"2",41.739996,48.840002,40.500002,47.970005,39099100,36.004184
"3",48.979999,49.709998,43.230002,44.760003,31869100,33.80451
"4",45.679998,52.999997,45.480004,52.210002,37663500,39.431041
"5",52.739998,54.970005,51.389999,53.100003,50509900,40.103205
"6",53.249998,56.689997,53.050005,54.810007,37157900,41.596634
"7",55.940007,59.200003,55.860006,58.449999,30637300,44.359112
"8",59.179998,65.000004,56.510008,64.1,41818600,48.647033
"9",64.489999,68.070009,62.900001,64.25,32554100,48.972962
"10",64.350001,66.760001,60.430005,65.740005,39843500,50.108681
"11",66.55001,69.250003,63.310005,68.040001,31379600,51.861796
"12",68.419997,68.64001,61.759999,67.230001,34837200,51.466586
"13",66.729999,68.230006,60.570002,67.800002,35784700,51.902939
"14",67.910006,70.150006,59.550006,60.470001,36982500,46.291603
"15",61.330008,61.640006,49.910006,57.520002,62733500,44.289793
"16",57.630006,58.400001,45.420008,46.600002,61407400,35.881508
"17",46.140004,58.890001,43.640005,55.530003,53328900,42.757515
"18",53.309999,57.239998,50.140002,54.970005,47330300,42.593271
"19",54.700003,59.270002,54.620002,58.049998,38340700,44.979791
"20",59.569997,63.980007,56.810003,63.410006,37110900,49.13297
"21",64.200006,67.199998,63.550004,64.020003,22777700,49.844714
"22",64.169999,64.900002,60.650003,62.940006,39420800,49.003849
"23",62.810002,64.360004,59.040001,62.660002,44713800,48.785844
"24",62.539996,63.250008,54.870003,56.560002,42485200,44.277893
"25",54.919997,57.420001,50.880008,53.610008,44224300,41.968495
"26",53.910003,55.069997,50.269997,54.470002,45203600,42.64174
"27",54.759999,58.440006,52.589998,57.809999,32319700,45.532359
"28",57.680004,61.640006,56.730002,59.489996,36854500,46.855559
"29",59.530001,60.320001,54.900006,58.219998,51685900,45.855283
"30",58.310002,64.210004,58.240003,63.589995,38233500,50.366003
"31",64.08,65.800001,62.719998,65.710002,29683000,52.04514
"32",66.969997,69.720002,65.400005,69.180004,32268300,54.79353
"33",69.619996,73.990002,69.110005,73.350002,31037000,58.382537
"34",72.890009,74.619999,71.570004,72.880006,26137100,58.008447
"35",72.76,74.759996,67.45,68.979996,34920300,54.904255
"36",68.770005,80.450007,67.980005,78.250003,29149100,62.559167
"37",78.379998,80.750007,75.579999,77.659997,27357000,62.08747
"38",78.490006,87.05,75.959995,85.640005,28075400,68.467312
"39",86.490002,88.700008,84.800003,85.049999,17882900,68.296038
"40",85.830006,92.870006,84.940009,89.830008,17430600,72.134435
"41",89.810003,92.650007,85.100011,91.789999,28184400,73.708328
"42",91.850005,93.889997,90.040004,90.74,16753600,73.163741
"43",88.410001,97.000012,88.160005,96.540001,21781200,77.840286
"44",96.540001,96.740004,85.830006,86.56,27117200,69.793403
"45",86.30001,94.379997,81.680004,94.300005,39594600,76.034176
"46",77.889999,84.089996,77.629997,81.75,33149800,79.792956
"47",82,86.830002,80.620003,86.400002,26694200,84.33164
"48",86.360001,88.150002,84.419998,87.18,14664700,85.459344
"49",87.300003,91.370003,86.459999,90.949997,15176400,89.154933
"50",91.040001,91.839996,85.75,85.760002,21201800,84.067372
"51",85.080002,90.650002,84.010002,87.870003,14016400,86.524075
"52",88.160004,89.400002,80.25,80.330002,19209500,79.099566
"53",80.209999,80.75,70,79.440002,41455900,78.223199
"54",79.550003,83.550003,76.230003,76.989998,40966600,76.177311
"55",74.949997,77.510002,67.129997,71.720001,57953900,70.962943
"56",72.139999,72.690002,67.779999,70.040001,47804700,69.300677
"57",69.519997,74.709999,68.110001,72.050003,32138800,71.676591
"58",72.050003,72.800003,68.660004,69.120003,34605400,68.761776
"59",69.089996,77.440002,68.540001,75.720001,40366300,75.327568
"60",75.720001,78.209999,74.230003,75.400002,29873700,75.400002
"61",75.870003,76.910004,72.120003,73.360001,13770100,73.360001
