"","stock_data$SJM.Open","stock_data$SJM.High","stock_data$SJM.Low","stock_data$SJM.Close","stock_data$SJM.Volume","stock_data$SJM.Adjusted"
"1",55.880001,63.330002,55.549999,60.220001,19138600,53.37595
"2",60,63.75,59.34,61.43,15546100,54.448432
"3",61.02,61.02,57.200001,58.48,20672900,52.189638
"4",58.959999,62.349998,58.790001,60.529999,11019300,54.01913
"5",60.66,64.550003,59.709999,64.279999,13014900,57.365764
"6",64.349998,64.889999,60.459999,63.25,16558900,56.799017
"7",63.619999,66.279999,63.52,65.650002,12306000,58.954238
"8",65.970001,65.980003,61.59,62.16,17524200,55.820188
"9",62.389999,68.910004,61.16,68.839996,15718800,62.249061
"10",68.870003,73.129997,67.540001,71.389999,16846900,64.554919
"11",71.639999,75.459999,71.580002,75.07,10807500,67.882586
"12",75.379997,79.279999,73.760002,79.279999,10389800,72.110367
"13",79.300003,79.839996,74.900002,76.440002,19958100,69.527203
"14",76.419998,80.25,75.360001,77.919998,12493000,70.873357
"15",78.529999,78.610001,66.43,72.089996,25041400,66.012824
"16",71.959999,76.459999,69.190002,72.889999,15768300,66.745387
"17",72.230003,78.290001,70,77.019997,12110200,70.527226
"18",75.699997,79.589996,71.239998,75.980003,19208500,70.000223
"19",75.720001,79.239998,74.870003,78.169998,10912200,72.01786
"20",79.07,81.400002,76.839996,78.779999,9719300,72.579853
"21",79.089996,80.379997,70.5,75.32,19819200,69.81464
"22",75.400002,81.660004,74.519997,81.360001,17150100,75.413159
"23",81.349998,81.970001,77.739998,79.629997,11817100,73.809607
"24",79.709999,80.309998,75.029999,76.559998,12074300,71.414093
"25",75.800003,77.370003,73.199997,75.519997,16437900,70.443995
"26",75.68,77.32,74.120003,76.800003,9405500,71.637967
"27",77.059998,85.510002,74.599998,84.970001,17098100,79.799134
"28",85.169998,87.730003,84.860001,86.330002,14112200,81.076371
"29",86.489998,87.809998,82,85.639999,11858900,80.428359
"30",85.68,88.459999,81.599998,88.459999,12991200,83.575991
"31",88.18,89.389999,84.57,86.239998,10051400,81.47856
"32",86.480003,90.309998,86.480003,88.629997,12228000,83.736604
"33",89.190002,95.860001,88.379997,95.300003,15972100,90.556269
"34",95.25,99.290001,94.68,99.160004,11209500,94.224131
"35",99.32,105.18,97.580002,103.230003,10232500,98.091539
"36",102.940002,105.169998,100.949997,100.959999,9945500,96.414156
"37",101.230003,104.18,96.75,103.150002,15559400,98.505551
"38",103.419998,113.18,101.440002,112.519997,11265800,107.453651
"39",113.389999,114.720001,104.5,106.139999,10491600,101.879663
"40",106.470001,109.639999,104.370003,105.040001,10312500,100.823817
"41",105.099998,112.949997,103.800003,111.209999,10194800,106.746159
"42",111.089996,112.050003,99.470001,104.239998,12212400,100.59915
"43",104.5,106.199997,100.18,103.620003,14724000,100.00081
"44",103.639999,103.650002,96.300003,96.389999,18829600,93.023333
"45",96.389999,100.889999,87.099998,100.010002,26579100,97.115931
"46",99.089996,100.610001,95.379997,97.239998,15361000,94.426085
"47",97.279999,98.550003,94.120003,96.68,11835100,93.882292
"48",96.800003,103.209999,95.889999,102.599998,11405700,100.209878
"49",102.690002,107.260002,102.120003,106.57,13679700,104.087396
"50",106.809998,107.739998,99.540001,99.639999,8489900,97.318834
"51",99.489998,104.029999,98.620003,102.599998,9718200,100.838955
"52",102.610001,103.389999,97.690002,98.989998,9548800,97.290917
"53",99,104.510002,95.599998,104,12363600,102.214926
"54",103.779999,105.910004,98.190002,102.57,12608500,101.429364
"55",102.169998,104.089996,97.330002,100.980003,10858100,99.857049
"56",101.139999,107.209999,97.279999,103.150002,10431200,102.002916
"57",103.230003,115.839996,101.879997,115.349998,22158000,114.716101
"58",115.349998,117.650002,109.269997,115.730003,14733900,115.094017
"59",115.650002,118.639999,113.93,115.919998,14102400,115.282968
"60",116.199997,120.650002,115.239998,118.550003,9596800,118.550003
"61",118.68,118.93,110.050003,111.57,10111700,111.57
