"","stock_data$GPC.Open","stock_data$GPC.High","stock_data$GPC.Low","stock_data$GPC.Close","stock_data$GPC.Volume","stock_data$GPC.Adjusted"
"1",39.75,42.25,39.299999,39.450001,11088200,33.961054
"2",39.970001,43.98,38.810001,42.830002,24140700,36.870773
"3",43.32,44.52,41.599998,41.93,21261000,36.095995
"4",42.48,45.32,41.98,44.59,15935900,38.757777
"5",44.93,48.43,44.130001,47.860001,22456300,41.600072
"6",48.150002,48.84,46.619999,48.139999,16490700,41.843448
"7",48.75,51.610001,48.09,51.34,19774600,44.987273
"8",51.810001,52.580002,50.279999,51.75,15945900,45.34654
"9",52.009998,55.700001,51.220001,52.689999,15983400,46.170225
"10",52.959999,54.060001,49.860001,53.639999,18389000,47.404712
"11",53.880001,54.740002,51.169998,53.700001,18060300,47.457739
"12",54.009998,55.990002,52.650002,54.799999,18389900,48.42987
"13",54.599998,54.73,49.740002,54.400002,20304800,48.503587
"14",54.52,57.66,52.610001,53.16,22224400,47.397989
"15",53.68,55.689999,46.099998,55.02,43727900,49.056384
"16",55.189999,55.77,48.18,50.799999,31099100,45.683209
"17",50.650002,59.400002,48.529999,57.43,25407700,51.645408
"18",56.07,59,54.099998,58.5,17656100,52.607633
"19",58.16,62.209999,57.080002,61.200001,16838400,55.45066
"20",62.369999,65.379997,60.84,63.779999,15324700,57.788284
"21",64.209999,66.43,61.669998,62.68,18405400,56.791623
"22",62.66,63.880001,61.25,62.75,19189600,57.310696
"23",62.77,65.82,60.18,64.779999,19367500,59.16473
"24",64.669998,66.5,59.84,63,18282000,57.539025
"25",62.279999,62.950001,55.580002,60.25,24530300,55.483926
"26",60.52,65.160004,58.73,64.029999,22479900,58.964908
"27",64.199997,65.18,62.599998,63.16,12940000,58.163731
"28",62.84,64.110001,60.389999,61.029999,13792900,56.654695
"29",61.099998,64.580002,59.529999,62.580002,19149000,58.093577
"30",62.5,65.150002,59.93,65.089996,13980400,60.423627
"31",65.550003,66.900002,62.459999,63.580002,14318500,59.47735
"32",64.699997,68.419998,64.43,68.029999,13106000,63.6402
"33",68.510002,71.470001,68.220001,71.029999,16154800,66.446618
"34",70.800003,78.120003,70.43,78,18804200,73.509318
"35",77.370003,78.269997,71.870003,76.330002,21001600,71.935467
"36",76.190002,84.269997,74.519997,77.739998,13949400,73.264285
"37",78.129997,79.779999,75.120003,78.07,12301700,74.093297
"38",78.110001,85.410004,77.620003,81.989998,25502900,77.81362
"39",82.660004,84.669998,76.550003,77.010002,15540500,73.087293
"40",77.800003,82.459999,76.400002,80.889999,11323100,77.309039
"41",80.739998,81.43,76.260002,78.830002,17811200,75.340237
"42",79.019997,83.290001,78.339996,82.839996,15412800,79.172711
"43",82.910004,84.889999,80.18,83.190002,14812200,80.026195
"44",83.099998,84.809998,81.019997,82.25,17305100,79.121942
"45",81.959999,90,76.5,88.089996,17711700,84.739837
"46",86.800003,88.309998,83.510002,86.849998,13508200,84.096935
"47",86.769997,89.050003,83.720001,87.120003,15518400,84.35838
"48",87.080002,87.5,83.43,86.330002,11271700,83.593422
"49",86.370003,87.940002,84.809998,87.800003,10557300,85.591702
"50",87,89.900002,82.82,82.82,13631800,80.736953
"51",82.739998,88.459999,82.150002,87.739998,10636300,85.533206
"52",87.949997,90.199997,86.480003,87.709999,9747300,86.066392
"53",86,97.129997,84.989998,97.080002,16358500,95.26081
"54",96.959999,103.540001,96.349998,102.779999,10870500,100.853994
"55",102.620003,109,101.379997,106.57,12270200,105.162966
"56",107.400002,108.07,92.830002,92.940002,25250000,91.712924
"57",93.339996,98.480003,91.839996,96.080002,21513700,94.811467
"58",96.150002,97.290001,91.739998,93.190002,14279900,92.5556
"59",92.82,94.410004,89.470001,89.849998,14445800,89.238333
"60",90.589996,94.739998,90.110001,90.470001,13210600,89.854115
"61",90.540001,91.870003,89.709999,91.43,4715800,91.43
