"","stock_data$PWR.Open","stock_data$PWR.High","stock_data$PWR.Low","stock_data$PWR.Close","stock_data$PWR.Volume","stock_data$PWR.Adjusted"
"1",20.91,23.23,20.610001,20.65,35853900,20.65
"2",20.799999,22.66,20.08,21.48,39881700,21.48
"3",21.75,22.059999,17.799999,17.940001,60220300,17.940001
"4",18.26,19.559999,17.389999,19.08,44724100,19.08
"5",19.24,20.5,18.709999,19.66,32742000,19.66
"6",19.84,20.030001,17.01,17.610001,65715900,17.610001
"7",17.959999,20.469999,17.690001,19.92,45103400,19.92
"8",20.02,23.870001,19.98,23.73,47545700,23.73
"9",23.809999,24.18,20.879999,22.809999,46232500,22.809999
"10",22.98,23.15,20.98,22.43,40764900,22.43
"11",22.6,22.98,20.16,21.68,38498500,21.68
"12",21.860001,21.860001,18.870001,19.75,55245000,19.75
"13",19.68,20.57,18.49,20.200001,44258900,20.200001
"14",20.219999,20.969999,18.25,18.52,28170600,18.52
"15",18.83,19.4,15.37,19.190001,73890200,19.190001
"16",19.17,19.959999,17.209999,18.790001,49698600,18.790001
"17",18.66,21.83,16.629999,20.889999,45768300,20.889999
"18",20,22.5,18.15,20.59,66022200,20.59
"19",20.5,21.950001,19.74,21.540001,33958000,21.540001
"20",22.040001,22.35,20.59,21.6,25863400,21.6
"21",21.73,22.549999,20.719999,20.9,25740100,20.9
"22",20.959999,22.15,20.639999,20.9,33208300,20.9
"23",20.809999,22.219999,20.209999,22.120001,36903400,22.120001
"24",22.1,24.059999,21.620001,22.58,49845200,22.58
"25",22.129999,24.07,21.15,24.07,45492700,24.07
"26",24.129999,24.25,21.629999,22.99,33226700,22.99
"27",23.110001,25.16,22.43,24,36970300,24
"28",23.98,26.07,23.9,24.700001,29811500,24.700001
"29",24.6,26.08,22.92,25.93,41371800,25.93
"30",26.08,26.690001,24.700001,25.860001,45014500,25.860001
"31",26.01,27.959999,25.52,27.290001,34915000,27.290001
"32",27.85,29.940001,27.57,28.969999,36942300,28.969999
"33",29.219999,29.59,27.639999,28.4,42497300,28.4
"34",28.139999,29.91,27.610001,28.58,31200300,28.58
"35",28.620001,28.620001,26.030001,27.48,43890500,27.48
"36",27.370001,30.559999,26.92,28.370001,35987500,28.370001
"37",28.32,28.370001,25.26,26.459999,50378500,26.459999
"38",26.540001,28.700001,25.889999,26.809999,29550400,26.809999
"39",28.75,29.129999,25.93,26.139999,36647900,26.139999
"40",26.5,28.360001,25.57,27.51,40758600,27.51
"41",27.41,30.299999,26.719999,30.209999,39542700,30.209999
"42",30.23,30.889999,29.049999,29.610001,32626100,29.610001
"43",29.549999,31.6,28.58,31.559999,31030000,31.559999
"44",31.370001,32.220001,30.309999,31.17,30425300,31.17
"45",31.200001,35.52,29.85,35.209999,37607400,35.209999
"46",34.830002,37.279999,34.779999,36.900002,39320800,36.900002
"47",37,37.419998,34.439999,35.279999,36231900,35.279999
"48",35.279999,36.560001,32.5,33.950001,43155800,33.950001
"49",33.650002,35.419998,33.220001,34.580002,31028000,34.580002
"50",34.720001,35.68,33.349998,33.490002,27334000,33.490002
"51",33.52,36.48,32.860001,36.34,26535200,36.34
"52",36.610001,37.490002,35.869999,36.290001,22757900,36.290001
"53",36.27,36.34,29.469999,34.080002,41451100,34.080002
"54",34.169998,35.330002,30.24,30.5,34667900,30.5
"55",29.790001,30.25,25.34,28.389999,65304500,28.389999
"56",28.57,28.68,25.67,26.48,52235200,26.48
"57",26.73,29.940001,26.65,28.780001,44276100,28.780001
"58",28.76,28.93,27.530001,28.530001,37523900,28.530001
"59",28.43,30.030001,28.23,28.91,32695200,28.91
"60",28.98,30.200001,27.68,29.32,45909600,29.32
"61",29.4,30.389999,28.799999,29.33,16101300,29.33
