"","stock_data$CSCO.Open","stock_data$CSCO.High","stock_data$CSCO.Low","stock_data$CSCO.Close","stock_data$CSCO.Volume","stock_data$CSCO.Adjusted"
"1",23,23.940001,21.24,21.309999,924648400,19.021897
"2",21.200001,26,20.93,23.07,1068619500,20.592923
"3",23.43,24.870001,19.82,19.99,1496467500,17.843629
"4",20.35,22.309999,20.25,21.9,1203729400,19.548548
"5",22.120001,23.9,21.5,22.860001,874713700,20.405471
"6",22.950001,24.6,19.129999,19.16,2260755000,17.102748
"7",19.34,20.51,19,20.23,1404265100,18.057859
"8",20.450001,21.610001,20.379999,21.15,993180400,18.879077
"9",21.27,22.34,18.23,18.559999,2024071600,16.567171
"10",18.67,18.790001,16.969999,17.15,1525529700,15.362187
"11",17.290001,18.290001,16.52,17.52,1645635400,15.693616
"12",17.51,17.99,16.110001,16.799999,1566704000,15.048672
"13",16.76,16.77,14.78,15.61,1672104000,13.982725
"14",15.63,16.5,15.27,15.97,1164931600,14.35952
"15",16.08,16.25,13.3,15.67,2005545300,14.089773
"16",15.69,16.84,14.96,15.5,1355061500,13.936917
"17",15.3,18.6,14.93,18.530001,1206907000,16.727433
"18",18.049999,19.190001,17.219999,18.639999,1170264500,16.826731
"19",18.68,19.07,17.620001,18.08,884361600,16.321207
"20",18.549999,20.07,18.35,19.65,800778100,17.797543
"21",19.84,20.49,19.700001,19.879999,1008546100,18.00586
"22",19.91,21.24,19.32,21.15,825745700,19.156134
"23",21.139999,21.299999,19.27,20.16,771917500,18.328661
"24",20.110001,20.16,16.26,16.33,1197232100,14.846579
"25",16.08,17.629999,15.92,17.17,825563500,15.610273
"26",17.110001,17.23,14.96,15.95,818395100,14.56898
"27",16.01,19.389999,15.65,19.08,1036944400,17.427971
"28",18.99,19.75,18.35,19.1,712398800,17.44624
"29",19.23,19.4,17.01,17.15,752917900,15.781116
"30",17.17,19.129999,16.68,18.91,907821400,17.529394
"31",19.02,20.540001,18.950001,19.65,780170100,18.215367
"32",20.120001,21.26,20.01,20.57,765378900,19.068198
"33",20.73,21.67,20.440001,20.860001,697094300,19.337026
"34",20.709999,21.98,20.549999,20.9,678943000,19.374105
"35",21.040001,21.700001,19.98,20.92,783097400,19.549409
"36",20.83,24.68,20.290001,24.120001,1109907700,22.539759
"37",24.26,24.98,23.879999,24.34,736630100,22.745345
"38",24.42,26.15,24.219999,25.59,680967500,24.081646
"39",25.790001,26.49,23.219999,23.309999,851724100,21.936036
"40",23.58,24.799999,23.02,23.43,649688500,22.048964
"41",23.33,23.48,22.1,22.559999,876764600,21.385407
"42",22.66,24,20.77,21.25,1088335300,20.143613
"43",21.290001,22.469999,20.219999,22.43,938261700,21.262177
"44",22.17,23,21.6,21.91,867246000,20.927865
"45",21.93,22.92,21.4,21.799999,951920200,20.822796
"46",21.57,22.690001,21.27,22.42,862634400,21.415004
"47",22.33,23.639999,22.299999,23.110001,806717200,22.262742
"48",23.139999,24.93,22.43,24.620001,816008400,23.717383
"49",24.639999,25.17,24.4,24.85,515651900,23.93895
"50",24.99,26.08,24.77,25.23,601686300,24.490554
"51",25.139999,25.370001,24.27,24.99,520011800,24.257588
"52",24.940001,25.42,24.459999,25.17,525147100,24.618519
"53",25.200001,25.42,22.49,24.469999,686582800,23.933856
"54",24.450001,27.780001,24.450001,27.639999,543757300,27.0344
"55",27.5,28.59,26.15,27.82,577395500,27.210457
"56",27.860001,28.700001,26.32,26.370001,659832000,25.96959
"57",26.389999,29.99,25.92,29.51,614734800,29.06191
"58",29.360001,30.309999,26.620001,27.530001,630441700,27.319465
"59",27.309999,29.33,26.84,28.83,489815600,28.609522
"60",28.809999,29.9,28.690001,29.309999,515367400,29.085851
"61",29.6,29.620001,28.01,28.66,173226800,28.440822
