"","stock_data$PNR.Open","stock_data$PNR.High","stock_data$PNR.Low","stock_data$PNR.Close","stock_data$PNR.Volume","stock_data$PNR.Adjusted"
"1",32.48,34.970001,32.07,32.200001,8269800,29.236044
"2",32.259998,35.43,31.129999,34.200001,12872500,31.225065
"3",34.860001,35.68,29.41,30.1,13411400,27.481709
"4",30.540001,34.139999,30.450001,33.630001,13648800,30.704648
"5",33.889999,35.73,31.889999,32.73,14115800,30.054883
"6",32.900002,34.049999,32.07,32.900002,11831500,30.21099
"7",33.380001,37.220001,33.380001,36.509998,11086000,33.525931
"8",36.830002,37.34,35.060001,36.169998,9952200,33.396013
"9",36.360001,38.970001,36.25,37.080002,7480800,34.236225
"10",37.310001,38.209999,34.849998,37.790001,11002600,34.891772
"11",38.02,40.34,36.740002,40.16,16407700,37.2679
"12",40.389999,40.57,38.09,40.48,10442000,37.564855
"13",40.389999,40.650002,36.91,40.360001,15117300,37.453497
"14",40.310001,42.43,36.549999,36.810001,14235200,34.335682
"15",37.349998,37.52,29.73,34.32,19623300,32.013055
"16",34.509998,34.630001,30.799999,32.009998,20151500,29.858329
"17",31.709999,38.23,30.379999,35.950001,16114600,33.717536
"18",34.529999,38.619999,34.009998,38.029999,13223200,35.668368
"19",37.860001,38.18,32.5,33.290001,20041100,31.22272
"20",34.110001,37.799999,33.880001,36.82,10889800,34.740918
"21",37.560001,39.700001,36.990002,38.5,8978900,36.326055
"22",38.540001,48.77,37,47.610001,23415800,44.921649
"23",47.380001,47.59,43.240002,43.34,25996600,41.098018
"24",43.549999,44.119999,39.459999,40.759998,18129700,38.65148
"25",39.950001,40.689999,36.310001,38.279999,20803700,36.299771
"26",38.48,45.029999,37.43,43.830002,16929600,41.784392
"27",44.310001,45.209999,41.610001,42.5,19593100,40.516463
"28",42.470001,45,41.689999,44.509998,61597700,42.432652
"29",44.099998,46.57,40.299999,42.240002,77459000,40.486106
"30",42,48.990002,41.950001,48.490002,55890500,46.476593
"31",48.740002,49.5,47.310001,49.150002,28802700,47.109188
"32",50.060001,53.360001,49.389999,50.68,35707900,48.787498
"33",51.009998,53.84,50.099998,53.27,23233400,51.280782
"34",52.619999,54.200001,50.549999,52.75,28583800,50.780199
"35",52.639999,54.98,49.669998,54.349998,32010500,52.548752
"36",54.279999,59.59,52.98,58.240002,24059300,56.309834
"37",58.389999,60.139999,55.490002,57.689999,27558400,55.778059
"38",58,61.75,57.380001,61.080002,21953200,59.303138
"39",61.5,64.879997,59.889999,60.110001,15624300,58.361355
"40",61.119999,66.489998,60.369999,64.940002,15852900,63.050848
"41",64.730003,67.949997,62.799999,67.089996,24976800,65.391046
"42",67.379997,71.419998,66.239998,70.720001,15908000,68.929127
"43",70.599998,77.970001,68.919998,77.669998,18485400,75.703126
"44",77.349998,78.18,71.290001,74.330002,30274800,72.68141
"45",74.330002,81.389999,71.339996,80.809998,27226700,79.017683
"46",80.099998,83.370003,76.07,79.339996,24335500,77.580286
"47",79.360001,81.040001,71.959999,74.290001,32798200,72.885408
"48",74.290001,76.919998,72.75,74.639999,23729900,73.228789
"49",74.790001,79.199997,71.93,72.120003,23692100,70.756438
"50",72.57,73.629997,63.59,64.07,38313700,63.120113
"51",63.529999,70.449997,62.91,68.07,35950200,67.06081
"52",68.080002,68.300003,65.349998,65.489998,35383400,64.519059
"53",65.400002,68.18,59.09,67.050003,45118700,66.362223
"54",67.25,69.370003,64.360001,64.709999,20273600,64.046222
"55",64.080002,67.75,59.48,66.419998,34695900,65.73868
"56",66.779999,67.190002,60.73,61.810001,37065600,61.489792
"57",62.330002,68.239998,62.189999,66.470001,25259800,66.125651
"58",66.470001,66.730003,62.02,62.889999,28723000,62.564195
"59",62.709999,66.519997,59.919998,62.150002,40085300,62.150002
"60",62.490002,65.980003,61.330002,64.029999,20367500,64.029999
"61",64.239998,64.449997,61.040001,61.950001,6703400,61.950001
