"","stock_data$PPG.Open","stock_data$PPG.High","stock_data$PPG.Low","stock_data$PPG.Close","stock_data$PPG.Volume","stock_data$PPG.Adjusted"
"1",62.880001,68.5,60.23,60.41,53446800,27.386294
"2",60.209999,69.760002,59.689999,69.470001,70955200,31.493559
"3",70.110001,71.279999,63.119999,65.830002,49397200,30.078893
"4",66.830002,73.989998,66.510002,72.800003,53131000,33.26361
"5",73.5,78,72.099998,76.699997,47793800,35.045586
"6",77.120003,79.839996,75.019997,77.959999,47355600,35.868924
"7",79.120003,84.589996,78.989998,84.07,45564600,38.680098
"8",84.510002,85.440002,78.75,84.279999,57535000,38.776717
"9",84.760002,90.339996,84.419998,88.379997,44241600,40.917824
"10",88.870003,96.559998,84.690002,95.209999,67006000,44.079951
"11",95.529999,97.809998,90.139999,94.669998,46956800,43.829944
"12",95,95.489998,85.599998,88.699997,43394000,41.327018
"13",88.43,90.970001,82.760002,90.790001,52880200,42.300791
"14",90.980003,93.849998,83.050003,84.199997,51044600,39.230382
"15",85.419998,85.709999,68.699997,76.589996,91932000,35.94784
"16",76.699997,79.129997,68.269997,70.660004,78836800,33.164572
"17",70,90,66.43,86.410004,58952800,40.556902
"18",83.080002,89.589996,79.07,87.75,45623600,41.45161
"19",87.190002,87.779999,78.800003,83.489998,49219800,39.439258
"20",85.300003,90.889999,83.269997,89.580002,35835000,42.316072
"21",90.720001,93.669998,89.349998,91.25,33788400,43.378099
"22",91.489998,96.400002,90.040001,95.800003,39973600,45.541063
"23",95.639999,106.400002,91.849998,105.239998,78916600,50.028614
"24",105.07,107.949997,97.089996,103.440002,54496800,49.445839
"25",100.379997,106.889999,96.739998,106.120003,42385400,50.726919
"26",106.309998,114.620003,99.120003,109.459999,53003400,52.323486
"27",109.93,111.870003,105.870003,110.019997,37190800,52.870889
"28",109.699997,119.860001,107.43,114.839996,35817200,55.187174
"29",115.279999,120,113.389999,117.080002,30927000,56.263624
"30",118.68,128.419998,113.809998,124.269997,36254400,60.006218
"31",124.989998,136.789993,118.75,135.350006,73891600,65.356419
"32",138.339996,147.990005,136.199997,137.869995,206919600,66.573245
"33",139.350006,140.919998,128.199997,134.660004,141644800,65.307162
"34",133.639999,143.5,131.949997,133.940002,40837400,64.957977
"35",133.649994,148.559998,130.559998,147.139999,48668400,71.359688
"36",145.820007,160.830002,145.110001,153.610001,28606000,74.795269
"37",154.470001,157.220001,145.210007,146.410004,28735800,71.28947
"38",147.050003,162.259995,144.580002,160.440002,31364600,78.12091
"39",156.259995,165.639999,155.270004,156.210007,26230000,76.350375
"40",158.539993,172.210007,156.350006,167.059998,22897000,81.653498
"41",167.130005,187.279999,160.759995,182.580002,39355600,89.239172
"42",182.800003,186.889999,179.350006,184.059998,25391000,90.262894
"43",184.339996,190.070007,180.320007,189.660004,31953800,93.009133
"44",189.5,192.229996,180.429993,182.360001,46468600,89.429217
"45",182.509995,198.149994,173.830002,197.820007,36083600,97.328979
"46",193.229996,201.289993,188.029999,193.460007,30420400,95.183825
"47",195.080002,201.589996,185.179993,193.619995,36750600,95.262541
"48",193.149994,202.880005,192.179993,201.610001,23113000,99.529227
"49",201.809998,213.009995,200.070007,210.149994,22402200,103.745183
"50",210.220001,211.660004,198.339996,198.360001,26088600,97.924793
"51",196.979996,206.850006,196.5,205.860001,18811200,101.970838
"52",206.389999,206.539993,196.380005,196.740005,22874000,97.453333
"53",196.5,204.5,171.559998,203.690002,58467000,100.895949
"54",204.050003,219.539993,197.270004,218.820007,34728400,108.74544
"55",217.460007,233.669998,216.039993,231.149994,36427800,114.872986
"56",231.149994,233.979996,219.809998,222.880005,34790200,110.763108
"57",221.25,237.410004,219.880005,235.380005,23876400,117.308393
"58",235.380005,237.899994,220.050003,225.539993,29339800,112.404341
"59",225.350006,233.110001,218.600006,221.559998,33366000,110.420795
"60",221.729996,231.910004,220.660004,228.889999,27844800,114.445
"61",228.169998,232.990005,226.470001,231.880005,9339400,115.940002
