"","stock_data$DO.Open","stock_data$DO.High","stock_data$DO.Low","stock_data$DO.Close","stock_data$DO.Volume","stock_data$DO.Adjusted"
"1",59.939999,68.650002,58.849998,62.189999,56692700,47.720774
"2",62.93,67.029999,58.75,59.490002,50755200,46.310868
"3",60.34,67.980003,57.759998,58.18,39564500,45.291078
"4",59.310001,70.440002,59.130001,67.769997,40651800,52.756552
"5",68.910004,72.910004,64.910004,66.160004,45809200,52.1766
"6",67.330002,76.389999,63.369999,64.760002,46119700,51.072499
"7",65.760002,67.339996,62.900002,66.870003,37485500,52.736536
"8",68,75.699997,63.970001,71.709999,55745000,56.553563
"9",72.199997,78.57,68.870003,78.230003,43683400,62.456441
"10",78.610001,80.199997,70.970001,77.699997,47230700,62.033301
"11",78.269997,81.190002,73.07,75.870003,33585400,61.275171
"12",75.82,75.870003,68.639999,73.669998,42371300,59.498373
"13",73.269997,74,65.629997,70.410004,42158800,56.865492
"14",70.169998,73.150002,66.699997,67.830002,37922000,55.483148
"15",68.949997,69.169998,56.400002,63.73,60157700,52.129454
"16",63.919998,64.75,54.700001,54.740002,40174700,44.775874
"17",54.310001,70.160004,51.16,65.540001,43909100,54.296037
"18",63.450001,66.739998,58,60.150002,35610800,49.83074
"19",60.139999,61.75,52.98,55.259998,29891900,45.779659
"20",56.849998,64.07,54.860001,62.299999,32554400,51.611886
"21",62.810001,69.970001,61.630001,68.470001,33617000,57.519603
"22",68.790001,72.800003,65.610001,66.75,31793100,56.074681
"23",66.769997,70.300003,63.700001,68.550003,27967300,58.322247
"24",68.650002,69.190002,57.57,58.18,29225900,49.499463
"25",57.040001,61.240002,55.830002,59.130001,29605600,50.307723
"26",59.279999,67.68,58.110001,65.419998,33142400,56.393644
"27",65.75,68.82,65.099998,67.019997,24647600,57.772882
"28",66.82,73.5,65.230003,65.809998,25793800,56.729833
"29",66.559998,72.599998,64.629997,69.239998,26999600,60.441885
"30",69.139999,70.809998,64,69,28601100,60.232383
"31",69.169998,70.260002,66.489998,67.959999,19171900,59.324532
"32",69.419998,75.75,68.599998,75.089996,20947200,65.548543
"33",75.239998,76.849998,68.300003,69.68,29928900,61.545446
"34",69.480003,70.860001,67.019997,69.559998,22594400,61.439452
"35",69.709999,70.230003,63.950001,69.099998,22812800,61.033154
"36",68.529999,73.190002,67.419998,68.809998,20238500,61.557057
"37",68.82,69.699997,64.889999,68.790001,17138200,61.539168
"38",69.059998,73,67.139999,67.440002,24313600,60.331467
"39",67.900002,69.339996,63.919998,64.029999,23040600,58.018889
"40",64.790001,65.620003,61.82,62.32,20177500,56.469424
"41",62.130001,64.650002,60.080002,61.93,28199600,56.116038
"42",61.240002,62.25,58.529999,60.049999,26523200,55.192336
"43",60.169998,60.709999,54.779999,56.919998,29183700,52.315533
"44",56.799999,57.290001,48.209999,48.540001,32911000,44.613424
"45",48.599998,48.990002,45.240002,47.299999,49017300,44.288192
"46",47.150002,48.869999,43.689999,48.759998,48998500,45.655226
"47",48.860001,55.369999,45.860001,54.610001,38372500,51.132732
"48",54.299999,54.400002,49.060001,51.060001,25262100,48.607646
"49",51.200001,51.400002,46.130001,49.630001,33125700,47.246327
"50",49.599998,50.5,45.919998,46.790001,27489700,44.542729
"51",47.060001,47.790001,43.040001,43.939999,28492800,42.617657
"52",44.16,44.16,34,34.27,42579700,33.23867
"53",34.27,40.740002,32.709999,37.709999,50562100,36.575144
"54",36.560001,39.580002,29.360001,29.370001,35385000,29.162808
"55",29.09,40,29,36.709999,50286900,36.451026
"56",36.41,37.490002,30.360001,31.530001,32659300,31.30757
"57",32.32,37.560001,28.709999,30.43,39867200,30.317895
"58",30.629999,30.959999,26.02,26.790001,41970100,26.691305
"59",27.129999,33.529999,26.540001,33.470001,39153900,33.346696
"60",33.139999,35.950001,30.129999,30.34,38145700,30.34
"61",30.280001,31.83,29.34,30.280001,9237900,30.280001
