"","stock_data$TEG.Open","stock_data$TEG.High","stock_data$TEG.Low","stock_data$TEG.Close","stock_data$TEG.Volume","stock_data$TEG.Adjusted"
"1",43.880001,47.450001,43.560001,43.740002,9909400,34.33352
"2",43.619999,49.259998,42.919998,47.349998,12420500,37.16717
"3",47.82,50.290001,47.700001,48.450001,14361400,38.561635
"4",48.939999,52.740002,48.810001,52.060001,10857600,41.434855
"5",52.25,53.919998,51.669998,53.189999,8417000,42.334227
"6",53.57,54.450001,48.02,48.700001,15116200,39.294374
"7",49.259998,49.720001,46.73,48.509998,26068500,39.141068
"8",48.830002,49.110001,47.509998,47.59,10879400,38.398753
"9",47.77,49.669998,47.66,48.970001,13298100,40.072567
"10",49.150002,51.029999,48.259998,50.509998,11481000,41.33276
"11",50.73,52.419998,49.099998,52.360001,7174400,42.846632
"12",52.5,54.02,51.52,52.34,11195500,43.392733
"13",52.290001,52.32,49.59,51.84,9187300,42.978206
"14",51.91,52.790001,49.73,50.209999,6667800,41.626845
"15",50.740002,50.82,42.759998,50.07,19513300,42.08992
"16",49.950001,51.18,46.759998,48.619999,13110000,40.871018
"17",48.599998,54,45.75,52.91,12494700,44.477285
"18",51.889999,53.75,48.450001,51.490002,13160000,43.891597
"19",51.470001,54.610001,50.060001,54.18,8900800,46.184631
"20",54.73,54.73,50.799999,51.91,7564000,44.249616
"21",52.290001,54.880001,51.950001,52.029999,10165300,44.913216
"22",52.419998,54.299999,51.610001,52.990002,10143200,45.741908
"23",53.009998,54.700001,50.889999,54.639999,9614600,47.166215
"24",54.540001,55.150002,52.830002,54.099998,10991500,47.287607
"25",53.759998,57.549999,53.41,56.869999,9131700,49.708803
"26",57.169998,61.200001,56.82,60.540001,6703400,52.916671
"27",60.790001,61.919998,53.93,53.990002,9895200,47.778873
"28",53.990002,54.740002,51.790001,52.200001,7900000,46.194797
"29",52.400002,55.830002,52.139999,54.040001,8019900,47.82312
"30",54.080002,55.599998,51.139999,53.169998,9247800,47.660688
"31",53.27,54.490002,51.209999,52.220001,9787500,46.809127
"32",52.889999,55.02,52.779999,54.689999,5644000,49.023191
"33",55.119999,57.27,54.880001,56.57,5958900,51.332721
"34",56.130001,58.27,52.549999,58.16,7852400,52.775518
"35",58.060001,61.580002,57.93,61.560001,5746800,55.860746
"36",61.279999,62.75,57.529999,57.529999,8763300,52.806228
"37",57.650002,59,55.389999,58.529999,8026800,53.724119
"38",58.630001,63.279999,56.5,62.799999,6200900,57.643511
"39",63.080002,63.580002,55.790001,55.919998,7962300,51.946183
"40",56.360001,57.099998,53.799999,55.889999,8593500,51.918316
"41",55.889999,59.740002,54.540001,58.68,6341100,54.510052
"42",58.84,59.43,53.18,53.740002,7605900,50.530333
"43",53.720001,55.310001,52.700001,54.41,9944300,51.160315
"44",54.439999,54.970001,52.91,54.34,8074500,51.094496
"45",54.400002,57.740002,52.080002,57.27,8452900,54.505848
"46",57.07,59.830002,55.619999,59.650002,7961600,56.770978
"47",59.619999,62.43,59.009998,61.279999,9033800,58.322303
"48",61.330002,61.610001,56.860001,57.990002,9233100,55.842208
"49",57.880001,71.349998,56.459999,71.129997,20481400,68.495533
"50",71,71.099998,65.510002,65.559998,9108600,63.131831
"51",65.599998,67.93,63.59,67.889999,9741900,66.0489
"52",67.809998,68.550003,64.480003,64.82,5991700,63.062155
"53",64.629997,73.120003,64.629997,72.68,10182200,70.709001
"54",72.809998,74.120003,70.75,72.839996,8245100,71.529961
"55",72.860001,80.879997,72.470001,77.849998,9390200,76.449858
"56",78,83.720001,76.839996,81.099998,5325700,79.641406
"57",81.400002,81.809998,74.279999,74.730003,5585400,74.03322
"58",74.43,74.830002,70.339996,72.019997,9778900,71.348481
"59",71.970001,74.970001,71.279999,73.099998,5243300,72.418413
"60",73.25,74.5,70.349998,71.910004,5816300,71.910004
"61",71.75,72.410004,68,69.150002,2011900,69.150002
