"","stock_data$CLF.Open","stock_data$CLF.High","stock_data$CLF.Low","stock_data$CLF.Close","stock_data$CLF.Volume","stock_data$CLF.Adjusted"
"1",53,60.27,47,47.16,94302000,41.725915
"2",46.91,57.75,44.200001,56.57,143325300,50.051633
"3",58.32,65,55.720001,61.189999,108335900,54.263356
"4",63.889999,68.830002,59.860001,63.919998,96797200,56.684322
"5",65.279999,70.949997,61.93,65.199997,88720400,57.819427
"6",65.709999,71.879997,64.760002,68.339996,67464800,60.732749
"7",69.959999,80.400002,69.339996,78.010002,58105800,69.326341
"8",79.550003,91.419998,79.150002,85.459999,82722000,75.947044
"9",86.519997,101.620003,85.800003,97.07,73774800,86.401394
"10",97.489998,101.599998,82.330002,98.279999,100949200,87.478406
"11",99.129997,102.480003,90.099998,93.720001,63529300,83.538946
"12",94.519997,95.099998,83,90.699997,77345300,80.847013
"13",89.82,93.099998,80.370003,92.449997,93142900,82.406906
"14",92.650002,102,86.949997,89.82,59805000,80.062612
"15",91.330002,91.800003,67.089996,82.849998,95466200,74.14135
"16",83.18,83.580002,51.080002,51.169998,92742200,45.791343
"17",50.209999,73.720001,47.310001,68.220001,113930600,61.049162
"18",64.160004,74.379997,59.549999,67.809998,81448300,60.914468
"19",67.360001,73.370003,59.330002,62.349998,62118400,56.009691
"20",64.510002,78.849998,64.389999,72.25,64476800,64.902971
"21",73.309998,77.669998,62.91,63.48,66467900,57.242702
"22",64.18,73.629997,59.400002,69.260002,92519700,62.454784
"23",69.260002,71.599998,61.299999,62.259998,79197200,56.675882
"24",62.740002,63,47.060001,47.779999,85840000,43.494598
"25",46.349998,53.130001,44.400002,49.290001,76850100,44.869168
"26",49.23,50.889999,36.060001,40.889999,89423400,37.222564
"27",41.209999,45.25,35.509998,35.84,115365600,33.085948
"28",35.759998,46.830002,32.25,39.130001,205099200,36.123136
"29",39.950001,46.5,36.02,36.27,168204000,33.482906
"30",36.610001,38.360001,28.33,28.75,164446700,27.019288
"31",29.120001,38.720001,28.049999,38.57,171306600,36.248137
"32",40.130001,40.400002,34.799999,37.310001,142456200,35.063989
"33",37.84,38.52,25.200001,25.459999,196090100,24.052441
"34",25.27,26.08,17.950001,19.01,267398800,17.959031
"35",19.51,22,16.74,21.34,306732600,20.160216
"36",21.08,23.75,18.040001,18.040001,255661400,17.158122
"37",18.139999,19.5,15.5,16.25,209292500,15.455625
"38",16.459999,20.299999,15.41,19.51,171878100,18.556261
"39",19.76,25.950001,19.4,20.870001,191357900,19.972208
"40",21.709999,24.1,19.99,20.5,139971000,19.618124
"41",20.299999,25.76,19.879999,25.68,177797400,24.575289
"42",25.809999,28.98,24.200001,25.01,157032300,24.065042
"43",25.08,27.129999,23.209999,26.209999,134206400,25.219701
"44",26.030001,26.629999,18.719999,19.32,218811500,18.590028
"45",19.4,23.530001,18.42,20.030001,166740000,19.400391
"46",19.75,20.860001,17.4,20.459999,134981200,19.816873
"47",20.629999,21.25,17.120001,17.719999,158943000,17.163
"48",17.68,18.370001,15.62,15.68,80718800,15.33031
"49",15.75,16.01,13.6,15.05,119385800,14.71436
"50",15.11,18.33,14.45,17.450001,140155400,17.060837
"51",17.290001,18.41,14.68,15.07,108979100,14.859916
"52",15.06,15.4,10.19,10.38,185644900,10.235298
"53",10.32,11.7,7,11.23,392143800,11.073448
"54",11.33,11.69,7.91,9.12,175056900,9.12
"55",8.9,9,5.63,7.14,181837000,7.14
"56",7.35,9.39,6.02,6.42,206269700,6.42
"57",6.4,7.41,6.15,6.84,155264500,6.84
"58",6.8,6.93,4.12,4.81,194769900,4.81
"59",4.69,6.38,4.35,5.94,248332600,5.94
"60",6.05,6.87,4.7,5.31,181523800,5.31
"61",5.36,5.56,5.01,5.25,54088200,5.25
