"","stock_data$MPC.Open","stock_data$MPC.High","stock_data$MPC.Low","stock_data$MPC.Close","stock_data$MPC.Volume","stock_data$MPC.Adjusted"
"1",38.75,42,36.59,41.400002,13443200,18.942695
"2",41.200001,47.43,37.75,43.790001,193544600,20.036246
"3",45.040001,45.400002,29.48,37.060001,205907600,17.048056
"4",37.43,38.220001,26.35,27.059999,138185800,12.447932
"5",26.91,38.470001,26.610001,35.900002,158632200,16.514442
"6",35.5,39.549999,31.24,33.389999,178598200,15.462154
"7",33.919998,35.450001,31.719999,33.290001,121578000,15.415847
"8",34.549999,39.040001,30.24,38.220001,147504200,17.698819
"9",41.700001,45.419998,40.669998,41.549999,187035400,19.352137
"10",41.57,45.389999,41.57,43.360001,142391800,20.195155
"11",43.389999,43.689999,39.16,41.610001,135364800,19.380083
"12",42.73,42.869999,34.400002,36.07,152516800,16.913432
"13",35.360001,45.349998,33.650002,44.919998,157183800,21.063248
"14",45.599998,48.880001,42.599998,47.299999,136554800,22.179244
"15",47.610001,51.939999,44.360001,51.75,139702000,24.438463
"16",51.740002,56.220001,50.209999,54.59,113895800,25.779627
"17",54.880001,60.040001,52.599998,54.93,128090000,25.940189
"18",54.880001,59.91,52.360001,59.540001,122233000,28.299495
"19",59.799999,63.439999,57.509998,63,121184600,29.94404
"20",64.150002,75.010002,60.040001,74.209999,150201400,35.272177
"21",75.050003,84.629997,74.550003,82.879997,133025200,39.559543
"22",82.339996,92.730003,82.339996,89.599998,144622000,42.767074
"23",89.550003,90.540001,75.199997,78.360001,168225400,37.402098
"24",77.599998,86,73.459999,82.5,145890600,39.559276
"25",82.610001,84.150002,69.309998,71.059998,129302400,34.073722
"26",70.830002,74.75,67.580002,73.330002,134365400,35.162203
"27",73.860001,76.580002,68.540001,72.510002,130419800,34.978881
"28",73.620003,74.550003,62.509998,64.32,141246400,31.028018
"29",64.150002,75.150002,61.32,71.660004,158403600,34.568841
"30",71.839996,85.650002,69.379997,82.739998,144792200,40.127608
"31",83.839996,91.949997,82.239998,91.730003,166644800,44.48762
"32",91.489998,91.860001,81.370003,87.050003,154711000,42.217893
"33",87.080002,91.080002,80.68,84,135031000,40.939607
"34",83.760002,94.879997,82.870003,87.040001,147148200,42.421231
"35",87.150002,94.589996,82.660004,92.949997,130613800,45.301623
"36",89,97.699997,86.040001,89.389999,122981200,43.773019
"37",89.870003,90.209999,77.940002,78.07,157547000,38.229775
"38",78.269997,84.980003,75.68,83.480003,134666400,40.878978
"39",83.690002,91.93,82.790001,91.010002,105049400,44.81787
"40",90.75,92.889999,82.959999,84.669998,137647800,41.695735
"41",84.93,92.019997,74.639999,90.900002,168364800,44.7637
"42",91.379997,97.940002,89.629997,90.089996,134127800,44.606241
"43",89.400002,97.150002,80,90.260002,150235600,44.690416
"44",89.550003,93.389999,75.239998,92.589996,160766600,45.844066
"45",92.849998,108.32,90.970001,105,125538600,52.246253
"46",104.089996,104.860001,94.290001,102.389999,115452200,50.94756
"47",102.760002,104.559998,96.809998,98.57,111167800,49.046792
"48",98.989998,106.139999,98.650002,103.459999,85116200,51.73
"49",103.160004,104.900002,99.309998,101.790001,35983000,50.895
