"","stock_data$CAG.Open","stock_data$CAG.High","stock_data$CAG.Low","stock_data$CAG.Close","stock_data$CAG.Volume","stock_data$CAG.Adjusted"
"1",24.700001,25.42,23.280001,23.32,67972600,19.720348
"2",23.33,24.25,23.01,23.48,67982800,20.021598
"3",23.690001,23.870001,21.23,21.59,125815200,18.40998
"4",21.77,22.379999,21.030001,21.940001,95197300,18.708428
"5",22.059999,23.16,21.780001,22.49,90882600,19.373889
"6",22.540001,22.559999,21.02,21.48,64934400,18.503829
"7",21.75,22.709999,21.610001,22.58,81096800,19.451419
"8",22.690001,23.68,22.280001,22.33,90297200,19.427919
"9",22.389999,23.25,22.34,23.16,69268500,20.150049
"10",23.24,23.99,22.440001,23.75,91703500,20.663371
"11",23.9,24.74,23.51,24.450001,65290700,21.476003
"12",24.5,25.82,24.5,25.43,104328300,22.336799
"13",25.43,25.92,23.91,25.809999,101803300,22.670577
"14",25.75,26.6,25.360001,25.610001,97478700,22.692908
"15",25.83,25.83,22.200001,24.42,120231500,21.638454
"16",24.48,24.91,22.389999,24.219999,110844600,21.461234
"17",24,25.9,23.639999,25.33,100499400,22.660876
"18",24.809999,25.969999,23.809999,25.26,79648300,22.598252
"19",25.280001,26.68,25.09,26.4,68214900,23.618125
"20",26.629999,27.34,26.219999,26.67,90811200,24.073343
"21",26.75,27.08,26.1,26.25,73809900,23.694235
"22",26.25,26.75,25.950001,26.26,61410900,23.703262
"23",26.280001,26.870001,25.5,25.82,100510900,23.524341
"24",25.82,26.02,24.99,25.15,82919900,22.913911
"25",24.959999,25.93,24.190001,25.93,82970100,23.624561
"26",25.85,25.92,23.639999,24.690001,105685700,22.723862
"27",24.74,25.389999,24.07,25.110001,65587500,23.110416
"28",25.299999,27.75,25.299999,27.59,88477100,25.392926
"29",27.700001,28.799999,27.610001,27.84,69750400,25.852122
"30",27.91,29.969999,27.48,29.860001,81168400,27.727887
"31",29.91,31.120001,28.780001,29.5,74820400,27.393591
"32",29.969999,33,29.75,32.689999,88967800,30.590183
"33",32.91,34.380001,32.779999,34.110001,77119200,31.918972
"34",34.029999,35.91,33.82,35.810001,56315000,33.509775
"35",35.830002,36.310001,34.130001,35.369999,78967400,33.332908
"36",35.330002,36.220001,33.689999,33.689999,64435800,31.749665
"37",33.669998,35.540001,32.700001,34.93,81997600,32.91825
"38",35,37.130001,34.900002,36.209999,58654800,34.358323
"39",36.490002,37.279999,33.720001,33.82,51452100,32.090541
"40",34.150002,34.25,29.870001,30.34,128304000,28.788499
"41",30.290001,32.299999,29.99,31.809999,79454300,30.419503
"42",31.85,33.209999,31.459999,32.990002,60666600,31.547924
"43",33,33.919998,31.030001,33.700001,63543300,32.226888
"44",33.66,34.18,31.450001,31.790001,56110100,30.633939
"45",31.75,31.790001,28.09,28.4,99065000,27.367217
"46",28.32,31.030001,28.27,31.030001,76520800,29.901577
"47",31.01,31.58,30.35,30.51,49813200,29.639515
"48",30.43,32.330002,30.07,32.299999,43022200,31.378444
"49",32.310001,32.849998,28.6,29.68,126460300,28.833196
"50",29.73,31.25,29.620001,30.129999,105988500,29.50771
"51",30.120001,32.32,29.9,32.200001,57119100,31.534958
"52",32.189999,33.950001,31.67,33.040001,66664400,32.35761
"53",33.049999,34.639999,32.41,34.349998,84782900,33.8874
"54",34.220001,36.580002,34.07,36.52,49283000,36.028179
"55",36.349998,37.459999,35.07,36.279999,59811200,35.791409
"56",36.220001,37.18,34.91,35.43,60676000,35.192852
"57",35.419998,36.709999,33.450001,34.98,57723000,34.745864
"58",34.98,37.119999,33.450001,36.529999,58976200,36.285488
"59",36.509998,38.41,35.939999,36.150002,52736700,36.150002
"60",36.099998,39.040001,36.080002,38.610001,46502400,38.610001
"61",38.849998,38.889999,37.25,38.029999,27113500,38.029999
