"","stock_data$ITW.Open","stock_data$ITW.High","stock_data$ITW.Low","stock_data$ITW.Close","stock_data$ITW.Volume","stock_data$ITW.Adjusted"
"1",43.709999,47.07,41.049999,41.279999,67574200,36.58516
"2",41.209999,44.580002,40.73,43.5,95110700,38.552677
"3",44.27,45.990002,40.330002,41.259998,89133600,36.567434
"4",41.93,47.669998,41.82,47.02,99395200,41.976392
"5",47.23,49.540001,45.57,45.68,82498700,40.780127
"6",46.060001,48.779999,45.639999,47.630001,66473900,42.520961
"7",48.509998,53.889999,47.84,53.400002,74585600,47.975625
"8",53.73,56.360001,53.130001,53.490002,65956400,48.056483
"9",54.119999,55.98,52.419998,54.099998,52117600,48.604516
"10",55.110001,56,52.5,53.720001,64521900,48.567395
"11",54.189999,58.790001,52.09,58.41,55235600,52.807548
"12",58.57,58.75,56.130001,57.32,65689700,51.822096
"13",57.009998,57.310001,54.02,56.490002,66560500,51.390845
"14",56.290001,59.27,49.049999,49.799999,79095500,45.304726
"15",50.509998,51.200001,40.82,46.540001,146554100,42.338997
"16",46.779999,46.880001,41.240002,41.599998,89482900,38.150387
"17",41.150002,49.669998,39.119999,48.630001,81445900,44.597438
"18",46.889999,49.919998,42.41,45.439999,83572500,41.671962
"19",45.279999,48,45.049999,46.709999,70013200,43.161237
"20",47.880001,53.939999,47.419998,53.029999,66004400,49.001079
"21",54.09,56.939999,53.540001,55.689999,52642100,51.458987
"22",55.869999,58.240002,53.619999,57.119999,54428700,53.11114
"23",56.889999,58.27,54.369999,57.380001,57161500,53.352895
"24",57.279999,58.09,53.349998,56.150002,70010900,52.20922
"25",55.060001,56.639999,50.349998,52.889999,78317100,49.521583
"26",52.459999,55.5,49.07,54.34,76037900,50.879237
"27",54.73,60.450001,52.799999,59.290001,57205000,55.513986
"28",59.189999,62.09,58.119999,59.470001,67034400,56.03892
"29",59.540001,61.759998,58.200001,61.330002,54681600,57.791609
"30",61.330002,63.330002,58.389999,61.57,51398700,58.017761
"31",61.959999,62.610001,59.549999,60.810001,49544200,57.654693
"32",62.34,65.599998,60.830002,62.830002,51662900,59.569879
"33",63.310001,64.650002,59.709999,61.5,40175200,58.308889
"34",61.16,63.459999,60.18,60.939999,50065200,58.137521
"35",60.830002,65.940002,60.02,64.559998,55093300,61.591046
"36",64.269997,71.639999,63.84,70.129997,44859000,66.904895
"37",70.330002,71.739998,67.139999,69.169998,44460000,66.360867
"38",69.809998,74.07,68.160004,72.040001,40253400,69.114314
"39",72.879997,75.389999,71.150002,71.470001,28714700,68.567463
"40",72.18,78.559998,71.07,76.269997,34995500,73.572577
"41",76.389999,79.519997,73.599998,78.790001,42547600,76.003457
"42",79.050003,79.970001,78.220001,79.580002,30746400,76.765519
"43",79.400002,84.32,77.300003,84.080002,38781600,81.515357
"44",83.970001,84.120003,77.949997,78.870003,46108500,76.464275
"45",78.889999,83.220001,76.25,82.5,57817400,79.983549
"46",81.610001,83.220001,79.470001,81.330002,47058200,79.261909
"47",81.5,86.459999,80.800003,85.230003,44682800,83.06274
"48",85.150002,88,84.589996,86.550003,33645100,84.349174
"49",86.550003,89.5,86.290001,87.559998,36581000,85.739836
"50",87.959999,88,82.349998,82.370003,40173400,80.657728
"51",81.980003,89.440002,81.720001,88.209999,35036800,86.376325
"52",88.279999,89.580002,84.220001,84.419998,40308100,83.139716
"53",84.279999,91.389999,79.059998,91.050003,49591300,89.669173
"54",90.959999,96.540001,90.43,94.93,32206300,93.490327
"55",94.75,97.790001,91.699997,94.699997,35080300,93.732333
"56",95.160004,95.459999,90.43,93.089996,42745700,92.138784
"57",93.559998,99.949997,92.82,98.860001,29459800,97.849829
"58",98.900002,100.139999,95.779999,97.139999,43052500,96.632917
"59",97,99.919998,93.309998,93.580002,39354700,93.091503
"60",94.07,97.959999,93.830002,93.830002,29975200,93.340198
"61",94.330002,95.339996,92.400002,94.589996,13538600,94.096226
