"","stock_data$WIN.Open","stock_data$WIN.High","stock_data$WIN.Low","stock_data$WIN.Close","stock_data$WIN.Volume","stock_data$WIN.Adjusted"
"1",10.749936,11.499936,10.559931,10.559931,39931200,10.041349
"2",10.549948,11.819931,10.33995,11.399929,57230000,10.840095
"3",11.539927,11.699925,10.96995,11.509951,82428100,10.944715
"4",11.59995,13.049916,11.509951,12.289933,83984200,11.917158
"5",12.319941,12.679921,12.099928,12.659928,55776400,12.275931
"6",12.69992,13.359928,12.599939,13.039932,55672800,12.644409
"7",13.149923,14.399907,13.099923,13.93992,66211000,13.758294
"8",13.999937,14.039927,12.639929,12.809936,77698800,12.643032
"9",12.899934,13.269929,12.049927,12.539922,71881400,12.376536
"10",12.849934,13.12993,12.349949,12.879942,118553200,12.959627
"11",12.889924,12.929942,12.379925,12.809936,52365400,12.889188
"12",12.789943,13.569925,12.549937,13.449919,80292700,13.533131
"13",13.379919,13.409928,12.74992,12.959924,64465600,13.293793
"14",12.949941,13.249937,11.819931,12.209951,54033500,12.524498
"15",12.369948,12.74992,10.759945,12.69992,146789000,13.02709
"16",12.679921,13.079924,11.629925,11.64995,108438600,12.196557
"17",11.59995,12.349949,10.879951,12.169927,88573300,12.740931
"18",11.999953,12.599939,10.999958,11.75994,100550300,12.311708
"19",11.749932,12.199935,11.249946,11.739948,118958100,12.548544
"20",11.939931,12.38994,11.479944,12.069952,81995200,12.901276
"21",12.089945,12.549937,11.999953,12.079935,76131200,12.911948
"22",12.089945,12.289933,11.409944,11.70994,100792600,12.781414
"23",11.70994,11.749932,11.109949,11.239938,66515000,12.268406
"24",11.229955,11.439952,9.169949,9.359954,139176600,10.2164
"25",9.20994,10.069936,8.999942,9.65995,124159400,10.820723
"26",9.649934,10.119937,9.289954,9.959939,90034800,11.15676
"27",9.99993,10.309942,9.109958,9.869948,136512100,11.055955
"28",9.839939,11.039949,9.839939,10.089961,98256400,11.569718
"29",10.069936,10.26995,9.519945,9.519945,83216800,10.916105
"30",9.519945,9.699941,7.859949,8.379951,121134700,9.608924
"31",8.379951,8.999942,8.179969,8.279944,101529300,9.776807
"32",8.509941,9.99993,8.489948,9.739958,114281200,11.500765
"33",9.789933,9.899955,8.349944,8.589955,110738400,10.142863
"34",8.609948,8.95995,7.869958,7.929948,114825300,9.649699
"35",7.949973,8.879968,7.909949,8.519957,94457600,10.367661
"36",8.529965,8.84996,7.889956,8.029955,102969700,9.771394
"37",8.119953,8.389966,7.499962,7.709966,106983200,9.689807
"38",7.65996,8.459966,7.499962,8.359959,103654600,10.506711
"39",8.439942,8.719939,7.979948,8.069946,85001600,10.142226
"40",8.149961,8.749946,7.979948,7.989964,61258400,10.34379
"41",7.989964,8.649939,7.989964,8.549964,77610100,11.068765
"42",8.559948,8.749946,7.819957,8.069946,90940200,10.447335
"43",8.069946,8.439942,7.889956,7.979948,87114200,10.646933
"44",7.999947,8.079962,7.309964,7.47997,95003600,9.979856
"45",7.459971,8.079962,7.179974,8.019971,102676600,10.700332
"46",7.999947,8.449957,7.929948,8.239953,114565000,11.331469
"47",8.259952,9.179964,8.239953,9.069942,147654400,12.472857
"48",9.099949,9.729949,8.519957,9.569952,119987900,13.160464
"49",9.609943,10.219944,9.509961,9.959939,80213500,14.045452
"50",9.919948,13.299937,9.829956,11.459945,172146600,16.160752
"51",11.369953,11.659933,10.659938,11.309937,88490800,15.949212
"52",11.319946,11.369953,10.539939,10.779944,73593400,15.553373
"53",10.739954,10.96995,9.609943,10.479949,91398200,15.120539
"54",10.489931,10.62993,9.279939,10.109953,78296800,14.586706
"55",10.049938,10.109953,8.21996,8.239953,113102300,12.234647
"56",8.28996,8.589955,7.859949,7.949973,91086100,11.804085
"57",7.979948,8.989959,7.65996,7.889956,88347800,11.714973
"58",7.969971,8.099954,7.229949,7.399955,109470500,11.349313
"59",7.379963,13.05,7.319972,11.68,271010900,11.496719
"60",11.67,11.85,7.91,8.14,151879000,8.012268
"61",8.13,8.15,7.15,7.37,56237700,7.254351
