"","stock_data$VNO.Open","stock_data$VNO.High","stock_data$VNO.Low","stock_data$VNO.Close","stock_data$VNO.Volume","stock_data$VNO.Adjusted"
"1",74.169995,81.49999,72.710003,72.950004,33179600,55.88831
"2",73.189996,83.939997,68.589995,82.779994,37095900,63.419242
"3",84.000002,86.56999,79.059999,81.059997,30929500,62.580926
"4",82.370003,89.059996,81.970002,85.529987,33721700,66.031903
"5",86.480009,91.669993,84.800004,87.389997,28603200,67.46789
"6",88.130004,90.949991,78.059996,81.579998,34107000,63.44134
"7",82.779994,84.199994,79.589999,83.329997,24567200,64.802241
"8",83.910003,88.96,82.120004,88.089987,22899500,69.050581
"9",88.620003,93.370003,86.139995,93.330002,21375100,73.158042
"10",93.529995,93.529995,84.160002,87.5,28396600,68.588112
"11",87.989999,97.269993,86.85,96.679989,24957100,75.783977
"12",97.179995,98.419999,93.460001,98.379999,24080500,77.680465
"13",98.040002,98.290001,90.050001,93.179991,28736900,73.57456
"14",93.139991,98.770002,91.35999,93.549999,23132700,73.866716
"15",94.750003,95.080001,72.849999,85.910001,50879900,68.418614
"16",86.2,87.250001,74.620003,74.620003,48160900,59.427274
"17",74.059993,84.300007,68.389994,82.810004,43541900,65.949781
"18",80.019994,83.929999,70.000001,74.449996,30142900,59.784314
"19",74.400006,77.55999,71.190007,76.860001,23146500,61.71958
"20",78.499998,82.480005,75.169998,80.880001,23042800,65.498571
"21",81.359994,86.209998,81.190004,81.730001,25175600,66.186922
"22",81.819999,85.480006,79.450003,84.199994,27754400,68.187181
"23",84.119993,86.419988,79.189998,85.83999,26071400,69.51529
"24",86.179996,88.499994,80.650006,81.920004,25559500,66.866095
"25",80.80999,83.979997,78.559994,83.979997,24376700,68.547537
"26",83.719992,86.559992,80.900005,83.500004,21480000,68.15575
"27",83.910003,85.999999,79.500001,81.169999,22622700,66.805362
"28",81.209991,85.820003,80.370005,81.050007,22624100,66.706606
"29",81.37,82.499993,78.019996,80.209988,23574000,66.015244
"30",80.140003,81.859999,72.639992,76.429998,21661800,63.448928
"31",76.749999,80.15,75.020004,80.079998,20172200,67.366219
"32",81.309996,85.71,80.289997,84.45999,20754300,71.667779
"33",84.759995,85.940003,80.209988,80.209988,22894400,68.061477
"34",79.839997,84.869998,79.42999,83.64,25255800,70.971984
"35",83.559992,87.989999,83.470002,87.559995,20493700,74.298261
"36",86.939998,88.730005,79.95,79.95,24945500,68.412075
"37",79.95,84.480003,76.189997,82.849996,26160500,70.89356
"38",83.189993,89.349995,82.239996,84.809993,21511000,72.570702
"39",85.359997,85.580002,79.560005,81.300006,23004200,70.171684
"40",82.069998,89.230003,80.079998,84.059989,18002600,72.553882
"41",84.229996,91.19999,82.730004,89.059996,18914300,76.869489
"42",89.659998,91.909994,86.2,87.930003,15610600,76.510366
"43",87.750007,91.109991,86.829995,88.790001,20110000,77.258675
"44",89.16,93.850004,87.819992,91.830002,19181800,80.533981
"45",91.92,96.980003,89.85,96.289995,19575000,84.445349
"46",95.730001,100.019987,95.520003,98.559995,24886900,86.436117
"47",98.619999,102.629993,96.929996,102.59999,19611900,89.979152
"48",102.639991,107.389999,101.849995,107.080004,15969900,94.56427
"49",107.289994,109.009991,103.760002,106.730001,19125800,94.255176
"50",106.529992,109.120002,105.19,106.019997,15566900,93.628158
"51",106.009999,107.379992,103.600002,105.870002,17838100,94.151651
"52",105.999992,108.100003,99.259993,99.959999,18821600,88.895804
"53",99.779995,109.639995,93.089993,109.480003,25236900,97.362074
"54",109.33999,112.499991,107.210002,111.559992,19136200,99.863897
"55",111.36,120.230004,110.910001,117.710005,19432900,105.369134
"56",118.360004,126.62,110.370003,110.440002,18287800,109.754377
"57",110.5,114.150002,108.870003,110.040001,15671200,109.356859
"58",110.330002,114.019997,104.110001,112,20360100,111.30469
"59",111.949997,113.120003,102.870003,103.489998,12599000,102.847519
"60",104.199997,105.5,98.5,99.889999,13813400,99.889999
"61",100,101.489998,96.989998,98.25,5834800,98.25
