"","stock_data$FE.Open","stock_data$FE.High","stock_data$FE.Low","stock_data$FE.Close","stock_data$FE.Volume","stock_data$FE.Adjusted"
"1",36.450001,38.68,35.060001,35.23,41931300,27.131385
"2",35.09,39,34.509998,37.700001,69232700,29.033586
"3",38.110001,39.060001,35.360001,36.529999,77944600,28.539188
"4",36.959999,38.889999,36.080002,38.540001,60573100,30.109509
"5",38.860001,40.119999,35.880001,36.32,102175700,28.375125
"6",36.509998,36.93,35,35.110001,67132300,27.845413
"7",35.560001,37.490002,35.110001,37.02,65800200,29.360216
"8",37.259998,39.93,37.139999,39.119999,75020400,31.025705
"9",39.310001,40.799999,37.450001,38.299999,83513600,31.22658
"10",38.369999,39.099998,36.110001,37.09,90674300,30.259802
"11",37.189999,40.040001,36.5,39.959999,53612200,32.601285
"12",40.099998,45.799999,39.540001,44.619999,94559100,36.885934
"13",44.540001,44.740002,42.73,44.150002,62949000,36.497402
"14",44.009998,45.5,42.560001,44.650002,54356200,36.910737
"15",44.849998,45.02,38.77,44.25,92618300,37.041832
"16",44.27,46.509998,41.720001,44.91,55304500,37.59432
"17",44.57,45.959999,42.25,44.959999,81979200,37.636175
"18",44.400002,46.099998,41.549999,44.470001,55043600,37.678766
"19",44.5,45.369999,42.34,44.299999,47956100,37.534726
"20",44.669998,44.740002,40.369999,42.220001,96417200,35.772375
"21",42.209999,45.130001,42.130001,44.290001,59771700,38.001818
"22",44.400002,46.59,43.790001,45.59,52007100,39.117246
"23",45.279999,47.119999,44.639999,46.82,72984700,40.172614
"24",46.75,48.169998,46.290001,46.790001,70154700,40.620611
"25",46.52,49.459999,46.419998,49.189999,50316000,42.704162
"26",49.419998,50.950001,48.509998,50.220001,45534400,43.598356
"27",50.439999,51.139999,43.66,43.700001,61901900,38.364741
"28",43.740002,44.759998,42.049999,44.099998,46705200,38.715904
"29",44.27,46.549999,43.959999,45.720001,46019300,40.138123
"30",45.639999,45.759998,40.709999,42.459999,47845100,37.743037
"31",42.549999,42.599998,40.470001,41.759998,52488700,37.1208
"32",42.220001,42.5,39.18,40.490002,84662100,35.99189
"33",40.630001,41.299999,38.259998,39.48,76026700,35.583734
"34",39.549999,42.209999,39.310001,42.200001,53679400,38.035299
"35",42.200001,46.77,41.759998,46.599998,71476700,42.001063
"36",46.529999,46.700001,38.830002,39.009998,76684500,35.585036
"37",39.290001,39.720001,35.720001,37.34,61984800,34.061658
"38",37.52,39.880001,35.459999,38.07,73112400,34.727566
"39",38.18,39.009998,36.299999,37.470001,69318300,34.680489
"40",37.689999,38.59,36.299999,36.450001,52327200,33.736424
"41",36.75,38.900002,36.470001,37.869999,93619700,35.050708
"42",37.93,38.919998,32.389999,32.630001,119712100,30.64293
"43",32.91,33.02,31.290001,32.98,95470500,30.971615
"44",32.959999,33.040001,30.23,31.49,103097300,29.572352
"45",31.52,32.43,30.1,30.780001,62467500,29.245877
"46",30.68,34.279999,30.42,34.029999,72353000,32.33389
"47",34.130001,34.830002,33.009998,33.75,69793500,32.067847
"48",33.810001,34.209999,31.17,33.82,107512800,32.485128
"49",33.880001,35.59,33.419998,34.720001,72336200,33.349606
"50",34.630001,34.759998,31.120001,31.209999,75763500,29.978144
"51",31.120001,34.25,29.98,34.240002,67584200,33.274216
"52",34.240002,34.950001,33.349998,33.57,52483200,32.623113
"53",33.57,37.639999,33.040001,37.34,81010400,36.286775
"54",37.34,37.720001,35.689999,36.880001,55328200,36.192657
"55",36.740002,40.84,36.470001,38.990002,65110700,38.263333
"56",39.099998,41.68,37.93,40.330002,59143500,39.57836
"57",40.380001,41.23,34.68,34.98,81877700,34.636403
"58",35.200001,36.57,33.82,35.060001,83551600,34.715619
"59",34.689999,36.59,34.07,35.91,63694500,35.557268
"60",36.09,37.049999,34.369999,35.68,47894600,35.68
"61",35.810001,35.900002,33.880001,34.540001,21594100,34.540001
