"","stock_data$EMN.Open","stock_data$EMN.High","stock_data$EMN.Low","stock_data$EMN.Close","stock_data$EMN.Volume","stock_data$EMN.Adjusted"
"1",58.66,63.880001,53.25,53.360001,36109600,24.099589
"2",53.799999,63.150002,51.099998,62.639999,57745600,28.290821
"3",63.669998,64.330002,57.48,61.549999,41982600,27.798532
"4",62.52,74.849998,62.470001,74,42096200,33.649037
"5",74.760002,83.419998,73.629997,78.57,40664400,35.727092
"6",79.32,80.900002,75.550003,77.809998,38588600,35.381506
"7",79.379997,84.57,79.379997,84.080002,30801200,38.452685
"8",84.879997,94.419998,84.779999,92.860001,42736200,42.468081
"9",92.07,97.309998,87.5,93.410004,41000400,42.719616
"10",94.059998,100.139999,90.089996,99.32,40537200,45.652587
"11",100.129997,110.720001,95.379997,107.25,48437000,49.297623
"12",107.790001,108.940002,98.709999,105.849998,47246000,48.654111
"13",105.629997,105.739998,93.629997,102.07,43011800,47.138801
"14",102.459999,106.620003,93.5,96.589996,28024600,44.607981
"15",98.150002,98.610001,74.550003,82.730003,54165600,38.207046
"16",82.769997,82.989998,64.889999,68.529999,53624200,31.879227
"17",67.889999,69.830002,33.209999,39.290001,46866100,36.554352
"18",37.5,41.709999,35.400002,39.619999,32246700,36.861373
"19",39.599998,39.91,35.68,39.060001,31637400,36.596911
"20",40.220001,52.369999,39.16,50.32,53616800,47.146863
"21",50.900002,55.139999,50.860001,54.130001,36025600,50.716609
"22",54.34,54.619999,49.720001,51.689999,37029500,48.675306
"23",51.639999,55.529999,49.700001,53.970001,39600700,50.822333
"24",53.990002,55.310001,44,46.560001,50381400,43.844503
"25",45.259998,50.650002,41.540001,50.369999,48261600,47.694128
"26",50.709999,52.900002,46.18,52.279999,40785600,49.50266
"27",52.599998,56.220001,51.220001,55.259998,33664200,52.324349
"28",55.279999,59.560001,54.169998,57.009998,26210500,54.230762
"29",57.169998,61.48,52.93,59.240002,39233700,56.352053
"30",59.02,61,54.650002,60.849998,30515300,57.883562
"31",61.349998,68.220001,59.32,68.050003,39691400,65.039114
"32",69.889999,72.720001,68.699997,71.150002,28304300,68.001952
"33",72.129997,75.18,67.269997,69.730003,33868200,66.644782
"34",69.089996,73.830002,67.769997,69.870003,27167300,67.05355
"35",69.730003,73.650002,65.440002,66.650002,40256200,63.963346
"36",66.220001,74.620003,63.48,71.720001,38617200,68.828975
"37",71.910004,73.849998,68.029999,70.010002,27617400,67.479601
"38",70.360001,81.43,69.75,80.43,26490800,77.522985
"39",80.769997,82.910004,74.75,76,27750800,73.2531
"40",77.199997,80.080002,75.739998,77.900002,29260000,75.37527
"41",77.849998,82.959999,75.160004,78.790001,43777000,76.236424
"42",79,80.099998,75.370003,77.029999,23909500,74.533464
"43",77.209999,80.839996,72.620003,80.699997,38530000,78.452836
"44",80.309998,81.25,73,77.959999,38091300,75.789136
"45",78.110001,88.139999,75.629997,87.43,32057300,84.995437
"46",86.540001,88.900002,83.559998,86.209999,28729600,84.149942
"47",86.300003,89.190002,82.489998,87.169998,29086800,85.087001
"48",87.040001,88.32,83.110001,88.260002,22735100,86.150959
"49",88.260002,90.550003,86.160004,87.349998,20564200,85.59568
"50",87.410004,89.019997,78.629997,78.779999,28695900,77.197798
"51",78.760002,83.099998,78.209999,82.470001,22005600,80.813691
"52",82.809998,85.209999,80.730003,80.889999,28061300,79.598794
"53",80.690002,81.639999,70.379997,80.779999,40842000,79.49055
"54",82.510002,88.93,80,82.919998,26844300,81.596389
"55",82.989998,84.599998,71.059998,75.860001,37848000,75.044786
"56",76.029999,76.669998,67.129997,70.889999,40827500,70.128194
"57",71.040001,76.540001,68.739998,74.459999,27261100,73.65983
"58",74.459999,75.43,67.870003,69.260002,32157900,68.907399
"59",68.970001,77.660004,67.739998,76.220001,35623300,75.831964
"60",76.949997,80.93,76.019997,76.769997,30422500,76.37916
"61",77.43,78.949997,75.82,78.57,12343600,78.169999
