"","stock_data$MON.Open","stock_data$MON.High","stock_data$MON.Low","stock_data$MON.Close","stock_data$MON.Volume","stock_data$MON.Adjusted"
"1",49.630001,51.700001,45.299999,46.220001,94216300,42.322127
"2",46.540001,58.880001,44.610001,57.84,171270400,53.27507
"3",58.599998,62.290001,51.419998,52.650002,136978200,48.494684
"4",53.09,59.43,47.169998,47.93,167189300,44.147202
"5",48.119999,60.540001,47.07,59.419998,187963400,55.046209
"6",59.759998,64,57.560001,59.919998,111442500,55.509404
"7",61.310001,69.82,59.93,69.639999,99677600,64.513935
"8",69.989998,75.339996,68.25,73.379997,127366400,68.255338
"9",74.43,76.690002,69.25,71.889999,84161400,66.869398
"10",72.220001,74.43,64.290001,72.260002,81488900,67.213561
"11",72.5,74.459999,65.75,68.040001,111414300,63.529964
"12",68.25,71.269997,62.299999,71.040001,93676900,66.331109
"13",70.870003,72.860001,64.650002,72.540001,96934500,67.731682
"14",72.470001,77.089996,72,73.480003,90280400,68.870777
"15",74.370003,74.5,63.029999,68.93,127779500,64.606185
"16",69.029999,70.879997,59.990002,60.040001,109228400,56.273834
"17",59.27,78.709999,58.889999,72.75,124340900,68.511523
"18",70.919998,75.5,67.5,73.449997,74925700,69.170737
"19",73.559998,74.330002,67.089996,70.07,66971600,65.987661
"20",71.620003,82.949997,71.290001,82.050003,100642300,77.593274
"21",82.690002,83.949997,76.330002,77.379997,63269300,73.17693
"22",77.82,82.139999,77.019997,79.760002,69844500,75.427659
"23",80.099998,83.269997,74.150002,76.18,70715200,72.308347
"24",76.07,77.809998,69.699997,77.199997,80102600,73.276505
"25",75.349998,82.790001,74.769997,82.779999,66880600,78.572918
"26",82.980003,87.769997,81.489998,85.620003,64230100,81.561691
"27",86.279999,89.730003,84.860001,87.110001,64288800,82.981065
"28",86.940002,91.949997,86.07,91.019997,55463200,86.70573
"29",91.709999,92.199997,85.540001,86.07,63233000,82.329853
"30",86.110001,93,82.699997,91.589996,51328800,87.60998
"31",91.980003,94.760002,88.559998,94.650002,44992100,90.537013
"32",95.550003,104.190002,95,101.349998,61741700,97.331487
"33",102.32,103.519997,97.900002,101.029999,49205600,97.024175
"34",100.5,105.82,98.919998,105.629997,43870000,101.441784
"35",105.5,107.25,101.529999,106.82,58485400,102.955836
"36",106.540001,109.330002,100.639999,100.639999,51444600,96.999394
"37",100.419998,106.800003,97.050003,98.800003,65921900,95.225959
"38",99.199997,104.800003,96.5,98.779999,61794200,95.576293
"39",99.529999,100.190002,94,97.889999,65690700,94.715159
"40",99.089996,107.730003,98.839996,104.370003,50243300,100.984998
"41",104.25,108.809998,101.779999,104.879997,63334900,101.893828
"42",105.040001,114.5,102.879997,113.330002,58497800,110.103242
"43",113.730003,116.800003,110.040001,116.550003,38709400,113.231563
"44",116.120003,117.5,105.720001,106.550003,63892700,103.910865
"45",106.68,112.949997,104.080002,110.019997,57483500,107.29491
"46",109.330002,115,109.239998,113.769997,51566900,110.952027
"47",113.82,117.470001,109.379997,110.699997,68603000,108.366855
"48",110.419998,122,109.669998,121.849998,51463200,119.281856
"49",121.949997,128.789993,118.480003,124.739998,62948100,122.110945
"50",124.5,127.480003,113.089996,113.089996,90330800,111.089427
"51",112.169998,121.230003,112.129997,115.650002,78853300,113.604146
"52",115.900002,116.330002,111.029999,112.510002,78433400,110.519693
"53",111.790001,115.470001,105.760002,115.040001,116001800,113.518876
"54",115.260002,121.150002,112.849998,119.910004,69197400,118.324485
"55",119.599998,122.949997,116.199997,119.470001,62685300,117.8903
"56",119.529999,120.849998,115.160004,117.980003,61664000,116.912803
"57",118.550003,126,117.260002,120.43,50066800,119.340639
"58",120.43,121.639999,111.160004,112.540001,72615100,112.006065
"59",114.660004,120.68,113.610001,113.959999,58286000,113.419326
"60",117.879997,123.82,115.339996,116.980003,70088400,116.425002
"61",117.370003,117.470001,112.940002,114.489998,22267500,113.94681
