"","stock_data$ABC.Open","stock_data$ABC.High","stock_data$ABC.Low","stock_data$ABC.Close","stock_data$ABC.Volume","stock_data$ABC.Adjusted"
"1",31.450001,33.27,31.290001,31.75,62483600,29.668858
"2",31.629999,32.93,27.82,29.969999,134598800,28.005533
"3",30.280001,30.790001,27.09,27.280001,65043200,25.561963
"4",27.459999,31.82,27.459999,30.66,61005500,28.729097
"5",30.85,33.830002,30.4,32.830002,61712400,30.762437
"6",32.919998,33.360001,30.51,30.85,66689500,29.001383
"7",31.16,34.720001,31.07,34.119999,53768500,32.075435
"8",34.259998,37.080002,33.91,35.860001,55700600,33.711171
"9",36.110001,37.950001,34.400002,37.91,50224000,35.735968
"10",37.91,39.900002,35.950001,39.560001,54907400,37.291347
"11",39.75,42.5,38.860001,40.639999,52278900,38.30941
"12",40.759998,42.5,40.389999,41.220001,47413800,38.963269
"13",41.09,41.720001,39.799999,41.400002,47145300,39.133415
"14",41.369999,43.470001,37.619999,38.310001,68994300,36.212587
"15",38.349998,40,34.330002,39.580002,90856000,37.524593
"16",39.48,40.369999,37.150002,37.27,56932700,35.334551
"17",37.009998,42.32,34.740002,40.799999,58200800,38.681235
"18",39.509998,40.700001,35.75,37.150002,45238900,35.341435
"19",37.02,37.790001,35.560001,37.189999,47960400,35.379485
"20",37.77,40.220001,37.529999,38.970001,45855100,37.072832
"21",39.23,39.900002,36.110001,37.369999,59842600,35.674229
"22",37.189999,39.759998,36.200001,39.66,58588200,37.860314
"23",39.700001,39.740002,36.279999,37.209999,56808500,35.521489
"24",37.060001,37.580002,35.48,36.990002,61480000,35.436999
"25",36.650002,39.349998,36.02,39.349998,40673100,37.697913
"26",39.529999,40.360001,36.91,39.700001,54090200,38.033221
"27",39.889999,40.110001,36.73,38.52,69694000,37.030864
"28",38.52,39.450001,37.119999,38.709999,58291000,37.213517
"29",38.790001,40.950001,38.689999,39.439999,47227000,37.915296
"30",39.549999,42.240002,39.509998,42.220001,49398800,40.800912
"31",42.259998,44.02,42.02,43.18,52711500,41.728644
"32",43.59,46.59,43.009998,45.369999,43842000,43.845033
"33",45.400002,47.509998,45.400002,47.200001,37727800,45.81842
"34",47.220001,52.150002,46.889999,51.450001,56654800,49.94402
"35",51.380001,56.91,51.290001,54.119999,67533400,52.535865
"36",54.060001,55.48,53.220001,54.080002,46150300,52.698212
"37",54.009998,56.389999,52.380001,55.830002,57737400,54.403498
"38",56.110001,59.299999,54.400002,58.27,43659200,56.781153
"39",58.389999,59.75,56.240002,56.919998,33339700,55.667096
"40",57.459999,62.439999,57.209999,61.099998,22285100,59.755087
"41",61.18,65.980003,60.779999,65.330002,31194900,63.891982
"42",65.550003,71.160004,65.160004,70.529999,28488800,69.215006
"43",70.790001,71.379997,67.739998,70.309998,33235300,68.999106
"44",70.110001,71.919998,66.129997,67.220001,39120600,65.966721
"45",67.129997,69.220001,64.279999,67.849998,34245200,66.816768
"46",67.110001,69.650002,63.529999,65.589996,38425600,64.591182
"47",65.599998,66.809998,62.549999,65.18,42956800,64.187429
"48",64.760002,73.57,63.849998,73.18,44089700,72.318126
"49",73.309998,73.809998,71,72.660004,31264700,71.804253
"50",72.669998,79.129997,72.010002,76.910004,32776600,76.004199
"51",76.959999,77.919998,74.660004,77.389999,25335600,76.715317
"52",77.510002,78.599998,75.709999,77.300003,28143900,76.626105
"53",78.209999,85.989998,74.32,85.410004,48206900,84.665403
"54",85.809998,91.589996,85.580002,91.050003,31704700,90.552255
"55",90.639999,92.839996,89.260002,90.160004,32680200,89.667121
"56",90.610001,100.199997,89.519997,95.050003,44087600,94.530388
"57",95.57,103.709999,93.599998,102.760002,33062400,102.49928
"58",102.57,114.730003,102,113.669998,44467700,113.381596
"59",113.93,120.68,111.410004,114.300003,38211000,114.010002
"60",115.120003,116.279999,112.559998,112.559998,41599000,112.559998
"61",112.809998,113.760002,108.279999,108.75,12376400,108.75
