"","stock_data$URBN.Open","stock_data$URBN.High","stock_data$URBN.Low","stock_data$URBN.Close","stock_data$URBN.Volume","stock_data$URBN.Adjusted"
"1",36.689999,38.099998,33.959999,34.389999,41517700,34.389999
"2",34.66,35.77,31.5,32.16,71435800,32.16
"3",32.709999,33.900002,30.190001,30.32,83342900,30.32
"4",30.93,35.110001,30.68,31.440001,84166300,31.440001
"5",31.700001,32.549999,29.030001,30.790001,117805400,30.790001
"6",30.74,38.73,30.18,37.790001,102475600,37.790001
"7",38.25,38.950001,35.380001,35.810001,54919600,35.810001
"8",35.459999,36.669998,33.619999,33.82,56889100,33.82
"9",33.98,38.41,33.450001,38.380001,42920100,38.380001
"10",38.459999,39.259998,29.469999,29.83,104130500,29.83
"11",29.82,33.669998,29.5,31.469999,70049600,31.469999
"12",31.719999,33.48,29.85,30.459999,65137600,30.459999
"13",30.450001,30.51,27.959999,28.15,68993100,28.15
"14",28.18,33.900002,28.07,32.540001,64517500,32.540001
"15",32.790001,32.900002,23.889999,26.18,124164300,26.18
"16",26.23,26.52,22.309999,22.309999,103341200,22.309999
"17",22.200001,29.73,21.469999,27.25,68339800,27.25
"18",26.67,27.559999,25.02,26.98,78144200,26.98
"19",27.040001,29.540001,25.66,27.559999,62285800,27.559999
"20",28.02,30.25,23.42,26.5,105726400,26.5
"21",26.620001,30,26.23,28.389999,57194000,28.389999
"22",28.6,30.1,27.52,29.110001,88165000,29.110001
"23",29.25,31.360001,27.75,28.959999,54408700,28.959999
"24",28.950001,30.129999,25.43,27.969999,74636400,27.969999
"25",27.530001,28.68,26.040001,27.59,52992600,27.59
"26",27.790001,31.809999,27.02,30.549999,48376700,30.549999
"27",30.6,38.299999,29.360001,37.540001,73635300,37.540001
"28",37.57,40.650002,36.869999,37.560001,54657700,37.560001
"29",37.639999,38.369999,35.279999,35.75,35846300,35.75
"30",35.799999,38.740002,34.380001,37.700001,47709500,37.700001
"31",37.790001,40.650002,35.82,39.360001,50349900,39.360001
"32",40.240002,43.810001,39.900002,42.799999,57891500,42.799999
"33",43.240002,44.150002,38.91,40.52,45700500,40.52
"34",40.34,42.299999,38.459999,38.740002,42899600,38.740002
"35",38.880001,42.189999,38.189999,41.439999,37586500,41.439999
"36",41.43,44.959999,40.490002,41.93,41409100,41.93
"37",41.779999,42.810001,38.110001,40.220001,34265400,40.220001
"38",40.380001,43.450001,40.029999,42.560001,23119500,42.560001
"39",42.439999,44.150002,39.650002,41.93,47512300,41.93
"40",42.549999,42.790001,36.400002,36.77,59939600,36.77
"41",36.759998,38.799999,35,37.880001,41693700,37.880001
"42",37.990002,40.450001,37.860001,39.02,37395400,39.02
"43",37.509998,38.540001,35.259998,37.099998,43570500,37.099998
"44",38.400002,38.75,35.299999,35.82,41013500,35.82
"45",35.889999,38.5,33.950001,37.439999,41961400,37.439999
"46",37.18,37.939999,34.75,36.470001,54624700,36.470001
"47",36.650002,38.84,35.240002,35.66,46784800,35.66
"48",35.849998,37.41,32.23,33.52,59282800,33.52
"49",33.439999,34.830002,32.939999,33.860001,48765900,33.860001
"50",32.650002,36.220001,32.619999,35.73,38521500,35.73
"51",35.689999,40.669998,35.209999,39.790001,48991300,39.790001
"52",39.849998,40.310001,36.490002,36.700001,36185700,36.700001
"53",36.610001,36.919998,29.110001,30.360001,67135700,30.360001
"54",30.299999,33.619999,27.889999,32.32,68694700,32.32
"55",32,35.849998,29.91,35.130001,50710000,35.130001
"56",35.259998,36.990002,32.580002,34.860001,38036900,34.860001
"57",34.919998,39.740002,34.209999,38.959999,23428700,38.959999
"58",38.919998,47.25,38.349998,45.650002,49983900,45.650002
"59",45.52,45.939999,39.75,40.040001,39644200,40.040001
"60",40.16,41.490002,33.330002,34.380001,74980600,34.380001
"61",34.619999,36.93,34.23,35.16,26723400,35.16
