"","stock_data$SPLS.Open","stock_data$SPLS.High","stock_data$SPLS.Low","stock_data$SPLS.Close","stock_data$SPLS.Volume","stock_data$SPLS.Adjusted"
"1",21.309999,22.67,18.99,19.049999,144725300,16.358115
"2",18.969999,20.66,18.82,20.33,153475300,17.457243
"3",20.66,20.969999,17.450001,17.77,169313400,15.258988
"4",17.99,21.01,17.809999,20.92,165476600,18.045858
"5",21.120001,21.25,19.870001,20.52,178914100,17.700813
"6",20.18,22.440001,19.959999,22.01,168952000,18.986106
"7",22.360001,23.09,21.870001,22.77,129237700,19.720644
"8",23.469999,23.75,22.120001,22.309999,165139500,19.322247
"9",22.41,22.950001,20.620001,21.299999,216395000,18.447506
"10",21.42,21.42,19.309999,19.42,267026600,16.904437
"11",19.440001,21.469999,19.219999,21.139999,180507900,18.401637
"12",21.26,21.5,16.190001,16.82,339103400,14.641227
"13",16.719999,16.76,14.75,15.8,306097100,13.842893
"14",15.89,16.34,14.97,16.059999,205200900,14.070686
"15",16.059999,16.110001,11.94,14.74,396676100,12.914192
"16",14.79,15.09,13.02,13.3,207847300,11.735616
"17",13.11,15.3,12.38,14.96,202807100,13.200362
"18",14.52,15.55,13.68,14.41,199751000,12.715055
"19",14.4,15.2,13.75,13.89,154346700,12.342896
"20",14.12,16.34,14.12,14.63,162368300,13.000473
"21",14.84,16.08,14.35,14.66,192095700,13.027131
"22",14.84,16.93,14.75,16.190001,230060900,14.481707
"23",16.24,16.59,15.14,15.4,176991400,13.775063
"24",15.42,15.42,12.94,13.14,282597600,11.753528
"25",12.91,13.11,12.22,13.05,224293400,11.772717
"26",13.1,13.3,12.1,12.74,209275600,11.493058
"27",12.78,13.62,10.57,10.92,347552300,9.851193
"28",10.93,12.7,10.68,11.52,385101900,10.490258
"29",11.64,11.9,11.06,11.52,201200500,10.490258
"30",11.55,12.23,10.94,11.7,283272800,10.654168
"31",11.8,12.39,11.04,11.4,226998500,10.479764
"32",11.58,13.77,11.4,13.49,248117200,12.401055
"33",13.56,15.19,12.56,13.17,296423700,12.106886
"34",13.25,13.65,12.08,13.42,237413800,12.447597
"35",13.5,13.99,12.26,13.23,182883300,12.271364
"36",13.23,15.5,13,15.01,199312800,13.922387
"37",15.01,16.629999,14.61,15.87,174798100,14.83251
"38",15.93,17.190001,15.58,17.02,117376800,15.907331
"39",17.17,17.299999,13.75,13.91,189103800,13.000644
"40",14.1,15.22,13.72,14.65,169531800,13.803662
"41",14.65,16.26,14.22,16.129999,150643100,15.198161
"42",16.469999,16.67,14.87,15.53,169149300,14.632824
"43",15.6,16.209999,14.98,15.89,164604100,15.085667
"44",15.9,16,13.01,13.16,216136300,12.493856
"45",13.11,13.78,12.61,13.59,149535700,12.90209
"46",13.51,13.64,11.04,11.34,316570000,10.878323
"47",11.36,12.67,11.28,12.5,248280400,11.991097
"48",12.46,13.5,11.2,11.25,225474800,10.791987
"49",11.32,11.33,10.7,10.84,231917400,10.512637
"50",10.89,11.71,10.82,11.59,175649900,11.239988
"51",11.54,11.83,10.82,11.68,184488400,11.32727
"52",12.2,13.28,12.03,12.1,227052100,11.845552
"53",12.05,12.76,11.39,12.68,194934700,12.413355
"54",12.64,14.33,12.55,14.06,213962500,13.764335
"55",13.94,18.33,13.63,18.120001,402054400,17.861437
"56",18.09,18.1,16.23,17.049999,182102000,16.806704
"57",17.24,19.4,16.09,16.77,299440800,16.5307
"58",16.75,17.049999,15.72,16.290001,193025200,16.172384
"59",16.530001,16.82,15.81,16.32,124753000,16.202166
"60",16.27,16.84,15.98,16.469999,109781500,16.351082
"61",16.540001,16.74,16.110001,16.49,41929600,16.370939
