"","stock_data$ZION.Open","stock_data$ZION.High","stock_data$ZION.Low","stock_data$ZION.Close","stock_data$ZION.Volume","stock_data$ZION.Adjusted"
"1",23.299999,24.690001,21.440001,21.57,73507500,21.168081
"2",21.43,24.389999,19.290001,22.190001,116300000,21.776529
"3",22.57,23.190001,17.91,18.42,74843200,18.084955
"4",18.809999,22.209999,18.540001,21.360001,83218700,20.971479
"5",21.65,22.700001,20.549999,20.75,73979700,20.372574
"6",20.82,22.66,18.84,19.450001,72981500,19.104894
"7",19.75,24.58,19.43,24.23,83644800,23.80008
"8",24.74,25.48,22.809999,23.58,80857600,23.161613
"9",23.860001,25.6,22.9,23.360001,67294600,22.954836
"10",23.440001,23.73,22.08,23.059999,74641500,22.660039
"11",23.27,24.92,22.84,24.440001,65107400,24.016104
"12",24.6,24.700001,22.74,23.83,48746800,23.426536
"13",23.719999,24.16,21.360001,24.01,62797000,23.603488
"14",24.01,24.709999,21.67,21.9,68543300,21.529212
"15",22.15,22.25,14.82,17.440001,113586300,17.156131
"16",17.35,17.530001,14.07,14.08,79320600,13.850821
"17",14.29,18.51,13.18,17.360001,103289500,17.077434
"18",16.690001,17.610001,14.63,16.09,68384600,15.837618
"19",16.040001,16.99,14.52,16.280001,71291800,16.024638
"20",16.66,19.02,16.4,16.83,78881100,16.56601
"21",16.99,20.110001,16.799999,19,71126100,18.711393
"22",19.08,22.809999,17.75,21.459999,81261600,21.134025
"23",21.389999,21.549999,19.51,20.389999,69978900,20.080279
"24",20.309999,21.01,18.07,19.030001,55880300,18.751025
"25",18.610001,19.9,17.450001,19.42,60697800,19.135307
"26",19.52,19.82,17.58,18.200001,53607000,17.933193
"27",18.290001,19.809999,17.82,19.25,33830600,18.977532
"28",19.190001,21.68,19.059999,20.66,41928200,20.367574
"29",20.790001,22.66,20.59,21.48,61453400,21.175967
"30",21.43,22.01,19.030001,20.07,51323700,19.795968
"31",20.139999,21.93,19.309999,21.4,54690400,21.107808
"32",21.879999,23.6,21.559999,23.32,54056400,23.001593
"33",23.5,24.92,23.24,24.15,43611900,23.829991
"34",24.040001,25.860001,23.690001,24.99,36586900,24.65886
"35",25.07,25.17,23.1,24.620001,46274900,24.293764
"36",24.59,28.74,24.07,28.07,40390800,27.738103
"37",28.17,29.41,26.389999,28.92,45232900,28.578053
"38",29.09,31.4,29,29.639999,51349700,29.289539
"39",29.91,30.389999,27.76,27.969999,35963200,27.677846
"40",28.66,29.5,26.790001,27.42,37594100,27.133592
"41",27.440001,30.07,26.889999,28.4,56372400,28.103355
"42",28.459999,29.879999,27.610001,29.33,33453000,29.064853
"43",29.34,30.129999,27.92,29.959999,43295000,29.689157
"44",29.9,32.290001,28.719999,28.75,47716100,28.490097
"45",28.59,31.41,27.82,31.200001,41172600,30.958025
"46",30.889999,33.330002,29.379999,30.98,69430200,30.73973
"47",31.08,31.870001,28.360001,28.92,54312800,28.695707
"48",28.870001,29.66,27.65,28.59,40635700,28.40842
"49",28.610001,30.389999,28.27,29.469999,35368600,29.28283
"50",29.5,30.889999,28.4,28.82,66796700,28.636959
"51",28.700001,29.469999,27.440001,29.139999,51217200,28.995665
"52",29.27,30.459999,28.41,29.059999,55698700,28.916061
"53",29.030001,29.08,25.02,28.969999,66661700,28.826507
"54",29,29.93,27.959999,28.059999,32646500,27.959726
"55",27.91,29,26.49,28.51,61756400,28.408119
"56",28.67,28.719999,23.719999,23.959999,65284400,23.874377
"57",24.120001,26.950001,23.9,26.74,42565500,26.684998
"58",26.67,28.120001,26.139999,27,61632300,26.944464
"59",27.01,28.65,26.200001,28.34,39530900,28.281708
"60",28.52,29.52,28.200001,28.879999,34356900,28.879999
"61",29.040001,32.66,28.299999,32.41,41069200,32.41
