"","stock_data$V.Open","stock_data$V.High","stock_data$V.Low","stock_data$V.Close","stock_data$V.Volume","stock_data$V.Adjusted"
"1",75.629997,83.790001,70.709999,70.75,548415200,17.023067
"2",71,77.800003,70.110001,73.349998,471789600,17.648649
"3",70.980003,75.730003,68.010002,68.980003,501453600,16.624798
"4",69.830002,74.970001,64.900002,74.260002,635893200,17.897325
"5",74.739998,80.879997,72.580002,78.160004,409629600,18.837261
"6",78.580002,80.470001,72.919998,73.849998,317080800,17.834184
"7",74.940002,81.75,66.5,70.379997,880941200,16.996207
"8",70.400002,73.550003,67.510002,69.849998,558037200,16.868216
"9",70.209999,77.080002,70.209999,73.050003,457333200,17.676548
"10",73.870003,75.940002,70.449997,73.620003,528332000,17.814476
"11",73.989998,79,73.260002,78.120003,320730000,18.903381
"12",78.459999,81.300003,76.599998,81.059998,399527600,19.651369
"13",80.760002,87.360001,73.110001,84.260002,786230000,20.427146
"14",84.099998,90.830002,83.599998,85.540001,452779200,20.737456
"15",87,88.849998,76.110001,87.879997,643794800,21.34204
"16",87.720001,94.75,83.25,85.720001,482022400,20.817476
"17",84.970001,95.870003,81.709999,93.260002,419068000,22.648598
"18",91.160004,97.029999,88.779999,96.970001,336694000,23.603888
"19",95.919998,103.449997,95.050003,101.529999,313435600,24.713856
"20",103.400002,104.199997,98.330002,100.639999,305384400,24.497218
"21",101.18,119.360001,100.599998,116.370003,359655600,28.380306
"22",117.449997,120.699997,113.540001,118,251469200,28.77783
"23",118,124.209999,116.480003,122.980003,250660400,29.992353
"24",123.470001,125.349998,112.5,115.199997,401376000,28.148071
"25",113.639999,124.949997,111.940002,123.629997,295216800,30.207864
"26",124.260002,132.350006,119.099998,129.070007,294764000,31.537081
"27",128.5,132.580002,125.809998,128.25,218263200,31.389886
"28",128.360001,136.649994,126.949997,134.279999,252855600,32.865761
"29",134.869995,143.100006,134.869995,138.759995,228222400,33.962264
"30",140.820007,149.929993,138.529999,149.710007,249467200,36.727422
"31",150,152.509995,146.100006,151.580002,216124800,37.186176
"32",154.160004,162.770004,153.929993,157.910004,237422800,38.739076
"33",159,160.880005,154.139999,158.639999,244870000,39.000242
"34",157.929993,170.960007,155.679993,169.839996,259370400,41.753662
"35",169.75,170.990005,161.270004,168.460007,207622800,41.414404
"36",166.990005,184.899994,163.600006,178.139999,311006400,43.874437
"37",178.75,185.229996,175.679993,182.75,248756800,45.009843
"38",183.899994,196,170.990005,177.009995,336031200,43.596126
"39",181.759995,185.139999,172.210007,174.419998,371889200,43.037474
"40",176.029999,200.860001,175.050003,191.100006,284857200,47.153203
"41",191.289993,205.25,180.110001,196.669998,270568400,48.527577
"42",198.949997,205.070007,195,203.460007,205473600,50.304472
"43",204.100006,222.720001,199.429993,222.679993,281645600,55.056518
"44",221.539993,235.5,215.110001,215.429993,301408000,53.263991
"45",216.509995,228.479996,211.380005,225.940002,231340800,55.963222
"46",223.240005,232.669998,210.520004,215.860001,266839600,53.4665
"47",217.080002,218.160004,194.839996,202.610001,387414000,50.184599
"48",204.100006,215.949997,203,214.830002,219822800,53.311939
"49",215.369995,215.690002,207.309998,210.710007,202218800,52.289526
"50",211.949997,224.75,211.009995,211.009995,221661200,52.363971
"51",209.869995,218,208.210007,212.520004,179954800,52.839197
"52",213.410004,218.649994,209.119995,213.369995,204146800,53.050532
"53",212.850006,242.5,195.190002,241.429993,323304000,60.027135
"54",240.979996,259.5,239,258.190002,207148400,64.317827
"55",256.269989,269.320007,252.350006,262.200012,201720000,65.316762
"56",263.380005,266.75,245.169998,254.910004,224439200,63.500745
"57",256.309998,274.5,249.699997,271.309998,196760400,67.709008
"58",276.709991,278.649994,65.019997,65.410004,231018600,65.295735
"59",65.449997,69.980003,64.349998,66.050003,160639300,65.934617
"60",65.220001,70.690002,65.150002,68.68,144425000,68.68
"61",69.129997,69.669998,67.529999,69.629997,42521800,69.629997
